,memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,description
0,ES,Spain,26/04/2021,02/05/2021,39,"€33,21",Euro / HL.,Albacete vino blanco sin DOP/IGP
1,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Albacete vino blanco sin DOP/IGP
2,ES,Spain,26/04/2021,02/05/2021,39,"€34,98",Euro / HL.,Albacete vino tinto sin DOP/IGP
3,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Albacete vino tinto sin DOP/IGP
4,ES,Spain,26/04/2021,02/05/2021,39,"€29,04",Euro / HL.,Badajoz vino blanco sin DOP/IGP
5,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Badajoz vino blanco sin DOP/IGP
6,ES,Spain,26/04/2021,02/05/2021,39,"€25,02",Euro / HL.,Ciudad Real vino blanco sin DOP/IGP
7,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Ciudad Real vino blanco sin DOP/IGP
8,ES,Spain,26/04/2021,02/05/2021,39,"€29,59",Euro / HL.,Ciudad Real vino tinto sin DOP/IGP
9,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Ciudad Real vino tinto sin DOP/IGP
10,ES,Spain,26/04/2021,02/05/2021,39,"€24,58",Euro / HL.,Toledo vino blanco sin DOP/IGP
11,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Toledo vino blanco sin DOP/IGP
12,ES,Spain,26/04/2021,02/05/2021,39,"€34,82",Euro / HL.,Toledo vino tinto sin DOP/IGP
13,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Toledo vino tinto sin DOP/IGP
14,ES,Spain,26/04/2021,02/05/2021,39,"€31,00",Euro / HL.,Valencia vino tinto sin DOP/IGP
15,ES,Spain,26/04/2021,02/05/2021,39,"€,00",Quantity,Valencia vino tinto sin DOP/IGP
16,ES,Spain,31/05/2021,06/06/2021,44,"€36,74",Euro / HL.,Albacete vino blanco sin DOP/IGP
17,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Albacete vino blanco sin DOP/IGP
18,ES,Spain,31/05/2021,06/06/2021,44,"€38,97",Euro / HL.,Albacete vino tinto sin DOP/IGP
19,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Albacete vino tinto sin DOP/IGP
20,ES,Spain,31/05/2021,06/06/2021,44,"€28,27",Euro / HL.,Badajoz vino blanco sin DOP/IGP
21,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Badajoz vino blanco sin DOP/IGP
22,ES,Spain,31/05/2021,06/06/2021,44,"€25,26",Euro / HL.,Ciudad Real vino blanco sin DOP/IGP
23,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Ciudad Real vino blanco sin DOP/IGP
24,ES,Spain,31/05/2021,06/06/2021,44,"€29,02",Euro / HL.,Ciudad Real vino tinto sin DOP/IGP
25,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Ciudad Real vino tinto sin DOP/IGP
26,ES,Spain,31/05/2021,06/06/2021,44,"€23,73",Euro / HL.,Toledo vino blanco sin DOP/IGP
27,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Toledo vino blanco sin DOP/IGP
28,ES,Spain,31/05/2021,06/06/2021,44,"€37,75",Euro / HL.,Toledo vino tinto sin DOP/IGP
29,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Toledo vino tinto sin DOP/IGP
30,ES,Spain,31/05/2021,06/06/2021,44,"€31,28",Euro / HL.,Valencia vino tinto sin DOP/IGP
31,ES,Spain,31/05/2021,06/06/2021,44,"€,00",Quantity,Valencia vino tinto sin DOP/IGP
32,ES,Spain,28/06/2021,04/07/2021,48,"€37,64",Euro / HL.,Albacete vino blanco sin DOP/IGP
33,ES,Spain,28/06/2021,04/07/2021,48,"€,00",Quantity,Albacete vino blanco sin DOP/IGP
34,ES,Spain,28/06/2021,04/07/2021,48,"€39,88",Euro / HL.,Albacete vino tinto sin DOP/IGP
35,ES,Spain,28/06/2021,04/07/2021,48,"€,00",Quantity,Albacete vino tinto sin DOP/IGP
