date,product,price
2001-01-01,ternera,122.9
2001-01-01,arroz,300.44
2001-01-01,arroz,276.47
2001-01-01,ternera,277.25
2001-01-01,arroz,495.83
2001-01-01,ternera,230.72
2001-01-01,cerdo,156.08
2001-01-01,cerdo,156.08
2001-01-01,cerdo,53.6
2001-01-10,arroz,271.92
2001-01-10,ternera,294.31
2001-01-10,ternera,139.25
2001-01-10,ternera,235.33
2001-01-10,leche semidesnatada en polvo,259.04
2001-01-10,mantequilla,296.27
2001-01-10,cerdo,156.64
2001-01-10,queso emmental,655.62
2001-01-10,queso edam,546.15
2001-01-10,arroz,298.34
2001-01-10,cerdo,32.76
2001-01-10,cerdo,156.64
2001-01-15,ternera,228.17
2001-01-15,ternera,131.05
2001-01-15,ternera,278.08
2001-01-15,mantequilla,301.11
2001-01-15,queso edam,538.42
2001-01-15,queso emmental,648.06
2001-01-15,arroz,289.99
2001-01-15,leche semidesnatada en polvo,228.38
2001-01-15,cerdo,156.75
2001-01-15,cerdo,156.75
2001-01-15,cerdo,51.19
2001-01-15,arroz,495.83
2001-01-15,arroz,321.48
2001-01-22,ternera,214.53
2001-01-22,ternera,265.73
2001-01-22,cerdo,157.17
2001-01-22,cerdo,157.17
2001-01-22,leche semidesnatada en polvo,228.38
2001-01-22,mantequilla,291.42
2001-01-22,arroz,510.86
2001-01-22,cerdo,48.02
2001-01-22,queso emmental,648.06
2001-01-22,queso edam,538.42
2001-01-22,arroz,289.99
2001-01-22,arroz,312.46
2001-01-22,ternera,122.07
2001-01-29,arroz,289.99
2001-01-29,queso edam,538.42
2001-01-29,ternera,249.91
2001-01-29,ternera,115.63
2001-01-29,ternera,215.19
2001-01-29,queso emmental,648.52
2001-01-29,leche semidesnatada en polvo,259.04
2001-01-29,cerdo,163.67
2001-01-29,cerdo,163.67
2001-01-29,cerdo,52.89
2001-01-29,mantequilla,289.43
2001-01-29,arroz,318.47
2001-01-29,arroz,510.86
2001-02-04,mantequilla,294.99
2001-02-04,ternera,219.18
2001-02-04,ternera,144.22
2001-02-04,ternera,217.21
2001-02-04,arroz,298.28
2001-02-04,arroz,321.81
2001-02-04,cerdo,189.04
2001-02-04,leche semidesnatada en polvo,259.04
2001-02-04,queso emmental,653.26
2001-02-04,queso edam,545.97
2001-02-04,cerdo,58.76
2001-02-04,cerdo,189.04
2001-02-04,arroz,510.86
2001-02-07,ternera,234.46
2001-02-07,ternera,145.35
2001-02-07,ternera,249.19
2001-02-07,cerdo,198.81
2001-02-07,cerdo,198.81
2001-02-07,cerdo,41.75
2001-02-07,queso edam,546.08
2001-02-07,leche semidesnatada en polvo,259.04
2001-02-07,mantequilla,311.79
2001-02-07,queso emmental,655.62
2001-02-07,arroz,301.95
2001-02-07,arroz,540.91
2001-02-19,arroz,336.5
2001-02-19,queso emmental,648.52
2001-02-19,ternera,228.17
2001-02-19,ternera,115.21
2001-02-19,cerdo,64.49
2001-02-19,ternera,218.29
2001-02-19,cerdo,192.69
2001-02-19,cerdo,192.69
2001-02-19,arroz,510.86
2001-02-19,leche semidesnatada en polvo,259.04
2001-02-19,mantequilla,290.05
2001-02-19,arroz,292.99
2001-02-19,queso edam,538.42
2001-02-26,ternera,210.31
2001-02-26,cerdo,199.98
2001-02-26,queso edam,538.42
2001-02-26,arroz,295.99
2001-02-26,cerdo,199.98
2001-02-26,leche semidesnatada en polvo,259.04
2001-02-26,mantequilla,290.05
2001-02-26,queso emmental,648.52
2001-02-26,arroz,321.81
2001-02-26,ternera,211.23
2001-02-26,ternera,120.62
2001-02-26,arroz,510.86
2001-02-26,cerdo,64.19
2001-03-09,queso edam,546.08
2001-03-09,ternera,291.33
2001-03-09,queso emmental,655.62
2001-03-09,mantequilla,311.79
2001-03-09,leche semidesnatada en polvo,259.04
2001-03-09,cerdo,173.84
2001-03-09,cerdo,173.84
2001-03-09,ternera,244.16
2001-03-09,cerdo,39.61
2001-03-09,ternera,139.45
2001-03-12,ternera,140.61
2001-03-12,ternera,277.34
2001-03-12,arroz,274.18
2001-03-12,cerdo,42.92
2001-03-12,cerdo,139.96
2001-03-12,cerdo,139.96
2001-03-12,ternera,323.37
2001-03-12,leche semidesnatada en polvo,259.04
2001-03-12,queso edam,549.87
2001-03-12,mantequilla,282.48
2001-03-12,queso emmental,655.62
2001-03-12,arroz,280.97
2001-03-19,leche semidesnatada en polvo,259.04
2001-03-19,arroz,510.86
2001-03-19,mantequilla,289.09
2001-03-19,arroz,299.0
2001-03-19,ternera,132.99
2001-03-19,ternera,210.35
2001-03-19,arroz,321.81
2001-03-19,queso emmental,653.26
2001-03-19,queso edam,545.97
2001-03-19,cerdo,203.76
2001-03-19,cerdo,66.83
2001-03-19,cerdo,203.76
2001-03-19,ternera,213.6
2001-03-26,ternera,212.93
2001-03-26,leche semidesnatada en polvo,259.04
2001-03-26,mantequilla,292.69
2001-03-26,queso emmental,653.26
2001-03-26,queso edam,545.97
2001-03-26,ternera,141.59
2001-03-26,ternera,204.55
2001-03-26,cerdo,63.84
2001-03-26,arroz,298.28
2001-03-26,cerdo,200.02
2001-03-26,cerdo,200.02
2001-03-26,arroz,510.86
2001-03-26,arroz,321.81
2001-04-06,ternera,149.52
2001-04-06,cerdo,197.61
2001-04-06,cerdo,197.61
2001-04-06,arroz,327.49
2001-04-06,ternera,237.54
2001-04-06,cerdo,52.99
2001-04-06,queso edam,546.06
2001-04-06,arroz,540.91
2001-04-06,ternera,249.76
2001-04-06,queso emmental,653.73
2001-04-06,leche semidesnatada en polvo,259.04
2001-04-06,mantequilla,297.63
2001-04-16,cerdo,191.95
2001-04-16,cerdo,191.95
2001-04-16,arroz,510.86
2001-04-16,arroz,321.81
2001-04-16,ternera,226.15
2001-04-16,ternera,140.28
2001-04-16,cerdo,57.4
2001-04-16,queso edam,545.97
2001-04-16,queso emmental,653.26
2001-04-16,mantequilla,295.7
2001-04-16,leche semidesnatada en polvo,259.04
2001-04-16,ternera,227.72
2001-04-16,arroz,298.28
2001-04-23,ternera,232.81
2001-04-23,arroz,342.52
2001-04-23,arroz,510.86
2001-04-23,cerdo,198.81
2001-04-23,queso edam,545.97
2001-04-23,mantequilla,294.5
2001-04-23,arroz,298.28
2001-04-23,ternera,238.66
2001-04-23,queso emmental,653.26
2001-04-23,cerdo,198.81
2001-04-23,leche semidesnatada en polvo,259.04
2001-04-23,ternera,145.64
2001-04-23,cerdo,63.08
2001-04-30,arroz,342.52
2001-04-30,cerdo,67.77
2001-04-30,ternera,243.97
2001-04-30,arroz,298.28
2001-04-30,arroz,510.86
2001-04-30,cerdo,199.13
2001-04-30,ternera,232.22
2001-04-30,ternera,144.62
2001-04-30,cerdo,199.13
2001-05-02,leche semidesnatada en polvo,259.04
2001-05-02,arroz,510.86
2001-05-02,arroz,324.48
2001-05-02,mantequilla,287.33
2001-05-02,queso edam,538.42
2001-05-02,queso emmental,648.52
2001-05-02,ternera,110.2
2001-05-02,ternera,229.47
2001-05-02,arroz,291.49
2001-05-02,ternera,211.35
2001-05-02,cerdo,58.96
2001-05-02,cerdo,172.53
2001-05-02,cerdo,172.53
2001-05-03,arroz,510.86
2001-05-03,arroz,295.99
2001-05-03,ternera,208.13
2001-05-03,cerdo,65.69
2001-05-03,queso edam,545.97
2001-05-03,queso emmental,653.26
2001-05-03,mantequilla,290.05
2001-05-03,leche semidesnatada en polvo,259.08
2001-05-03,cerdo,209.08
2001-05-03,cerdo,209.08
2001-05-03,ternera,120.32
2001-05-03,ternera,202.33
2001-05-03,arroz,321.81
2001-05-11,ternera,249.7
2001-05-11,queso emmental,655.62
2001-05-11,mantequilla,297.5
2001-05-11,cerdo,129.69
2001-05-11,cerdo,129.69
2001-05-11,arroz,280.94
2001-05-11,queso edam,549.87
2001-05-11,leche semidesnatada en polvo,259.04
2001-05-11,ternera,310.02
2001-05-11,ternera,137.93
2001-05-11,arroz,277.19
2001-05-11,cerdo,31.42
2001-05-14,cerdo,64.66
2001-05-14,leche semidesnatada en polvo,259.04
2001-05-14,mantequilla,300.51
2001-05-14,cerdo,207.42
2001-05-14,cerdo,207.42
2001-05-14,ternera,241.13
2001-05-14,ternera,142.96
2001-05-14,arroz,510.86
2001-05-14,queso edam,546.0
2001-05-14,queso emmental,653.73
2001-05-14,ternera,261.34
2001-05-14,arroz,342.52
2001-05-14,arroz,294.5
2001-05-21,mantequilla,296.3
2001-05-21,leche semidesnatada en polvo,259.04
2001-05-21,ternera,242.17
2001-05-21,ternera,146.3
2001-05-21,ternera,259.43
2001-05-21,cerdo,212.18
2001-05-21,cerdo,212.18
2001-05-21,cerdo,60.25
2001-05-21,queso edam,546.02
2001-05-21,queso emmental,653.73
2001-05-28,cerdo,207.11
2001-05-28,cerdo,207.11
2001-05-28,arroz,540.91
2001-05-28,arroz,327.49
2001-05-28,cerdo,57.87
2001-05-28,arroz,294.5
2001-05-28,ternera,241.13
2001-05-28,ternera,147.96
2001-05-28,ternera,257.89
2001-06-08,ternera,239.26
2001-06-08,cerdo,44.47
2001-06-08,ternera,145.12
2001-06-08,cerdo,185.42
2001-06-08,cerdo,185.42
2001-06-08,ternera,275.08
2001-06-08,mantequilla,307.21
2001-06-08,queso emmental,655.62
2001-06-08,queso edam,546.08
2001-06-08,leche semidesnatada en polvo,259.04
2001-06-18,cerdo,46.95
2001-06-18,arroz,304.95
2001-06-18,ternera,263.74
2001-06-18,queso edam,546.1
2001-06-18,ternera,147.86
2001-06-18,queso emmental,653.77
2001-06-18,mantequilla,303.56
2001-06-18,arroz,540.91
2001-06-18,leche semidesnatada en polvo,259.08
2001-06-18,ternera,237.03
2001-06-18,cerdo,199.28
2001-06-18,cerdo,199.28
2001-06-25,ternera,236.08
2001-06-25,cerdo,198.88
2001-06-25,arroz,540.91
2001-06-25,cerdo,45.06
2001-06-25,arroz,304.95
2001-06-25,leche semidesnatada en polvo,259.04
2001-06-25,mantequilla,301.11
2001-06-25,cerdo,198.88
2001-06-25,ternera,151.15
2001-06-25,ternera,248.92
2001-06-25,queso edam,546.06
2001-06-25,queso emmental,653.73
2001-07-05,leche semidesnatada en polvo,259.04
2001-07-05,arroz,294.5
2001-07-05,ternera,251.34
2001-07-05,ternera,233.91
2001-07-05,cerdo,68.73
2001-07-05,ternera,146.15
2001-07-05,cerdo,202.06
2001-07-05,cerdo,202.06
2001-07-05,queso edam,546.0
2001-07-05,queso emmental,653.73
2001-07-05,mantequilla,295.4
2001-07-05,arroz,510.86
2001-07-05,arroz,342.52
2001-07-16,leche semidesnatada en polvo,259.04
2001-07-16,mantequilla,307.76
2001-07-16,queso emmental,655.62
2001-07-16,arroz,301.95
2001-07-16,cerdo,39.47
2001-07-16,queso edam,546.08
2001-07-16,cerdo,186.67
2001-07-16,cerdo,186.67
2001-07-16,ternera,145.2
2001-07-16,ternera,232.45
2001-07-16,ternera,257.79
2001-07-23,ternera,141.01
2001-07-23,cerdo,38.36
2001-07-23,cerdo,183.51
2001-07-23,cerdo,183.51
2001-07-23,ternera,268.78
2001-07-23,ternera,233.86
2001-07-23,queso edam,546.08
