Name,Super,Price
Espárrago verde fino manojo 250 gr,dia,7.96
Espárrago verde grueso manojo 300 gr,dia,9.63
CARRETILLA yemas de espárragos gruesos lata 135 gr,dia,26.59
CARRETILLA espárragos blancos cortos gruesos frasco 110 gr,dia,26.27
DIA VEGECAMPO espárragos verdes delgados frasco 100 gr,dia,12.50
DIA VEGECAMPO yemas de espárrago muy grueso frasco 110 gr,dia,16.27
DIA VEGECAMPO tallo de espárrago blanco lata 250 gr,dia,5.16
DIA VEGECAMPO espárragos blancos medianos extra frasco 205 gr,dia,6.83
DELICIAS DE DIA espárragos blancos IGP de Navarra frasco 325 gr,dia,18.43
DIA VEGECAMPO espárragos blancos cortos y delgados frasco 110 gr,dia,11.73
DELICIAS DE DIA espárragos blancos IGP Navarra frasco 205 gr,dia,18.49
DIA VEGECAMPO espárragos blancos muy gruesos 6/9 piezas frasco 320 gr,dia,7.66
CARRETILLA espárragos blancos extra muy grueso 6/12 piezas frasco 325 gr,dia,11.97
BUJANDA espárragos blancos extra muy gruesos 6/9 piezas frasco 325 gr,dia,9.82
Espárrago blanco Carrefour 205 g.,carrefour,6.59
Espárragos blancos extra 8/12 Carretilla 205 g.,carrefour,13.90
Espárrago verde manojo de 300 g,carrefour,9.30
Espárrago blanco 5/8 Carretilla 110 g.,carrefour,25.00
Espárragos blancos gruesos 6/12 Carrefour 325 g.,carrefour,7.23
Yemas de esparragos muy gruesas Carrefour 110 g.,carrefour,10.45
Espárragos blancos 8/12 Carretilla 325 g.,carrefour,12.46
Espárragos blancos cortos medios 10/18 Carrefour 110 g.,carrefour,10.91
Esparrago blaco muy grueso de Navarra De Nuestra Tierra 220 g.,carrefour,22.50
Espárragos blancos gruesos bajo contenido en sal Carrefour 205 g.,carrefour,9.02
Espárrago verde manojo de 400 g,carrefour,7.16
Espárragos blancos muy gruesos 20/30 Carrefour Classic sin lactosa 990 g.,carrefour,7.36
Espárragos blancos de Navarra extra 9/12 muy gruesos El Encierro 325 g.,carrefour,17.51
Espárragos blancos de Navarra 6/10 Carrefour 205 g.,carrefour,18.49
Espárragos verdes Carrefour 190 g.,carrefour,11.53
Espárragos blancos de Navarra Carrefour 325 g.,carrefour,15.85
Espárrago verde entero Findus 200 g.,carrefour,17.95
Espárragos blancos de Navarra Carrefour 325 g.,carrefour,16.89
Espárragos blancos de Navarra Carrefour 220 g.,carrefour,21.95
Yemas de espárrago muy gruesos Classic Carrefour 205 g.,carrefour,13.61
Yemas de espárragos blancos delgados Carrefour pack de 2 unidades de 135 g.,carrefour,11.74
Yemas extra-gruesos Carretilla 115 g.,carrefour,33.18
Espárrago verde punta selecta manojo 100 g,carrefour,24.90
Espárrago blanco cortos extra Carretilla 110 g.,carrefour,12.55
Espárragos blancos muy gruesos De Nuestra Tierra 350 g.,carrefour,29.11
Espárrago blanco extra grueso De Nuestra Tierra 350 g.,carrefour,41.57
Espárragos blancos de Navarra Carrefour 125 g.,carrefour,22.32
Esparragos blancos de Navarra extra El Encierro 250g.,carrefour,20.60
Espárrago blanco extra grueso De Nuestra Tierra 220 g.,carrefour,38.14
Espárrago de Navarra blanco extra 13/16 Pedro Luis 250 g.,carrefour,26.20
Espárragos de Navarra De Nuestra Tierra 425 g.,carrefour,26.80
Espárragos blancos extra muy gruesos 6/8 LC 220 g.,carrefour,28.86
