ds,y
2021-01-02,1180.6999999999998
2021-01-03,1303.25
2021-01-11,1507.4
2021-01-18,1108.13
2021-01-25,1162.05
2021-02-08,1246.75
2021-02-15,1197.85
2021-02-22,1262.7
2021-03-05,1440.25
2021-03-15,1421.0
2021-03-22,1431.4
2021-03-29,1422.0
2021-04-01,960.0
2021-04-10,1382.25
2021-04-19,1442.0
2021-04-26,1443.5
2021-05-04,1409.95
2021-05-07,1250.1
2021-05-17,1440.8000000000002
2021-05-24,1438.9
2021-05-31,1409.7
2021-06-09,1297.45
2021-06-14,1285.9
2021-06-21,1278.95
2021-06-28,1269.7
2021-07-06,1374.5500000000002
2021-07-19,1253.1
2021-07-26,1246.75
2021-08-02,1177.9499999999998
2021-08-03,1405.8
2021-08-11,1512.7
2021-08-16,1239.75
2021-08-23,1263.95
2021-08-30,1289.7
2021-09-08,1237.4
2021-09-13,1336.35
2021-09-20,1364.6999999999998
2021-09-27,1368.0
2021-10-05,1442.75
2021-10-18,1493.75
2021-10-25,1506.7
2021-11-01,1147.6999999999998
2021-11-10,1420.85
2021-11-15,1523.75
2021-11-22,1552.15
2021-12-04,1444.9
2021-12-07,1241.3000000000002
