ds,y
2004-05-07,98.43
2004-05-17,189.52
2004-05-24,196.06
2004-06-21,132.66
2004-06-28,126.07
2004-07-19,98.86
2004-12-07,100.67
2005-04-07,68.42
2005-05-16,125.0
2005-05-23,175.0
2005-05-30,104.51
2005-06-06,90.85
2005-06-13,89.24
2005-06-20,84.01
2005-06-27,76.73
2005-11-07,64.84
2006-03-07,69.83
2006-05-06,85.18
2006-05-15,125.0
2006-05-22,75.35
2006-05-29,81.01
2006-06-19,90.78
2006-06-26,82.06
2006-10-07,75.0
2006-12-06,86.5
2007-04-06,137.04
2007-05-14,157.41
2007-05-21,135.0
2007-05-28,133.35
2007-06-18,114.8
2007-06-25,116.65
2007-07-05,160.0
2007-09-07,121.01
2007-11-06,139.79
2008-02-06,142.24
2008-04-28,145.0
2008-05-05,153.79
2008-05-19,160.0
2008-05-26,144.34
2008-06-16,98.31
2008-06-23,103.5
2008-06-30,97.95
2008-07-07,90.0
2008-07-14,100.0
2008-09-06,116.52
2008-12-05,161.0
2009-01-06,95.2
2009-05-18,132.05
2009-05-25,116.82
2009-06-07,70.0
2009-06-15,89.21
2009-06-22,82.26
2009-06-29,70.0
2009-08-06,86.1
2009-11-05,170.87
2010-05-07,107.15
2010-05-17,180.0
2010-05-24,181.71
2010-05-31,156.29
2010-06-14,105.0
2010-06-21,105.16
2010-06-28,105.74
2010-07-06,108.0
2010-07-19,83.0
2010-07-26,80.0
2010-12-07,125.0
2011-02-05,250.0
2011-05-16,150.87
2011-05-23,125.0
2011-05-30,100.0
2011-06-06,101.44
2011-06-13,100.0
2011-06-20,95.0
2011-06-27,85.0
2011-09-05,150.0
2012-02-07,85.0
2012-04-06,98.0
2012-04-30,255.0
2012-05-14,180.0
2012-05-21,173.7
2012-05-28,95.0
2012-06-18,80.0
2012-06-25,85.0
2012-07-05,220.0
2012-08-13,95.87
2012-08-20,102.94
2012-11-06,83.0
2013-01-07,110.0
2013-03-06,237.5
2013-05-13,285.0
2013-05-20,234.0
2013-05-27,217.5
2013-06-17,150.0
2013-06-24,110.0
2013-10-06,150.0
2014-02-06,95.45
2014-04-28,350.0
2014-05-05,225.0
2014-05-19,144.63
2014-05-26,127.27
2014-06-16,105.0
2014-06-23,105.0
2014-09-06,105.0
2014-12-05,185.95
2015-01-06,173.01
2015-05-18,220.31
2015-05-25,183.52
2015-06-15,92.93
2015-06-22,92.53
2015-06-29,60.0
2015-08-06,131.4
2015-11-05,196.2
2016-02-05,294.0
2016-04-07,112.0
2016-05-16,160.44
2016-05-23,148.38
2016-05-30,128.28
2016-06-06,117.5
2016-06-13,100.38
2016-06-20,101.7
2016-06-27,102.7
2016-07-18,120.0
2016-09-05,259.92
2016-11-07,124.0
2017-01-05,203.52
2017-04-24,218.0
2017-05-06,79.0
2017-05-15,101.09
2017-05-22,98.62
2017-05-29,102.7
2017-06-19,89.0
2017-06-26,88.0
2017-07-17,74.48
2017-07-31,65.62
2017-08-05,126.98
2017-10-07,89.7
2017-12-06,76.2
2018-02-07,79.13
2018-04-06,69.01
2018-04-23,404.82
2018-04-30,299.52
2018-05-14,112.39
2018-05-21,97.9
2018-05-28,75.4
2018-06-08,76.64
2018-06-18,72.06
2018-06-25,72.88
2018-07-05,137.15
2018-07-16,70.88
2018-07-23,72.84
2018-07-30,76.19
2018-08-13,130.58
2018-09-07,85.99
2018-11-06,75.32
2019-01-07,115.77
2019-03-06,94.39
2019-05-08,117.64
2019-05-13,91.47
2019-05-20,96.75
2019-05-27,97.35
2019-06-05,108.1
2019-06-17,116.63
2019-06-24,116.58
2019-07-15,104.31
2019-07-22,93.71
2019-07-29,119.83
2019-08-07,105.64
2019-08-19,116.4
2019-08-26,100.0
2019-10-06,104.66
2019-12-08,117.64
2020-01-06,131.91
2020-03-08,178.77
2020-04-05,140.31
2020-05-18,135.03
2020-05-25,110.99
2020-06-07,173.33
2020-06-15,156.35
2020-06-22,147.04
2020-06-29,146.72
2020-07-13,175.8
2020-07-20,169.21
2020-07-27,169.06
2020-08-06,144.79
2020-08-17,179.83
2020-10-08,147.42
2020-11-05,120.41
2021-02-08,115.16
2021-03-05,181.67
2021-05-07,162.74
2021-05-17,160.28
2021-05-24,176.25
2021-05-31,144.84
2021-06-14,143.17
2021-06-21,137.44
2021-06-28,142.29
2021-07-06,143.61
2021-07-26,114.49
2021-08-16,157.81
2021-08-23,104.0
2021-09-08,159.0
2021-10-05,189.89
