ds,y
2001-01-01,357.58
2001-01-10,285.13
2001-01-15,369.09999999999997
2001-01-22,371.1033333333333
2001-01-29,373.10666666666674
2001-02-04,376.98333333333335
2001-02-07,421.42999999999995
2001-02-19,380.1166666666666
2001-02-26,376.22
2001-03-12,277.57500000000005
2001-03-19,377.22333333333336
2001-03-26,376.98333333333335
2001-04-06,434.2
2001-04-16,376.98333333333335
2001-04-23,383.8866666666666
2001-04-30,383.8866666666666
2001-05-02,375.60999999999996
2001-05-03,376.22
2001-05-11,279.065
2001-05-14,382.6266666666667
2001-05-28,387.6333333333334
2001-06-18,422.92999999999995
2001-06-25,422.92999999999995
2001-07-05,382.6266666666667
2001-07-16,301.95
2001-07-23,301.95
2001-07-30,301.95
2001-08-01,369.09999999999997
2001-08-10,270.41999999999996
2001-09-07,301.95
2001-09-17,276.4
2001-09-24,276.4
2001-10-09,268.47
2001-10-12,278.34000000000003
2001-10-15,270.41999999999996
2001-10-22,273.42499999999995
2001-11-06,430.445
2001-11-19,280.20500000000004
2001-11-26,278.32500000000005
2001-12-02,375.60999999999996
2001-12-03,376.22
2001-12-11,280.20500000000004
2001-12-17,279.09000000000003
2002-01-04,282.305
2002-01-07,270.0
2002-01-14,280.85
2002-01-21,279.63
2002-01-28,281.18
2002-02-12,332.19666666666666
2002-02-18,282.305
2002-02-25,282.305
2002-03-06,270.0
2002-03-18,282.305
2002-03-25,282.305
2002-04-02,282.305
2002-04-03,282.305
2002-04-11,255.98
2002-04-15,282.305
2002-04-22,282.305
2002-04-29,270.0
2002-05-08,280.0
2002-05-13,270.0
2002-05-20,270.0
2002-05-27,270.0
2002-06-05,270.0
2002-06-17,270.0
2002-06-24,270.0
2002-07-01,280.85
2002-07-10,260.0
2002-07-15,270.0
2002-07-22,270.0
2002-07-29,280.0
2002-08-04,282.305
2002-08-07,270.0
2002-09-12,332.19666666666666
2002-10-06,270.0
2002-10-14,260.0
2002-10-21,255.0
2002-10-28,255.0
2002-11-02,281.93
2002-11-03,282.305
2002-11-11,254.485
2002-11-18,255.985
2002-11-25,332.7866666666667
2002-12-08,380.0
2002-12-16,345.0133333333333
2002-12-23,351.16333333333336
2002-12-30,352.83
2003-01-12,334.8566666666666
2003-01-13,353.32666666666665
2003-01-20,353.32666666666665
2003-01-27,362.22333333333336
2003-02-06,430.0
2003-02-17,371.49333333333334
2003-02-24,372.32666666666665
2003-03-02,363.10999999999996
2003-03-03,372.32666666666665
2003-03-11,372.985
2003-03-17,376.40000000000003
2003-03-24,376.40000000000003
2003-03-31,376.40000000000003
2003-04-08,540.0
2003-04-14,384.98333333333335
2003-04-21,437.5
2003-04-28,435.0
2003-05-05,435.0
2003-05-19,430.0
2003-06-01,352.83
2003-06-10,258.33
2003-06-16,430.0
2003-06-23,430.0
2003-06-30,430.0
2003-07-04,381.98333333333335
2003-07-07,540.0
2003-07-14,540.0
2003-07-21,540.0
2003-07-28,540.0
2003-08-12,335.3566666666666
2003-08-18,540.0
2003-09-06,430.0
2003-09-22,252.98
2003-09-29,252.98
2003-10-02,363.99333333333334
2003-10-03,376.40000000000003
2003-10-11,372.985
2003-10-13,370.65999999999997
2003-10-20,370.65999999999997
2003-10-27,370.65999999999997
2003-11-08,540.0
2003-11-17,333.3566666666667
2003-11-24,334.8566666666666
2003-12-05,430.0
2003-12-15,334.3566666666667
2003-12-22,334.3566666666667
2004-01-03,375.485
2004-01-19,334.3566666666666
2004-01-26,342.20666666666665
2004-02-02,347.44
2004-02-08,395.565
2004-02-16,347.44
2004-02-23,346.03000000000003
2004-03-05,378.005
2004-03-15,377.985
2004-03-22,377.985
2004-03-29,377.985
2004-04-10,480.0
2004-04-19,378.005
2004-04-26,378.005
2004-05-04,377.985
2004-05-07,380.54499999999996
2004-05-17,378.025
2004-05-24,378.025
2004-05-31,380.525
2004-06-09,510.0
2004-06-12,283.96
2004-06-14,380.54499999999996
2004-06-21,380.54499999999996
2004-06-28,380.54499999999996
2004-07-06,380.54499999999996
2004-07-19,363.40000000000003
2004-07-26,388.065
2004-08-03,377.985
2004-08-11,325.745
2004-08-16,510.0
2004-08-23,510.0
2004-08-30,510.0
2004-09-02,347.44
2004-09-08,510.0
2004-09-13,510.0
2004-09-20,510.0
2004-09-27,510.0
2004-10-05,378.025
2004-10-18,330.485
2004-10-25,319.545
2004-11-10,337.985
2004-11-15,324.25
2004-11-22,324.625
2004-11-29,283.96
2004-12-01,334.3566666666667
2004-12-04,378.005
2004-12-07,380.565
2004-12-13,282.29333333333335
2004-12-20,277.1766666666667
2004-12-27,277.1766666666667
2005-01-08,272.81
2005-01-24,283.8433333333333
2005-01-31,277.1766666666667
2005-02-05,276.24333333333334
2005-02-14,277.1766666666667
2005-02-21,275.8433333333333
2005-02-28,275.8433333333333
2005-03-01,277.1766666666667
2005-03-10,447.7
2005-03-14,280.1766666666667
2005-03-21,280.1766666666667
2005-03-28,285.51
2005-04-04,281.1766666666667
2005-04-07,274.21
2005-04-18,276.8433333333333
2005-04-25,276.24333333333334
2005-05-09,277.04333333333335
2005-05-12,274.0833333333333
2005-05-16,273.51
2005-05-23,274.07666666666665
2005-05-30,272.1766666666667
2005-06-06,276.51
2005-06-13,275.68
2005-06-20,276.69666666666666
2005-06-27,274.4433333333333
2005-07-02,277.1766666666667
2005-07-03,278.51
2005-07-11,316.25
2005-07-18,283.51
2005-07-25,272.81
2005-08-08,272.81
2005-08-15,277.04333333333335
2005-08-22,277.04333333333335
2005-08-29,277.04333333333335
2005-09-05,273.8433333333333
2005-09-19,421.3
2005-09-26,437.85
2005-10-01,283.8433333333333
2005-10-10,317.75
2005-10-17,315.0
2005-10-24,318.25
2005-11-04,276.8433333333333
2005-11-07,274.21
2005-11-14,268.7
2005-11-21,274.5833333333333
2005-11-28,268.6166666666667
2005-12-09,273.1766666666667
2005-12-12,274.0833333333333
2005-12-19,274.0833333333333
2005-12-26,264.0833333333333
2006-01-05,264.6666666666667
2006-01-16,274.8333333333333
2006-01-23,259.0266666666667
2006-01-30,265.5266666666667
2006-02-01,275.0833333333333
2006-02-10,271.0
2006-02-13,265.5566666666667
2006-02-20,264.13666666666666
2006-02-27,261.8066666666667
2006-03-04,259.14
2006-03-07,266.2233333333333
2006-03-13,261.62333333333333
2006-03-20,259.36
2006-03-27,260.0
2006-04-12,280.5233333333333
2006-04-17,264.72333333333336
2006-04-24,264.6666666666667
2006-05-06,260.6666666666667
2006-05-15,267.6666666666667
2006-05-22,263.6666666666667
2006-05-29,262.0
2006-06-02,273.86
2006-06-03,260.29
2006-06-11,279.2733333333333
2006-06-19,260.6666666666667
2006-06-26,264.6666666666667
2006-07-08,276.4166666666667
2006-07-17,277.8333333333333
2006-07-24,272.8333333333333
2006-07-31,276.4166666666667
2006-08-05,264.7766666666667
2006-08-14,271.0
2006-08-21,260.11
2006-08-28,392.5
2006-09-01,274.75
2006-09-10,269.6666666666667
2006-09-18,392.5
2006-09-25,410.0
2006-10-04,259.14
2006-10-07,271.6666666666667
2006-10-16,266.8333333333333
2006-10-23,271.48333333333335
2006-10-30,280.6066666666666
2006-11-12,285.8333333333333
2006-11-13,277.2733333333333
2006-11-20,275.2733333333333
2006-11-27,280.19
2006-12-06,260.6666666666667
2006-12-18,284.41
2006-12-25,284.41
2007-01-01,282.4166666666667
2007-01-10,365.16499999999996
2007-01-15,283.2
2007-01-22,288.8666666666667
2007-01-29,290.42
2007-02-04,303.64
2007-02-07,304.5
2007-02-19,290.2733333333333
2007-02-26,299.0833333333333
2007-03-09,329.895
2007-03-12,356.7133333333333
2007-03-19,295.5266666666667
2007-03-26,297.86
2007-04-06,305.0
2007-04-16,303.9733333333333
2007-04-23,305.49
2007-04-30,304.1566666666667
2007-05-02,295.79333333333335
2007-05-11,347.5133333333333
2007-05-14,303.8333333333333
2007-05-21,305.8333333333333
2007-05-28,307.8333333333333
2007-06-08,333.395
2007-06-18,306.0
2007-06-25,306.8333333333333
2007-07-05,303.1566666666667
2007-07-16,334.895
2007-07-23,333.395
2007-07-30,333.395
2007-08-01,282.4166666666667
2007-08-10,365.0
2007-08-13,334.895
2007-08-20,334.895
2007-08-27,234.79
2007-09-04,303.64
2007-09-07,334.895
2007-09-17,434.0
2007-09-24,436.0
2007-10-09,334.395
2007-10-12,355.5233333333333
2007-10-15,367.0
2007-10-22,345.0
2007-10-29,344.68333333333334
2007-11-06,303.5
2007-11-19,361.3633333333333
2007-11-26,361.3633333333333
2007-12-02,292.87666666666667
2007-12-03,299.0833333333333
2007-12-11,345.73333333333335
2007-12-17,358.3066666666667
2007-12-24,361.64000000000004
2007-12-31,362.6066666666666
2008-01-09,689.0
2008-01-12,521.24
2008-01-14,367.26666666666665
2008-01-21,365.9166666666667
2008-01-28,371.80999999999995
2008-02-06,456.83500000000004
2008-02-18,377.82
2008-02-25,385.4433333333333
2008-03-03,387.3333333333333
2008-03-11,513.8266666666667
2008-03-17,396.27666666666664
2008-03-24,396.27666666666664
2008-03-31,395.89000000000004
2008-04-02,368.65333333333336
2008-04-08,681.75
2008-04-14,398.39000000000004
2008-04-21,407.22333333333336
2008-04-28,409.8333333333333
2008-05-05,411.9433333333333
2008-05-19,456.58500000000004
2008-05-26,453.33500000000004
2008-06-10,580.235
2008-06-16,474.83500000000004
2008-06-23,464.16499999999996
2008-06-30,460.66499999999996
2008-07-01,365.1433333333334
2008-07-04,394.0566666666667
2008-07-07,481.16499999999996
2008-07-14,631.38
2008-07-21,663.0
2008-07-28,663.0
2008-08-09,689.0
2008-08-12,524.1566666666666
2008-08-18,664.0
2008-08-25,672.0
2008-09-06,468.83500000000004
2008-09-15,689.0
2008-09-22,684.33
2008-09-29,723.5
2008-10-03,392.27666666666664
2008-10-11,515.0233333333334
2008-10-13,579.235
2008-10-20,507.3933333333334
2008-10-27,520.4033333333333
2008-11-02,377.82
2008-11-08,689.06
2008-11-17,514.4033333333333
2008-11-24,517.0733333333334
2008-12-05,460.83500000000004
2008-12-15,529.5533333333334
2008-12-22,532.0166666666668
2008-12-29,523.93
2009-01-06,529.8133333333334
2009-01-19,535.04
2009-01-26,544.88
2009-02-02,541.25
2009-02-03,541.0866666666667
2009-02-11,401.87000000000006
2009-02-16,533.6966666666667
2009-02-23,541.0866666666667
2009-03-08,620.885
2009-03-16,550.9466666666666
2009-03-23,552.83
2009-03-30,556.1266666666667
2009-04-05,544.64
2009-04-13,551.2066666666666
2009-04-20,547.6999999999999
2009-04-27,545.1999999999999
2009-05-01,523.93
2009-05-10,700.0
2009-05-18,533.5766666666667
2009-05-25,530.3533333333334
2009-06-04,550.01
2009-06-07,501.5233333333333
2009-06-15,523.4
2009-06-22,517.8133333333334
2009-06-29,513.3366666666667
2009-07-09,770.0
2009-07-12,377.3666666666666
2009-07-13,451.77
2009-07-20,625.885
2009-07-27,620.885
2009-08-06,527.37
2009-08-17,760.0
