ds,y
2018-01-01,379.55
2018-02-01,379.2425
2018-03-01,379.7375
2018-04-01,369.40999999999997
2018-05-01,371.1825
2018-06-01,364.5225
2018-07-01,352.2075
2018-08-01,352.91
2018-09-01,355.5425
2018-10-01,334.02
2018-11-01,331.27500000000003
2018-12-01,327.305
2019-01-01,323.8325
2019-02-01,325.935
2019-03-01,325.975
2019-04-01,329.985
2019-05-01,328.84749999999997
2019-06-01,335.19
2019-07-01,334.495
2019-08-01,332.8825
2019-09-01,338.115
2019-10-01,347.4275
2019-11-01,350.8675
2019-12-01,358.525
2020-01-01,380.225
2020-02-01,389.2775
2020-03-01,391.52
2020-04-01,396.3875
2020-05-01,394.4875
2020-06-01,396.15250000000003
2020-07-01,396.755
2020-08-01,397.7575
2020-09-01,394.685
2020-10-01,395.3775
2020-11-01,395.4275
2020-12-01,392.8325
2021-01-01,398.78
2021-02-01,403.1375
2021-03-01,403.97249999999997
2021-04-01,405.7625
2021-05-01,406.4875
2021-06-01,407.985
2021-07-01,410.545
2021-08-01,412.87
2021-09-01,417.965
2021-10-01,428.045
