ds,y
2003-12-29,80.0
2004-01-03,94.39
2004-01-19,99.47
2004-01-26,106.34
2004-02-02,65.08
2004-03-05,74.2
2004-03-15,62.25
2004-03-22,46.21
2004-04-26,95.87
2004-05-01,95.47
2004-05-04,63.4
2004-05-07,53.72
2004-05-17,41.27
2004-05-24,25.01
2004-06-09,66.16
2004-06-21,79.73
2004-06-28,61.28
2004-07-19,41.9
2004-07-26,31.26
2004-08-03,96.83
2004-08-30,49.32
2004-09-02,50.99
2004-09-13,66.81
2004-12-01,122.6
2004-12-04,60.69
2007-01-10,145.74
2007-02-04,62.42
2007-02-07,60.04
2007-02-19,41.0
2007-02-26,35.89
2007-03-09,124.73
2007-03-12,109.23
2007-03-19,47.91
2007-03-26,56.26
2007-04-06,54.72
2007-04-16,54.7
2007-04-23,56.07
2007-04-30,55.64
2007-05-03,34.91
2007-05-11,80.41
2007-05-14,68.64
2007-05-21,62.35
2007-05-28,65.54
2007-06-18,65.19
2007-06-25,57.44
2007-07-05,63.79
2007-07-16,62.77
2007-07-23,59.7
2007-07-30,53.81
2007-08-10,150.53
2007-09-04,61.32
2007-09-07,67.82
2007-09-17,136.5
2007-09-24,124.52
2007-10-09,121.12
2007-10-12,112.25
2007-10-15,103.55
2007-10-22,65.3
2007-10-29,61.32
2007-11-06,56.06
2007-11-19,74.55
2007-11-26,100.82
2007-12-02,59.5
2007-12-03,48.03
2007-12-11,76.23
2007-12-17,110.37
2007-12-24,109.68
2007-12-31,120.33
2008-01-09,68.51
2008-01-12,115.62
2008-01-14,143.54
2008-01-21,111.77
2008-01-28,75.08
2008-02-06,40.99
2008-02-18,69.44
2008-02-25,80.0
2008-03-03,75.79
2008-03-11,36.88
2008-03-17,55.02
2008-03-24,48.85
2008-03-31,52.02
2008-04-02,74.9
2008-04-08,30.64
2008-04-14,62.71
2008-04-21,68.69
2008-04-28,63.24
2008-05-05,59.13
2008-05-19,44.07
2008-05-26,40.23
2008-06-10,63.41
2008-06-16,47.09
2008-06-23,35.59
2008-06-30,38.06
2008-07-01,135.48
2008-07-04,60.38
2008-07-07,39.03
2008-07-14,42.48
2008-07-21,40.29
2008-07-28,37.62
2008-08-09,78.29
2008-08-12,143.46
2008-08-18,40.95
2008-08-25,52.44
2008-09-06,50.55
2008-09-15,77.21
2008-09-22,47.62
2008-09-29,73.33
2008-10-03,68.88
2008-10-11,76.33
2008-10-13,49.52
2008-10-20,43.16
2008-10-27,33.94
2008-11-02,73.64
2008-11-08,30.5
2008-11-17,90.91
2008-11-24,97.52
2008-12-05,52.93
2008-12-15,141.12
2008-12-29,120.33
2009-01-06,31.94
2009-01-26,163.48
2009-02-02,129.38
2009-02-03,106.41
2009-02-11,33.2
2009-02-16,87.35
2009-02-23,88.24
2009-03-16,81.94
2009-03-23,53.92
2009-03-30,38.03
2009-04-05,46.51
2009-04-13,55.58
2009-04-20,40.52
2009-04-27,36.34
2009-05-01,98.54
2009-05-10,39.26
2009-05-18,34.69
2009-05-25,29.09
2009-06-04,53.78
2009-06-07,27.2
2009-06-15,30.66
2009-06-22,27.62
2009-06-29,25.06
2009-07-09,52.49
2009-07-12,100.04
2009-07-13,27.52
2009-07-20,23.35
2009-07-27,21.23
2009-08-06,32.82
2009-08-17,30.73
2009-08-24,37.7
2009-08-31,51.34
2009-09-02,118.93
2009-09-03,101.89
2009-09-11,31.64
2009-09-14,52.87
2009-09-21,53.62
2009-09-28,46.4
2009-10-08,21.44
2009-10-19,24.95
2009-10-26,35.7
2009-11-05,52.03
2009-11-16,40.32
2009-11-23,34.42
2009-11-30,50.5
2009-12-01,125.53
2009-12-10,31.02
2009-12-14,99.53
2009-12-21,114.92
2009-12-28,92.48
2010-01-02,162.9
2010-01-03,108.47
2010-01-11,38.08
2010-01-18,145.29
2010-01-25,95.5
2010-02-08,47.55
2010-02-15,191.03
2010-02-22,229.6
2010-03-05,31.31
2010-03-15,88.65
2010-03-22,133.07
2010-03-29,96.59
2010-04-01,88.32
2010-04-10,39.31
2010-04-19,36.64
2010-04-26,33.54
2010-05-04,64.62
2010-05-07,23.62
2010-05-17,64.45
2010-05-24,37.85
2010-05-31,27.13
2010-06-09,54.57
2010-06-12,85.9
2010-06-14,40.67
2010-06-21,67.18
2010-06-28,55.62
2010-07-06,29.78
2010-07-19,31.27
2010-07-26,24.01
2010-08-02,158.45
2010-08-03,83.08
2010-08-11,48.25
2010-08-16,51.91
2010-08-23,50.7
2010-08-30,54.57
2010-09-08,48.72
2010-09-13,55.36
2010-09-20,61.9
2010-09-27,61.9
2010-10-05,50.53
2010-10-18,35.88
2010-10-25,33.2
2010-11-01,118.42
2010-11-10,33.6
2010-11-15,43.71
2010-11-22,44.32
