ds,y
2014-12-29,712.855
2015-01-06,531.2950000000001
2015-01-19,693.495
2015-01-26,704.1700000000001
2015-02-02,697.14
2015-02-03,639.375
2015-02-11,625.0350000000001
2015-02-16,661.1
2015-02-23,654.175
2015-03-08,596.75
2015-03-16,625.855
2015-03-23,617.61
2015-03-30,628.925
2015-04-05,564.965
2015-04-13,584.685
2015-04-20,584.835
2015-04-27,574.86
2015-05-01,706.7950000000001
2015-05-10,642.69
2015-05-18,547.835
2015-05-25,534.48
2015-06-04,601.515
2015-06-07,561.04
2015-06-15,531.505
2015-06-22,531.92
2015-06-29,538.16
2015-07-09,641.22
2015-07-12,606.29
2015-07-13,555.81
2015-07-20,582.71
2015-07-27,591.175
2015-08-06,534.645
2015-08-17,605.3
2015-08-24,618.825
2015-08-31,629.925
2015-09-02,685.585
2015-09-03,628.0799999999999
2015-09-11,623.245
2015-09-14,646.7
2015-09-21,648.64
2015-09-28,645.3599999999999
2015-10-08,583.245
2015-10-19,637.315
2015-10-26,622.795
2015-11-05,556.425
2015-11-16,619.005
2015-11-23,606.02
2015-11-30,605.77
2015-12-01,708.1700000000001
2015-12-10,638.8
2015-12-14,605.375
2015-12-21,607.38
2015-12-28,608.4449999999999
2016-01-02,605.755
2016-01-08,582.35
2016-01-18,604.165
2016-01-25,605.235
2016-02-05,534.575
2016-02-15,606.23
2016-02-22,606.995
2016-02-29,602.73
2016-03-10,636.7850000000001
2016-03-14,588.585
2016-03-21,602.145
2016-03-28,581.385
2016-04-01,609.59
2016-04-04,556.645
2016-04-07,541.22
2016-04-18,539.73
2016-04-25,535.3249999999999
2016-05-09,614.245
2016-05-12,678.0699999999999
2016-05-16,538.26
2016-05-23,537.3199999999999
2016-05-30,534.975
2016-06-06,536.585
2016-06-13,538.5550000000001
2016-06-20,538.445
2016-06-27,536.085
2016-07-03,600.28
2016-07-11,669.845
2016-07-18,566.4
2016-07-25,568.84
2016-08-02,606.0649999999999
2016-08-08,594.1800000000001
2016-08-15,598.085
2016-08-22,601.3
2016-08-29,604.1949999999999
2016-09-05,521.9449999999999
2016-09-19,626.96
2016-09-26,631.245
2016-10-10,640.865
2016-10-17,648.465
2016-10-24,648.465
2016-10-31,670.665
2016-11-01,605.95
2016-11-04,554.64
2016-11-07,556.965
2016-11-14,672.605
2016-11-21,668.78
2016-11-28,672.76
2016-12-09,615.9300000000001
2016-12-12,665.415
2016-12-19,675.115
2016-12-26,669.5350000000001
2017-01-05,525.4100000000001
2017-01-16,587.345
2017-01-23,582.5799999999999
2017-01-30,567.8
2017-02-01,632.8900000000001
2017-02-10,659.165
2017-02-13,533.6600000000001
2017-02-20,520.59
2017-02-27,510.43499999999995
2017-03-04,483.76
2017-03-07,552.235
2017-03-13,486.605
2017-03-20,480.07
2017-03-27,484.835
2017-04-09,607.755
2017-04-12,643.5999999999999
2017-04-17,490.015
2017-04-24,509.20500000000004
2017-05-06,549.175
2017-05-15,544.715
2017-05-22,546.39
2017-05-29,549.105
2017-06-02,546.54
2017-06-03,498.48
2017-06-11,646.675
2017-06-19,549.1800000000001
2017-06-26,549.1800000000001
2017-07-08,580.425
2017-07-17,554.8199999999999
2017-07-24,556.975
2017-07-31,575.505
2017-08-05,532.61
2017-08-14,580.325
2017-08-21,579.665
2017-08-28,599.47
2017-09-01,610.685
2017-09-10,659.1600000000001
2017-09-18,645.895
2017-09-25,658.905
2017-10-04,488.07
2017-10-07,560.675
2017-10-16,658.1949999999999
2017-10-23,646.78
2017-10-30,646.78
2017-11-09,628.11
2017-11-12,642.0250000000001
2017-11-13,644.52
2017-11-20,644.73
2017-11-27,644.46
2017-12-06,549.175
2017-12-18,642.02
2017-12-25,638.25
2018-01-01,622.375
2018-01-10,589.575
2018-01-15,563.935
2018-01-22,559.21
2018-01-29,553.595
2018-02-04,542.88
2018-02-07,519.5
2018-02-19,547.9649999999999
2018-02-26,547.97
2018-03-09,607.9549999999999
2018-03-12,582.915
2018-03-19,548.175
2018-03-26,548.3499999999999
2018-04-06,533.8
2018-04-16,545.55
2018-04-23,545.29
2018-04-30,545.11
2018-05-02,546.935
2018-05-03,548.095
2018-05-11,571.25
2018-05-14,545.11
2018-05-21,545.29
2018-05-28,536.47
2018-06-08,553.81
2018-06-18,531.125
2018-06-25,524.98
2018-07-05,545.11
2018-07-16,520.3299999999999
2018-07-23,528.94
2018-07-30,535.465
2018-08-01,587.595
2018-08-10,576.9300000000001
2018-08-13,567.125
2018-08-20,591.01
2018-08-27,605.3050000000001
2018-09-04,545.73
2018-09-07,519.5
2018-09-17,601.555
2018-09-24,601.555
2018-10-09,607.825
2018-10-12,584.73
2018-10-15,571.4300000000001
2018-10-22,571.4300000000001
2018-10-29,571.25
2018-11-06,533.7950000000001
2018-11-19,571.245
2018-11-26,575.9300000000001
2018-12-02,546.935
2018-12-03,548.1700000000001
2018-12-11,571.25
2018-12-17,590.0699999999999
2018-12-24,590.0699999999999
2018-12-31,571.395
2019-01-04,558.95
2019-01-07,492.80499999999995
2019-01-14,571.395
2019-01-21,529.8399999999999
2019-01-28,529.46
2019-02-09,527.6600000000001
2019-02-12,636.3900000000001
2019-02-18,529.2850000000001
2019-02-25,529.2850000000001
2019-03-06,509.855
2019-03-18,548.8050000000001
2019-03-25,558.4549999999999
2019-04-02,529.46
2019-04-03,535.7349999999999
2019-04-11,582.005
2019-04-15,558.98
2019-04-22,556.85
2019-04-29,551.5699999999999
2019-05-08,505.745
2019-05-13,546.62
2019-05-20,530.875
2019-05-27,513.235
2019-06-05,550.2950000000001
2019-06-17,502.43
2019-06-24,495.43
2019-07-01,551.73
2019-07-10,555.635
2019-07-15,492.81
2019-07-22,492.81
2019-07-29,501.07
2019-08-04,558.98
2019-08-07,492.81
2019-08-19,509.475
2019-08-26,520.3199999999999
2019-09-09,529.545
2019-09-12,636.3900000000001
2019-09-16,533.5699999999999
2019-09-23,542.7049999999999
2019-09-30,551.1600000000001
2019-10-06,502.43
2019-10-14,555.9549999999999
2019-10-21,557.85
2019-10-28,566.215
2019-11-02,529.46
2019-11-03,546.78
2019-11-11,600.5999999999999
2019-11-18,620.78
2019-11-25,631.0699999999999
2019-12-08,509.475
2019-12-16,636.3900000000001
2019-12-23,636.3900000000001
2019-12-30,636.455
2020-01-06,536.0250000000001
2020-01-13,621.235
2020-01-20,613.525
2020-01-27,596.11
2020-02-03,605.83
2020-02-11,604.335
2020-02-17,590.675
2020-02-24,595.7049999999999
2020-03-02,590.825
2020-03-08,614.285
2020-03-16,617.0699999999999
2020-03-23,616.615
2020-03-30,608.27
2020-04-05,511.7
2020-04-13,547.83
2020-04-20,535.25
2020-04-27,536.255
2020-05-10,602.43
2020-05-18,514.075
2020-05-25,529.805
2020-06-01,626.325
2020-06-04,601.465
2020-06-07,613.535
2020-06-15,575.3299999999999
2020-06-22,588.2049999999999
2020-06-29,609.31
2020-07-09,612.26
2020-07-12,623.1300000000001
2020-07-13,615.95
2020-07-20,614.285
2020-07-27,614.3299999999999
2020-08-06,555.875
2020-08-17,612.26
2020-08-24,612.26
2020-08-31,612.26
2020-09-03,615.565
2020-09-11,604.335
2020-09-14,604.69
2020-09-21,604.69
2020-09-28,602.43
2020-10-02,590.675
2020-10-08,612.26
2020-10-19,604.335
2020-10-26,604.34
2020-11-05,511.06
2020-11-16,604.34
2020-11-23,604.34
2020-11-30,613.685
2020-12-10,604.24
2020-12-14,623.655
2020-12-21,623.655
2020-12-28,623.655
2021-01-02,589.97
2021-01-03,589.165
2021-01-11,754.9300000000001
2021-01-18,622.185
2021-01-25,608.24
2021-02-08,639.56
2021-02-15,589.175
2021-02-22,588.35
2021-03-05,627.135
2021-03-15,621.98
2021-03-22,632.98
2021-03-29,636.905
2021-04-01,623.665
2021-04-10,678.55
