ds,y
2004-06-12,85.0
2004-12-13,76.78
2005-01-17,199.22
2005-01-24,190.74
2005-01-31,252.06
2005-02-05,32.0
2005-02-14,226.0
2005-02-21,258.57
2005-03-10,83.35
2005-03-28,64.52
2005-04-18,37.33
2005-04-25,34.25
2005-05-12,97.41
2005-05-23,48.67
2005-05-30,44.83
2005-06-06,66.05
2005-06-13,55.31
2005-07-03,176.68
2005-07-11,68.54
2005-09-05,47.0
2005-10-01,193.79
2005-10-10,82.66
2005-10-17,61.53
2005-10-24,61.18
2005-10-31,52.89
2005-11-04,60.67
2005-11-14,87.72
2005-11-21,75.59
2005-12-12,124.11
2005-12-19,149.41
2006-01-05,37.09
2006-01-23,151.75
2006-01-30,153.33
2006-02-01,84.43
2006-02-13,89.24
2006-02-27,76.33
2006-03-04,48.12
2006-03-13,59.45
2006-03-20,58.0
2006-03-27,56.88
2006-04-12,78.33
2006-04-17,46.68
2006-04-24,41.25
2006-05-06,75.18
2006-05-15,48.03
2006-05-22,35.08
2006-05-29,47.43
2006-06-02,136.85
2006-06-03,72.35
2006-06-11,101.57
2006-06-19,49.05
2006-08-05,44.44
2006-09-01,148.07
2006-10-04,45.0
2006-10-16,51.0
2006-10-23,48.53
2006-10-30,52.12
2006-11-13,132.85
2006-11-20,130.4
2006-11-27,90.22
2006-12-06,75.93
2006-12-18,76.33
2006-12-25,66.2
2007-01-10,78.37
2007-01-15,101.15
2007-01-22,125.75
2007-01-29,106.2
2007-02-04,68.04
2007-02-19,53.99
2007-02-26,72.51
2007-03-12,83.5
2007-03-19,68.26
2007-03-26,72.6
2007-04-06,48.77
2007-04-16,52.2
2007-04-23,51.0
2007-04-30,53.36
2007-05-02,83.53
2007-05-03,76.24
2007-05-11,84.61
2007-05-14,37.56
2007-05-21,36.0
2007-05-28,41.74
2007-06-18,42.79
2007-07-05,43.46
2007-07-30,103.6
2007-08-01,79.02
2007-08-10,73.51
2007-09-04,62.31
2007-10-12,76.93
2007-10-15,58.72
2007-10-22,53.04
2007-10-29,74.32
2007-11-06,52.83
2007-11-19,66.18
2007-11-26,71.61
2007-12-02,65.28
2007-12-03,78.56
2007-12-11,81.06
2007-12-17,92.46
2007-12-24,99.49
2007-12-31,106.16
2008-01-09,52.86
2008-01-12,94.5
2008-01-14,150.44
2008-01-21,112.26
2008-01-28,92.94
2008-02-06,36.42
2008-02-18,58.18
2008-02-25,70.33
2008-03-03,115.59
2008-03-11,55.39
2008-03-17,72.25
2008-03-24,53.71
2008-03-31,47.11
2008-04-02,69.45
2008-04-08,22.83
2008-04-14,53.0
2008-04-21,63.83
2008-04-28,60.57
2008-05-05,50.82
2008-05-19,47.72
2008-05-26,38.02
2008-06-10,85.89
2008-06-16,45.17
2008-06-23,33.2
2008-06-30,37.01
2008-07-01,128.73
2008-07-04,45.82
2008-07-07,31.64
2008-07-14,28.57
2008-07-21,32.27
2008-07-28,26.33
2008-08-09,49.06
2008-08-12,131.21
2008-08-18,35.0
2008-08-25,45.7
2008-09-06,48.15
2008-09-15,46.03
2008-09-29,72.82
2008-10-03,120.81
2008-10-11,60.52
2008-10-13,66.84
2008-10-20,47.91
2008-10-27,36.72
2008-11-02,53.57
2008-11-08,30.16
2008-11-17,65.54
2008-11-24,71.58
2008-12-05,56.14
2008-12-15,162.22
2008-12-29,106.16
2009-01-06,26.45
2009-01-26,185.94
2009-02-02,131.33
2009-02-03,55.96
2009-02-11,59.69
2009-02-16,72.66
2009-02-23,64.1
2009-03-16,44.76
2009-03-23,38.89
2009-03-30,29.63
2009-04-05,29.01
2009-04-13,24.34
2009-05-01,91.48
2009-05-10,33.33
2009-05-18,24.87
2009-05-25,23.02
2009-06-07,24.66
2009-06-15,30.99
2009-06-22,29.15
2009-06-29,27.69
2009-07-09,29.93
2009-07-12,61.51
2009-07-13,25.95
2009-07-20,28.62
2009-07-27,21.78
2009-08-06,32.91
2009-08-17,40.52
2009-08-31,36.67
2009-09-02,107.46
2009-09-03,49.36
2009-09-11,69.34
2009-09-14,51.68
2009-09-21,63.0
2009-09-28,50.25
2009-10-08,40.0
2009-10-19,55.25
2009-10-26,64.61
2009-11-05,38.89
2009-11-16,42.58
2009-11-23,35.7
2009-11-30,36.44
2009-12-01,199.49
2009-12-10,33.09
2009-12-14,59.1
2009-12-21,62.3
2009-12-28,44.67
2010-01-02,180.61
2010-01-03,140.59
2010-01-11,64.19
2010-01-18,148.05
2010-01-25,150.61
2010-02-08,53.34
2010-02-15,179.98
2010-02-22,150.45
2010-03-05,41.05
2010-03-15,196.3
2010-03-22,148.72
2010-03-29,133.26
2010-04-01,55.04
2010-04-10,34.24
2010-04-19,37.75
2010-04-26,35.52
2010-05-04,61.45
2010-05-07,32.14
2010-05-17,37.98
2010-05-24,28.68
2010-05-31,25.6
2010-06-09,50.52
2010-06-12,108.0
2010-06-14,34.04
2010-06-21,40.29
2010-06-28,39.47
2010-07-06,26.22
2010-07-19,22.22
2010-07-26,28.04
2010-08-02,128.11
2010-08-03,210.62
2010-08-11,86.2
2010-08-16,75.4
2010-08-23,40.37
2010-08-30,48.87
2010-09-08,83.19
2010-09-13,49.76
2010-09-20,44.61
2010-09-27,44.61
2010-10-05,51.2
2010-10-18,32.35
2010-10-25,42.86
2010-11-01,226.41
2010-11-10,27.38
2010-11-15,77.2
2010-11-22,91.9
2010-11-29,107.63
2010-12-04,41.15
2010-12-07,20.87
2010-12-13,98.58
2011-01-17,51.53
2011-01-24,51.53
2011-01-31,76.28
2011-02-05,36.48
2011-02-14,49.12
2011-02-21,37.87
2011-02-28,41.5
2011-03-01,36.68
2011-03-10,26.19
2011-03-14,33.77
2011-03-28,29.43
2011-04-04,36.64
2011-04-07,32.91
2011-04-18,33.54
2011-04-25,30.53
2011-05-12,33.44
2011-05-16,42.25
2011-05-23,27.04
2011-05-30,16.08
2011-06-06,23.61
2011-06-13,30.38
2011-06-20,24.71
2011-06-27,28.89
2011-07-02,54.13
2011-07-03,45.62
2011-07-11,64.31
2011-07-18,51.13
2011-07-25,54.25
2011-09-05,37.16
2011-09-19,32.67
2011-09-26,26.54
2011-10-01,51.44
2011-10-10,29.09
2011-10-17,32.61
2011-10-24,75.23
2011-10-31,63.54
2011-11-04,47.3
2011-11-07,35.84
2011-11-14,43.5
2011-11-21,38.72
2011-11-28,34.87
2011-12-09,41.11
2011-12-12,37.11
2011-12-19,43.69
2011-12-26,45.19
2012-01-10,62.32
2012-01-16,147.45
2012-01-23,142.09
2012-02-01,34.99
2012-02-04,33.85
2012-02-07,24.0
2012-02-13,98.06
2012-02-20,69.3
2012-02-27,60.32
2012-03-09,67.61
2012-03-12,176.97
2012-03-19,46.67
2012-03-26,43.81
2012-04-06,31.67
2012-04-16,32.98
2012-04-23,30.32
2012-04-30,29.58
2012-05-03,59.61
2012-05-11,74.55
2012-05-14,25.0
2012-05-21,25.91
2012-05-28,28.67
2012-06-02,113.83
2012-06-08,24.22
2012-06-18,27.55
2012-06-25,26.25
2012-07-05,28.56
2012-07-23,31.33
2012-07-30,44.5
2012-08-10,46.86
2012-08-13,21.68
2012-09-01,140.88
2012-09-04,24.72
2012-09-07,26.05
2012-09-17,51.42
2012-09-24,55.04
2012-10-09,59.53
2012-10-12,167.42
2012-10-15,34.15
2012-10-22,26.19
2012-10-29,54.0
2012-11-06,30.28
2012-11-19,109.33
2012-11-26,119.02
2012-12-03,63.74
2012-12-11,117.47
2012-12-17,115.02
2012-12-24,60.33
2013-01-04,23.7
2013-01-07,22.73
2013-01-14,98.85
2013-01-21,86.79
2013-01-28,54.14
2013-02-12,190.56
