ds,y
2013-01-07,184.0
2013-02-09,171.4
2013-02-12,165.2
2013-03-06,217.7
2013-04-11,173.4
2013-05-08,165.4
2013-05-27,219.0
2013-06-17,213.6
2013-06-24,211.0
2013-07-10,168.2
2013-07-15,180.6
2013-07-22,174.2
2013-07-29,174.0
2013-08-07,182.0
2013-08-19,164.4
2013-08-26,167.2
2013-09-09,173.8
2013-09-12,164.8
2013-09-16,175.0
2013-09-23,172.2
2013-09-30,168.0
2013-10-06,208.8
2013-10-21,172.4
2013-10-28,172.6
2013-11-11,169.6
2013-11-18,165.6
2013-11-25,165.4
2013-12-08,164.4
2013-12-16,169.0
2013-12-23,166.8
2013-12-30,166.8
2014-01-09,167.6
2014-01-12,175.8
2014-01-13,168.6
2014-01-20,164.6
2014-01-27,164.6
2014-02-06,168.6
2014-02-17,164.2
2014-02-24,162.4
2014-03-02,164.4
2014-03-03,163.4
2014-03-11,171.8
2014-03-17,164.2
2014-03-24,167.4
2014-03-31,166.6
2014-04-08,168.0
2014-04-14,164.2
2014-04-21,164.0
2014-04-28,165.6
2014-05-05,166.4
2014-05-19,171.2
2014-05-26,174.0
2014-06-01,168.6
2014-06-10,166.2
2014-06-16,168.6
2014-06-23,168.6
2014-06-30,171.0
2014-07-04,164.2
2014-07-07,170.2
2014-07-14,168.6
2014-07-21,168.6
2014-07-28,167.6
2014-08-09,167.6
2014-08-12,177.8
2014-08-18,168.4
2014-09-06,166.2
2014-09-15,168.0
2014-09-22,168.0
2014-09-29,165.4
2014-10-02,164.2
2014-10-03,163.4
2014-10-11,173.4
2014-10-13,169.2
2014-10-20,170.0
2014-10-27,170.2
2014-11-08,167.6
2014-11-17,174.6
2014-11-24,175.0
2014-12-05,171.2
2014-12-15,178.0
2014-12-22,178.0
2014-12-29,178.0
2015-01-06,181.2
2015-01-19,180.2
2015-01-26,179.2
2015-02-02,178.4
2015-02-03,174.6
2015-02-11,180.8
2015-02-16,176.8
2015-02-23,175.8
2015-03-08,178.8
2015-03-16,177.6
2015-03-23,177.4
2015-03-30,177.8
2015-04-05,174.8
2015-04-13,177.8
2015-04-20,178.2
2015-04-27,176.6
2015-05-01,179.8
2015-05-10,178.0
2015-05-18,176.2
2015-05-25,177.6
2015-06-04,177.8
2015-06-07,181.6
2015-06-15,178.6
2015-06-22,178.0
2015-06-29,181.0
2015-07-09,176.6
2015-07-12,178.8
2015-07-13,181.6
2015-07-20,180.4
2015-07-27,178.8
2015-08-06,180.8
2015-08-17,178.4
2015-08-24,178.4
2015-08-31,176.6
2015-09-02,177.6
2015-09-03,177.6
2015-09-11,181.0
2015-09-14,176.2
2015-09-21,176.0
2015-09-28,176.4
2015-10-08,178.4
2015-10-19,179.6
2015-10-26,179.8
2015-11-05,174.6
2015-11-16,181.2
2015-11-23,180.4
2015-11-30,178.8
2015-12-01,179.8
2015-12-10,179.6
2015-12-21,178.6
2016-01-02,173.82
2016-01-18,176.6
2016-01-25,175.68
2016-02-05,162.85
2016-02-15,168.6
2016-02-22,164.97
2016-02-29,162.9
2016-03-10,140.6
2016-03-14,163.75
2016-03-21,163.65
2016-03-28,164.45
2016-04-01,176.6
2016-04-04,162.85
2016-04-18,162.85
2016-04-25,162.85
2016-05-09,138.8
2016-05-12,147.6
2016-05-16,159.55
2016-05-23,159.3
2016-05-30,157.4
2016-06-06,158.66
2016-06-13,158.4
2016-06-20,154.1
2016-06-27,149.5
2016-07-03,162.38
2016-07-11,145.8
2016-08-02,171.3
2016-08-08,138.6
2016-08-15,139.0
2016-08-22,139.0
2016-08-29,139.0
2016-09-05,161.25
2016-09-19,140.6
2016-09-26,140.6
2016-10-10,140.6
2016-10-17,140.6
2016-10-24,143.1
2016-10-31,144.7
2016-11-01,176.6
2016-11-04,162.85
2016-11-14,146.8
2016-11-21,147.1
2016-11-28,147.4
2016-12-09,140.6
2016-12-12,146.8
2016-12-19,146.0
2016-12-26,145.2
2017-01-05,161.16
2017-01-16,146.7
2017-01-23,147.2
2017-01-30,148.24
2017-02-01,145.2
2017-02-10,180.0
2017-02-13,148.24
2017-02-20,148.2
2017-02-27,148.16
2017-03-04,144.0
2017-03-07,174.0
2017-03-13,146.56
2017-03-20,145.76
2017-03-27,144.96
2017-04-09,175.0
2017-04-12,190.0
2017-04-17,152.2
2017-04-24,158.0
2017-05-06,166.4
2017-05-15,167.8
2017-05-22,167.9
2017-05-29,166.3
2017-06-02,148.24
2017-06-03,146.56
2017-06-11,187.0
2017-06-19,172.0
2017-06-26,172.0
2017-07-08,176.0
2017-07-17,176.0
2017-07-24,176.0
2017-07-31,176.0
2017-08-05,167.6
2017-08-14,176.0
2017-08-21,175.0
2017-08-28,175.0
2017-09-01,145.1
2017-09-10,183.0
2017-09-18,175.0
2017-09-25,177.0
2017-10-04,148.0
2017-10-07,175.0
2017-10-16,184.0
2017-10-23,185.0
2017-10-30,185.0
2017-11-09,175.0
2017-11-12,190.0
2017-11-13,189.0
2017-11-20,190.0
2017-11-27,190.0
2017-12-06,168.0
2017-12-18,189.0
2017-12-25,189.0
2018-01-01,189.0
2018-01-10,177.0
2018-01-15,188.0
2018-01-22,186.0
2018-01-29,186.0
2018-02-04,183.0
2018-02-07,165.0
2018-02-19,184.0
2018-02-26,186.0
2018-03-09,178.0
2018-03-12,189.0
2018-03-19,184.0
2018-03-26,184.0
2018-04-06,178.0
2018-04-16,180.0
2018-04-23,178.0
2018-04-30,176.0
2018-05-02,184.0
2018-05-03,186.0
2018-05-11,187.0
2018-05-14,176.0
2018-05-21,178.0
2018-05-28,178.0
2018-06-08,180.0
2018-06-18,174.0
2018-06-25,171.0
2018-07-05,176.0
2018-07-16,166.0
2018-07-23,167.0
2018-07-30,175.0
2018-08-01,189.0
2018-08-10,177.0
2018-08-13,181.0
2018-08-20,180.0
2018-08-27,179.0
2018-09-04,182.0
2018-09-07,163.0
2018-09-24,177.0
2018-10-09,178.0
2018-10-12,188.0
2018-10-15,185.0
2018-10-22,186.0
2018-10-29,186.0
2018-11-06,176.0
2018-11-19,189.0
2018-11-26,189.0
2018-12-02,184.0
2018-12-03,186.0
2018-12-11,190.0
2018-12-17,187.0
2018-12-24,187.0
2018-12-31,186.0
2019-01-04,175.0
2019-01-07,181.0
2019-01-14,186.0
2019-01-21,185.0
2019-01-28,185.0
2019-02-09,176.0
2019-02-12,178.0
2019-02-18,178.0
2019-02-25,176.0
2019-03-06,182.0
2019-03-18,174.0
2019-03-25,176.0
2019-04-02,185.0
2019-04-03,175.0
2019-04-11,182.0
2019-04-15,177.0
2019-04-22,175.0
2019-04-29,180.0
2019-05-08,178.0
2019-05-13,180.0
2019-05-20,180.0
