ds,y
2004-01-11,20.0
2004-04-10,20.2
2004-05-07,26.12
2004-06-09,17.51
2004-06-12,17.29
2004-07-19,23.74
2004-07-26,21.45
2004-08-11,18.57
2004-08-23,19.52
2004-08-30,16.91
2004-09-13,18.13
2004-09-20,21.94
2004-09-27,21.92
2004-10-18,18.57
2004-10-25,19.14
2004-11-10,19.59
2004-11-15,18.57
2004-11-22,18.57
2004-11-29,18.57
2004-12-07,26.41
2004-12-13,16.0
2005-01-08,27.14
2005-01-17,16.0
2005-01-24,16.0
2005-01-31,16.0
2005-02-14,16.0
2005-02-21,16.0
2005-02-28,16.0
2005-03-10,28.35
2005-03-14,16.0
2005-03-21,16.0
2005-03-28,16.0
2005-04-04,16.0
2005-04-18,16.0
2005-04-25,16.0
2005-05-09,37.5
2005-05-12,31.18
2005-07-02,16.0
2005-07-03,16.0
2005-07-11,28.7
2005-07-25,27.14
2005-08-08,27.14
2005-08-15,26.29
2005-08-22,36.0
2005-08-29,36.0
2005-09-19,30.14
2005-09-26,30.14
2005-10-01,16.0
2005-10-10,26.29
2005-10-17,26.29
2005-10-24,26.29
2005-10-31,26.29
2005-11-04,16.0
2005-11-14,30.8
2005-11-21,30.8
2005-11-28,29.71
2005-12-09,30.14
2005-12-12,29.43
2005-12-19,29.43
2006-01-05,26.11
2006-01-16,30.21
2006-01-23,30.03
2006-01-30,24.63
2006-02-01,29.43
2006-02-10,26.65
2006-02-13,20.1
2006-02-20,20.1
2006-02-27,20.38
2006-03-04,31.5
2006-03-07,25.85
2006-03-13,25.2
2006-03-20,29.61
2006-03-27,31.5
2006-04-12,33.27
2006-04-17,23.0
2006-04-24,26.11
2006-06-02,22.43
2006-06-03,25.87
2006-06-11,36.39
2006-06-19,28.0
2006-06-26,28.0
2006-07-08,32.0
2006-07-17,21.94
2006-07-31,33.0
2006-08-05,26.11
2006-08-14,32.0
2006-09-01,29.57
2006-09-10,26.65
2006-09-18,26.43
2006-09-25,26.43
2006-10-04,31.5
2006-10-07,23.62
2006-10-16,28.81
2006-10-23,30.75
2006-10-30,34.19
2006-11-09,27.14
2006-11-12,32.36
2006-11-13,34.4
2006-11-20,33.27
2006-11-27,33.27
2006-12-18,31.76
2006-12-25,31.76
2007-01-01,31.76
2007-01-10,20.0
2007-01-15,41.2
2007-01-22,47.87
2007-01-29,48.67
2007-02-04,67.33
2007-02-19,47.4
2007-02-26,47.4
2007-03-09,22.17
2007-03-12,21.5
2007-03-19,47.4
2007-03-26,60.39
2007-05-02,47.4
2007-05-03,47.4
2007-05-11,17.67
2007-07-16,30.14
2007-07-23,31.47
2007-07-30,29.29
2007-08-01,36.59
2007-08-10,17.67
2007-09-07,27.58
2007-09-17,20.0
2007-09-24,20.0
2007-10-09,21.0
2007-10-12,21.1
2007-10-15,17.67
2007-10-22,17.67
2007-10-29,17.67
2007-11-19,19.97
2007-11-26,21.5
2007-12-02,47.4
2007-12-03,47.4
2007-12-11,17.67
2007-12-17,21.1
2007-12-24,20.83
2007-12-31,19.33
2008-01-09,20.5
2008-01-12,20.25
2008-01-14,19.0
2008-01-21,19.0
2008-01-28,19.0
2008-02-18,20.0
2008-02-25,20.0
2008-03-11,18.75
2008-03-24,22.0
2008-04-08,21.75
2008-04-14,28.0
2008-04-21,25.33
2008-04-28,25.33
2008-06-10,19.5
2008-07-01,19.33
2008-07-04,28.0
2008-07-07,22.0
2008-07-14,22.0
2008-07-21,22.0
2008-07-28,22.0
2008-08-09,20.0
2008-08-12,20.25
2008-08-18,21.75
2008-08-25,21.75
2008-09-15,20.0
2008-09-22,20.0
2008-09-29,19.5
2008-10-11,18.75
2008-10-13,18.17
2008-11-02,20.0
2008-11-08,21.75
2008-11-17,20.67
2008-11-24,20.25
2008-12-29,19.33
2009-01-26,20.17
2009-02-03,19.67
2009-02-11,10.75
2009-02-16,19.67
2009-02-23,19.67
2009-03-30,19.0
2009-04-13,22.0
2009-05-10,10.59
2009-06-04,19.0
2009-07-09,17.0
2009-07-12,16.0
2009-08-24,16.5
2009-08-31,17.0
2009-09-02,20.17
2009-09-11,12.0
2009-09-14,17.0
2009-09-21,12.0
2009-09-28,10.59
2009-10-19,10.75
2009-10-26,10.75
2009-11-16,12.0
2009-11-23,12.0
2009-11-30,12.0
2009-12-01,20.17
2009-12-10,10.55
2009-12-14,21.83
2009-12-21,21.83
2009-12-28,23.5
2010-01-02,39.0
2010-01-03,29.4
2010-01-11,38.83
2010-01-18,48.75
2010-01-25,53.63
2010-02-08,37.5
2010-02-15,30.0
2010-02-22,29.4
2010-03-05,42.87
2010-03-15,36.75
2010-03-22,39.21
2010-03-29,39.21
2010-04-01,26.0
2010-04-10,30.17
2010-04-19,48.99
2010-04-26,48.99
2010-05-04,49.01
2010-05-07,34.5
2010-05-17,42.87
2010-05-24,42.87
2010-05-31,42.87
2010-06-09,26.0
2010-06-12,35.07
2010-06-14,36.74
2010-06-21,33.5
2010-06-28,33.7
2010-07-06,42.87
2010-07-19,38.5
2010-07-26,38.5
2010-08-02,34.75
2010-08-03,36.75
2010-08-11,39.69
2010-08-16,29.5
2010-08-23,28.5
2010-08-30,25.5
2010-09-08,31.5
2010-09-13,23.5
2010-09-20,23.5
2010-09-27,25.5
2010-10-05,42.87
2010-10-18,37.5
2010-10-25,37.5
2010-11-01,39.0
2010-11-10,36.5
2010-11-15,39.69
2010-11-22,33.5
2010-11-29,35.07
2010-12-04,51.46
2010-12-07,36.0
2010-12-13,35.07
2011-01-08,25.25
2011-01-17,48.83
2011-01-24,48.83
2011-01-31,48.83
2011-02-05,29.98
2011-02-14,34.67
2011-02-21,34.67
2011-02-28,31.33
2011-03-01,39.54
2011-03-10,14.0
2011-03-14,24.2
2011-03-28,27.85
2011-04-04,27.85
2011-04-07,25.25
2011-04-18,29.98
2011-04-25,29.98
2011-05-09,19.5
2011-05-12,10.5
2011-05-16,29.98
2011-06-27,25.25
2011-07-02,35.31
2011-07-03,29.71
2011-07-11,12.67
2011-07-18,25.25
2011-07-25,25.25
2011-08-08,24.27
2011-08-15,24.27
2011-08-22,19.5
2011-08-29,19.5
2011-09-05,29.98
2011-09-19,19.43
2011-09-26,14.57
2011-10-01,44.5
2011-10-10,14.0
2011-10-17,12.88
2011-10-24,12.88
2011-10-31,12.67
2011-11-04,27.85
2011-11-07,25.25
2011-11-14,13.93
2011-11-21,10.5
2011-11-28,10.5
2011-12-09,19.43
2011-12-12,11.0
2011-12-19,15.01
2011-12-26,15.76
2012-01-10,36.1
2012-01-16,11.0
2012-01-23,9.5
2012-02-01,11.0
2012-02-20,8.0
2012-02-27,8.0
2012-03-09,19.96
2012-03-12,28.33
2012-03-19,9.5
2012-03-26,7.13
2012-04-16,8.0
2012-04-23,15.18
2012-04-30,15.98
2012-05-03,8.0
2012-05-11,32.96
2012-06-08,15.5
2012-07-23,24.0
2012-07-30,15.5
2012-08-10,36.1
2012-08-13,14.5
2012-08-20,14.5
2012-08-27,16.33
2012-09-01,11.0
2012-09-04,8.0
2012-09-07,9.5
2012-09-17,32.56
2012-09-24,34.38
2012-10-09,23.59
2012-10-12,28.9
2012-10-15,36.1
2012-10-22,36.1
2012-10-29,32.96
2012-11-26,29.67
2012-12-03,9.5
2012-12-11,29.67
2012-12-17,28.9
2012-12-24,28.9
2013-01-04,41.0
2013-01-14,30.5
2013-01-21,30.5
2013-02-18,21.66
2013-02-25,21.66
2013-03-18,30.67
2013-04-02,20.75
2013-07-01,30.5
2013-11-02,24.9
2013-11-03,32.4
2013-12-30,30.5
2017-02-10,23.22
2017-04-09,26.36
2017-04-12,31.52
2017-06-11,24.25
2017-07-08,18.5
2017-07-17,19.25
2017-07-24,19.25
2017-08-14,18.66
2017-08-21,18.97
2017-08-28,18.97
2017-09-10,23.1
2017-09-18,27.37
2017-09-25,26.74
2017-10-07,19.1
2017-10-16,22.72
2017-10-23,22.11
2017-10-30,24.0
2017-11-09,26.6
2017-11-12,33.78
2017-11-13,24.31
2017-11-20,28.44
2017-11-27,29.97
2017-12-18,35.32
2017-12-25,35.27
2018-01-01,35.25
2018-01-10,25.11
2018-01-15,35.42
2018-01-22,35.51
2018-01-29,30.48
2018-02-04,31.1
2018-02-07,33.15
2018-02-19,28.47
2018-02-26,27.26
2018-03-09,21.46
2018-03-12,34.7
2018-03-19,31.1
2018-03-26,31.1
2018-04-06,37.14
2018-04-16,31.1
2018-04-23,33.7
2018-04-30,34.8
2018-05-02,30.6
2018-05-03,31.1
2018-05-11,23.32
2018-05-14,37.2
2018-05-21,37.16
2018-05-28,37.77
2018-06-08,21.14
2018-06-18,36.67
2018-06-25,35.54
2018-07-05,36.14
2018-07-16,29.65
2018-07-23,23.04
2018-07-30,21.07
2018-08-01,35.25
2018-08-10,24.59
2018-08-13,20.51
2018-08-20,20.69
2018-08-27,20.77
2018-09-04,31.1
2018-09-07,30.75
2018-09-17,24.59
2018-09-24,25.34
2018-10-09,23.73
2018-10-12,35.08
2018-10-15,24.17
2018-10-22,23.9
2018-10-29,22.85
2018-11-06,37.32
2018-11-19,27.9
2018-11-26,33.27
2018-12-02,30.6
2018-12-03,31.1
2018-12-11,27.79
2018-12-17,36.64
2018-12-24,36.76
2018-12-31,36.63
2019-01-04,43.98
2019-01-07,50.65
2019-01-14,38.92
2019-01-21,38.91
2019-01-28,41.64
2019-02-09,26.45
2019-02-12,17.42
