ds,y
2004-05-07,117.0
2004-06-28,137.5
2005-01-08,90.58
2005-04-07,139.65
2005-05-30,195.93
2005-06-06,200.71
2005-06-13,158.87
2005-06-20,151.82
2005-06-27,149.53
2005-07-18,114.28
2005-11-07,134.2
2006-03-07,200.97
2006-05-06,236.11
2006-05-22,361.03
2006-05-29,316.49
2006-06-19,166.25
2006-06-26,180.03
2006-07-17,175.5
2006-10-07,195.0
2006-12-06,177.82
2007-02-07,239.62
2007-04-06,341.91
2007-05-28,215.01
2007-06-18,334.25
2007-06-25,270.63
2007-07-16,175.63
2007-09-07,205.96
2007-11-06,396.88
2008-01-09,151.63
2008-02-06,265.45
2008-04-08,198.05
2008-05-26,326.0
2008-06-16,296.93
2008-06-23,271.5
2008-06-30,204.44
2008-07-07,191.9
2008-07-14,205.14
2008-07-21,213.74
2008-07-28,202.26
2008-08-25,158.13
2008-09-06,263.87
2008-11-08,184.33
2009-01-06,259.59
2009-05-18,212.71
2009-05-25,265.61
2009-06-07,187.74
2009-06-15,249.25
2009-06-22,198.59
2009-06-29,185.74
2009-07-13,190.22
2009-07-20,202.2
2009-08-06,243.25
2010-05-07,230.97
2010-05-31,294.12
2010-06-14,245.89
2010-06-21,221.55
2010-06-28,236.83
2010-07-06,306.06
2010-07-19,185.48
2010-07-26,154.98
2010-12-07,197.72
2011-04-07,160.46
2011-05-16,233.5
2011-05-23,205.47
2011-05-30,195.58
2011-06-06,186.39
2011-06-13,183.07
2011-06-20,173.54
2011-06-27,173.86
2011-09-05,236.18
2011-11-07,163.65
2012-02-07,204.35
2012-04-06,255.94
2012-05-21,312.43
2012-05-28,299.47
2012-06-18,198.61
2012-06-25,201.4
2012-07-23,205.62
2012-09-07,196.52
2012-11-06,266.44
2013-01-07,206.49
2013-05-08,180.72
2013-06-17,258.02
2013-06-24,294.4
2013-07-15,178.95
2013-07-22,194.65
2013-07-29,177.51
2013-08-07,194.37
2013-10-06,299.34
2013-12-08,187.07
2014-02-06,295.23
2014-04-08,128.27
2014-05-19,246.8
2014-05-26,289.63
2014-06-16,220.57
2014-06-23,246.69
2014-06-30,246.69
2014-07-07,197.22
2014-07-14,198.73
2014-07-21,227.22
2014-07-28,206.92
2014-09-06,254.14
2015-01-06,219.42
2015-05-18,261.9
2015-05-25,239.1
2015-06-15,216.1
2015-06-22,235.59
2015-06-29,227.34
2015-08-06,210.76
2015-11-05,324.59
2016-04-07,254.26
2016-05-16,401.5
2016-05-23,362.36
2016-05-30,274.56
2016-06-06,260.76
2016-06-13,226.03
2016-06-20,221.1
2016-06-27,228.74
2016-07-18,132.96
2016-07-25,126.84
2016-11-07,225.79
2017-03-07,152.52
2017-05-06,222.55
2017-05-15,310.85
2017-05-22,302.12
2017-05-29,281.01
2017-06-19,206.09
2017-06-26,171.76
2017-08-05,296.72
2017-10-07,165.0
2017-12-06,201.1
2018-02-07,164.92
2018-04-06,135.26
2018-05-14,302.92
2018-05-21,189.77
2018-05-28,189.07
2018-06-18,141.47
2018-06-25,144.86
2018-07-16,170.07
2018-07-23,170.0
2018-09-07,168.12
2018-11-06,132.92
2019-01-07,216.73
2019-03-06,236.31
2019-04-29,382.5
2019-05-08,165.0
2019-05-13,228.23
2019-05-20,251.46
2019-05-27,256.65
2019-06-05,257.8
2019-06-17,211.26
2019-06-24,211.68
2019-07-15,232.16
2019-07-22,234.84
2019-07-29,227.4
2019-08-07,225.89
2019-08-19,165.0
2019-08-26,165.0
2019-10-06,215.94
2019-12-08,165.0
2020-01-06,271.45
2020-04-05,388.87
2020-05-18,391.84
2020-05-25,362.0
2020-06-07,301.91
2020-06-15,207.0
2020-06-22,257.1
2020-06-29,294.65
2020-07-13,339.5
2020-08-06,238.51
2020-11-05,320.1
2021-03-05,368.67
2021-05-17,283.2
2021-05-24,261.94
2021-05-31,244.84
2021-10-05,348.5
