ds,y
2004-01-11,118.76
2004-04-10,118.86
2004-05-07,122.86
2004-06-09,131.9
2004-06-12,129.82
2004-07-19,161.08
2004-07-26,127.74
2004-08-11,123.79
2004-08-23,131.58
2004-08-30,131.11
2004-09-13,143.6
2004-09-20,120.04
2004-09-27,119.66
2004-10-18,125.07
2004-10-25,116.27
2004-11-10,118.29
2004-11-15,124.35
2004-11-22,123.95
2004-11-29,124.39
2004-12-07,241.59
2004-12-13,118.07
2005-01-08,137.04
2005-01-17,130.9
2005-01-24,131.9
2005-01-31,136.47
2005-02-05,120.13
2005-02-14,136.25
2005-02-21,135.78
2005-02-28,130.23
2005-03-01,131.87
2005-03-10,133.88
2005-03-14,124.68
2005-03-21,119.41
2005-03-28,120.43
2005-04-04,119.59
2005-04-07,136.27
2005-04-18,118.79
2005-04-25,118.74
2005-05-09,155.53
2005-05-12,145.32
2005-05-16,119.4
2005-05-23,116.57
2005-05-30,116.7
2005-06-06,121.94
2005-06-13,121.46
2005-06-20,120.56
2005-06-27,121.16
2005-07-02,137.38
2005-07-03,130.13
2005-07-11,131.47
2005-07-18,138.3
2005-07-25,136.71
2005-08-08,136.32
2005-08-15,133.44
2005-08-22,156.58
2005-08-29,154.8
2005-09-05,119.4
2005-09-19,138.36
2005-09-26,137.66
2005-10-01,131.97
2005-10-10,131.96
2005-10-17,127.04
2005-10-24,125.39
2005-10-31,121.57
2005-11-04,113.14
2005-11-07,136.69
2005-11-14,131.79
2005-11-21,125.47
2005-11-28,131.91
2005-12-09,148.21
2005-12-12,149.22
2005-12-19,144.21
2006-01-05,117.56
2006-01-16,134.8
2006-01-23,124.53
2006-01-30,128.55
2006-02-01,145.19
2006-02-10,132.99
2006-02-13,120.49
2006-02-20,119.39
2006-02-27,119.71
2006-03-04,113.39
2006-03-07,137.56
2006-03-13,112.98
2006-03-20,112.6
2006-03-27,109.08
2006-04-12,125.16
2006-04-17,115.75
2006-04-24,118.47
2006-05-06,137.73
2006-05-15,119.72
2006-05-22,119.96
2006-05-29,128.83
2006-06-02,128.85
2006-06-03,116.36
2006-06-11,119.97
2006-06-19,135.97
2006-06-26,137.83
2006-07-08,139.9
2006-07-17,132.53
2006-07-24,139.54
2006-07-31,139.01
2006-08-05,123.68
2006-08-14,144.48
2006-09-01,143.86
2006-09-10,129.77
2006-09-18,135.51
2006-09-25,135.2
2006-10-04,112.47
2006-10-07,137.6
2006-10-16,130.04
2006-10-23,121.03
2006-10-30,119.99
2006-11-09,141.03
2006-11-12,134.95
2006-11-13,119.51
2006-11-20,120.17
2006-11-27,119.6
2006-12-06,136.51
2006-12-18,145.49
2006-12-25,145.4
2007-01-01,145.94
2007-01-10,157.32
2007-01-15,25.8
2007-01-22,136.1
2007-01-29,135.33
2007-02-04,130.8
2007-02-07,134.8
2007-02-19,140.23
2007-02-26,145.54
2007-03-09,152.13
2007-03-12,155.09
2007-03-19,131.14
2007-03-26,131.93
2007-04-06,133.95
2007-04-16,134.43
2007-04-23,134.0
2007-04-30,133.95
2007-05-02,134.54
2007-05-03,137.48
2007-05-11,151.32
2007-05-14,133.11
2007-05-21,133.55
2007-05-28,133.99
2007-06-18,134.73
2007-06-25,133.06
2007-07-05,134.06
2007-07-16,134.81
2007-07-23,135.31
2007-07-30,129.72
2007-08-01,130.33
2007-08-10,147.85
2007-09-04,133.15
2007-09-07,137.58
2007-09-17,153.96
2007-09-24,155.9
2007-10-12,155.31
2007-10-15,149.42
2007-10-22,150.67
2007-10-29,150.3
2007-11-06,135.04
2007-11-19,154.48
2007-11-26,154.48
2007-12-02,140.24
2007-12-03,137.73
2007-12-11,152.95
2007-12-24,157.17
2007-12-31,156.92
2008-01-09,171.99
2008-01-12,157.55
2008-01-14,150.55
2008-01-21,150.31
2008-01-28,151.24
2008-02-06,151.01
2008-02-18,154.27
2008-02-25,154.43
2008-03-03,164.03
2008-03-11,156.91
2008-03-24,162.68
2008-03-31,163.14
2008-04-02,150.65
2008-04-08,164.43
2008-04-14,151.44
2008-04-21,153.93
2008-04-28,149.44
2008-05-05,149.17
2008-05-19,147.41
2008-05-26,149.04
2008-06-10,153.04
2008-06-16,149.38
2008-07-01,137.24
2008-07-04,150.77
2008-07-21,157.2
2008-07-28,157.83
2008-08-09,164.35
2008-08-12,152.36
2008-08-18,167.98
2008-08-25,165.97
2008-09-06,139.22
2008-09-22,155.79
2008-09-29,157.47
2008-10-03,162.62
2008-10-11,151.87
2008-10-13,147.61
2008-10-20,151.8
2008-10-27,157.54
2008-11-02,151.03
2008-11-08,168.3
2008-11-17,152.54
2008-11-24,152.96
2008-12-05,148.77
2008-12-15,156.79
2008-12-29,156.92
2009-01-06,118.21
2009-01-26,140.05
2009-02-02,144.13
2009-02-03,132.82
2009-02-11,134.74
2009-02-16,137.41
2009-02-23,131.82
2009-03-08,156.86
2009-03-16,126.6
2009-03-23,124.19
2009-03-30,122.93
2009-04-05,119.83
2009-04-13,117.89
2009-04-20,121.51
2009-04-27,123.71
2009-05-01,146.19
2009-05-10,143.25
2009-05-18,118.21
2009-05-25,118.21
2009-06-04,120.45
2009-06-15,122.37
2009-06-22,135.23
2009-06-29,141.87
2009-07-09,154.83
2009-07-12,134.0
2009-07-13,150.46
2009-07-20,154.39
2009-07-27,156.71
2009-08-06,118.16
2009-08-17,151.19
2009-08-24,151.28
2009-08-31,151.21
2009-09-02,137.6
2009-09-03,131.16
2009-09-11,134.72
2009-09-14,154.03
2009-09-21,147.68
2009-09-28,141.88
2009-10-08,151.28
2009-10-19,131.76
2009-10-26,134.72
2009-11-05,118.21
2009-11-16,131.88
2009-11-23,130.54
2009-11-30,129.08
2009-12-01,143.93
2009-12-10,133.3
2009-12-14,143.52
2009-12-21,145.57
2009-12-28,144.58
2010-01-02,129.38
2010-01-03,131.48
2010-01-11,141.73
2010-01-18,130.27
2010-01-25,129.54
2010-02-08,137.67
2010-02-15,140.26
2010-02-22,139.96
2010-03-05,129.73
2010-03-15,131.14
2010-03-22,123.04
2010-03-29,135.02
2010-04-01,139.88
2010-04-10,152.81
2010-04-19,134.47
2010-04-26,130.11
2010-05-04,134.8
2010-05-07,132.86
2010-05-17,137.49
2010-05-24,139.24
2010-05-31,137.33
2010-06-09,142.42
2010-06-12,145.98
2010-06-14,135.27
2010-06-21,143.32
2010-06-28,143.06
2010-07-06,135.11
2010-07-19,132.94
2010-07-26,138.73
2010-08-02,134.32
2010-08-03,131.13
2010-08-11,143.23
2010-08-16,139.78
2010-08-23,140.55
2010-08-30,140.69
2010-09-08,138.43
2010-09-13,143.1
2010-09-20,151.25
2010-09-27,151.95
2010-10-05,129.21
2010-10-18,137.63
2010-10-25,142.16
2010-11-01,135.57
2010-11-10,152.84
2010-11-15,141.04
2010-11-22,137.79
2010-11-29,145.69
2010-12-04,134.63
2010-12-07,134.66
2010-12-13,145.86
2011-01-08,140.04
2011-01-17,133.66
2011-01-24,134.8
2011-01-31,144.65
2011-02-05,137.65
2011-02-14,138.37
2011-02-21,134.94
2011-02-28,135.75
2011-03-01,134.11
2011-03-10,145.85
2011-03-14,135.17
2011-03-28,134.68
2011-04-04,133.29
2011-04-07,148.79
2011-04-18,137.54
2011-04-25,137.64
2011-05-09,145.84
2011-05-12,140.29
2011-05-16,140.45
2011-05-23,140.59
2011-05-30,143.04
2011-06-06,142.73
2011-06-13,142.06
2011-06-20,144.88
2011-06-27,148.47
2011-07-02,145.83
2011-07-03,136.6
2011-07-11,151.27
2011-07-18,148.49
2011-07-25,148.38
2011-08-08,144.55
2011-08-15,144.55
2011-08-22,144.55
2011-08-29,150.01
2011-09-05,137.31
2011-09-19,146.99
2011-09-26,146.68
2011-10-01,130.53
2011-10-10,151.47
2011-10-17,151.3
2011-10-24,145.59
2011-10-31,149.89
2011-11-04,131.93
2011-11-07,148.22
2011-11-14,146.02
2011-11-21,145.72
2011-11-28,145.8
2011-12-09,145.88
2011-12-12,143.01
2011-12-19,143.94
2011-12-26,147.6
2012-01-10,151.09
2012-01-16,154.06
2012-01-23,151.28
2012-02-01,147.46
2012-02-04,134.01
2012-02-07,140.1
2012-02-13,149.45
2012-02-20,143.02
2012-02-27,141.8
2012-03-09,173.22
2012-03-12,140.23
2012-03-19,143.05
2012-03-26,140.2
2012-04-06,134.93
2012-04-16,138.9
2012-04-23,140.0
2012-04-30,140.14
2012-05-03,143.04
2012-05-14,142.27
2012-05-21,142.92
2012-05-28,137.38
2012-06-02,151.05
2012-06-08,170.22
2012-06-18,139.56
2012-06-25,140.14
2012-07-05,139.2
2012-07-23,145.68
2012-07-30,162.17
2012-08-10,151.2
2012-08-20,170.09
2012-08-27,178.8
2012-09-01,151.08
2012-09-04,134.0
2012-09-07,139.37
2012-09-17,156.7
2012-09-24,151.58
2012-10-09,162.51
2012-10-12,140.27
2012-10-15,151.23
2012-10-22,151.5
2012-10-29,151.06
2012-11-06,134.77
