ds,y
2004-05-07,111.0
2004-06-28,160.5
2004-07-19,81.0
2004-07-26,81.0
2004-12-07,79.5
2005-01-08,42.5
2005-04-07,60.0
2005-05-30,130.0
2005-06-06,105.0
2005-06-13,105.0
2005-06-20,80.0
2005-06-27,67.5
2005-07-18,46.5
2005-07-25,47.5
2005-08-08,40.0
2005-08-15,40.0
2005-11-07,55.0
2006-03-07,77.5
2006-05-06,87.0
2006-05-22,120.0
2006-05-29,90.0
2006-06-19,85.0
2006-06-26,80.0
2006-12-06,87.5
2007-01-10,60.0
2007-02-07,104.09
2007-03-09,60.0
2007-04-06,130.0
2007-05-28,155.91
2007-06-18,110.0
2007-06-25,99.1
2007-07-16,86.88
2007-07-23,85.0
2007-07-30,55.34
2007-09-07,87.78
2007-11-06,130.0
2008-01-09,105.0
2008-02-06,112.5
2008-04-08,107.5
2008-05-19,150.0
2008-05-26,120.0
2008-06-16,108.91
2008-06-23,95.0
2008-06-30,95.0
2008-07-21,100.0
2008-07-28,110.0
2008-08-18,90.0
2008-08-25,101.54
2008-09-06,107.5
2008-11-08,107.5
2009-01-06,110.0
2009-02-11,50.0
2009-03-08,66.98
2009-05-18,165.0
2009-05-25,155.0
2009-06-07,85.0
2009-06-15,108.34
2009-06-22,102.5
2009-06-29,78.5
2009-07-09,71.89
2009-07-13,75.0
2009-07-20,80.0
2009-07-27,70.0
2009-08-06,95.65
2009-08-17,76.75
2009-08-24,80.0
2009-08-31,72.94
2009-09-14,75.0
2009-10-08,76.75
2009-10-26,50.0
2010-02-08,86.5
2010-05-07,128.71
2010-05-31,180.0
2010-06-14,145.0
2010-06-21,130.0
2010-06-28,130.0
2010-07-06,150.0
2010-07-19,91.2
2010-07-26,89.0
2010-09-08,86.5
2010-12-07,97.15
2011-01-08,70.0
2011-05-23,133.0
2011-05-30,135.0
2011-06-06,103.0
2011-06-13,103.0
2011-06-20,103.0
2011-07-25,80.0
2011-08-08,70.0
2011-08-15,72.13
2012-01-10,95.45
2012-02-07,90.0
2012-03-09,85.0
2012-04-06,140.0
2012-06-08,85.0
2012-06-25,90.0
2012-07-30,85.0
2012-08-13,85.0
2012-08-20,85.0
2012-08-27,85.0
2012-09-07,85.0
2012-09-17,85.0
2012-09-24,85.0
2012-10-09,85.0
2012-11-06,115.0
2013-01-07,134.35
2013-03-06,180.0
2013-05-08,105.0
2013-05-27,195.0
2013-06-17,135.0
2013-06-24,104.62
2013-07-15,110.38
2013-07-22,125.0
2013-07-29,111.36
2013-08-07,130.0
2013-08-19,115.0
2013-08-26,114.0
2013-10-06,135.0
2013-12-08,115.0
2014-02-06,114.05
2014-04-08,75.0
2014-05-19,148.76
2014-05-26,131.82
2014-06-16,75.01
2014-06-23,86.47
2014-06-30,89.86
2014-07-07,79.79
2014-07-14,75.0
2014-07-21,65.0
2014-07-28,65.0
2014-08-18,66.0
2014-08-25,60.0
2014-09-06,86.78
2014-11-08,75.0
2015-03-08,75.4
2015-06-07,82.0
2015-06-22,88.4
2015-06-29,82.0
2015-07-13,88.0
2015-07-20,81.0
2015-07-27,81.0
2015-08-17,74.4
2015-10-08,73.8
2016-01-08,60.0
2016-07-25,60.0
2016-08-08,60.0
2016-08-15,72.5
2016-08-22,75.0
2016-08-29,72.6
2017-03-07,79.0
2017-04-09,63.42
2017-06-19,82.0
2017-06-26,73.0
2017-07-08,46.0
2017-07-17,70.0
2017-07-24,65.0
2017-07-31,53.0
2017-08-14,58.94
2017-08-21,60.74
2017-08-28,63.22
2017-09-18,73.13
2017-10-07,66.4
2017-11-09,76.48
2018-01-10,87.86
2018-02-07,112.11
2018-03-09,85.37
2018-06-08,86.96
2018-06-18,84.74
2018-06-25,86.87
2018-07-16,101.57
2018-07-23,105.52
2018-07-30,83.67
2018-08-10,80.97
2018-08-13,90.78
2018-08-20,91.14
2018-08-27,90.17
2018-09-07,107.35
2018-09-17,82.33
2018-09-24,67.36
2018-10-09,89.59
2018-10-15,79.29
2018-11-06,80.23
2019-01-07,85.5
2019-02-09,89.43
2019-03-06,113.0
2019-05-08,76.0
2019-06-17,132.0
2019-06-24,99.5
2019-07-10,81.09
2019-07-15,95.0
2019-07-22,81.0
2019-07-29,76.0
2019-08-07,87.5
2019-08-19,76.18
2019-08-26,76.84
2019-09-09,115.07
2019-09-16,87.2
2019-09-23,80.53
2019-09-30,77.69
2019-10-06,138.0
2019-12-08,76.0
2020-01-06,100.4
2020-03-08,64.16
2020-05-18,131.0
2020-05-25,116.0
2020-06-07,61.65
2020-06-15,74.32
2020-06-22,86.15
2020-06-29,65.57
2020-07-09,81.21
2020-07-13,54.73
2020-07-20,54.95
2020-07-27,57.49
2020-08-06,103.91
2020-08-17,68.13
2020-08-24,73.51
2020-08-31,81.31
2020-09-14,137.7
2020-09-21,137.5
2020-10-08,66.35
2020-11-05,129.0
2021-05-31,90.0
