ds,y
2004-01-11,53.73
2004-04-10,73.14
2004-06-12,49.01
2004-08-11,55.77
2004-10-18,56.66
2004-10-25,52.45
2004-11-10,61.71
2004-11-15,55.96
2004-11-22,50.93
2004-11-29,50.1
2004-12-13,52.49
2005-01-17,45.87
2005-01-24,45.49
2005-01-31,47.65
2005-02-14,52.98
2005-02-21,52.6
2005-02-28,52.68
2005-03-01,51.95
2005-05-12,62.39
2005-07-02,50.44
2005-07-11,51.32
2005-10-01,48.31
2005-10-10,76.35
2005-10-17,64.95
2005-10-24,54.17
2005-10-31,53.09
2005-11-14,58.03
2005-11-21,61.4
2005-11-28,61.35
2005-12-12,60.83
2005-12-19,61.37
2006-01-16,54.98
2006-01-23,58.11
2006-01-30,56.77
2006-02-01,56.78
2006-02-10,66.38
2006-02-13,59.2
2006-02-20,56.99
2006-02-27,63.15
2006-04-12,55.88
2006-06-02,58.57
2006-06-11,59.11
2006-09-01,56.01
2006-09-10,59.91
2006-10-16,57.32
2006-10-23,53.55
2006-10-30,56.38
2006-11-12,57.01
2006-11-13,58.72
2006-11-20,59.54
2006-11-27,57.34
2006-12-18,57.52
2006-12-25,55.23
2007-01-01,56.33
2007-01-10,75.89
2007-01-15,53.57
2007-01-22,55.9
2007-01-29,58.87
2007-02-19,56.77
2007-02-26,52.32
2007-03-12,63.92
2007-05-02,56.34
2007-05-11,71.17
2007-08-01,51.51
2007-08-10,85.8
2007-09-24,90.23
2007-10-12,64.66
2007-10-15,72.91
2007-10-22,72.45
2007-10-29,69.59
2007-11-19,67.01
2007-11-26,64.78
2007-12-02,57.11
2007-12-11,69.09
2007-12-17,64.05
2007-12-24,66.9
2007-12-31,67.34
2008-01-12,58.09
2008-01-14,73.59
2008-01-21,75.38
2008-01-28,77.51
2008-02-18,73.47
2008-02-25,75.16
2008-03-11,65.07
2008-04-02,76.4
2008-06-10,97.52
2008-07-01,70.02
2008-08-12,55.45
2008-10-11,65.89
2008-10-13,74.65
2008-10-20,73.44
2008-10-27,68.58
2008-11-02,72.41
2008-11-17,62.3
2008-11-24,59.77
2008-12-15,56.93
2008-12-29,67.34
2009-01-26,67.57
2009-02-02,69.71
2009-02-11,81.61
2009-02-16,65.67
2009-02-23,71.18
2009-05-01,58.92
2009-05-10,180.72
2009-07-12,70.69
2009-09-02,70.6
2009-09-11,78.41
2009-09-28,188.92
2009-10-19,84.34
2009-10-26,80.58
2009-11-16,79.01
2009-11-23,75.36
2009-11-30,71.82
2009-12-01,60.14
2009-12-10,89.58
2009-12-14,68.53
2009-12-21,64.6
2009-12-28,66.38
2010-01-02,77.42
2010-01-11,80.29
2010-01-18,71.43
2010-01-25,78.55
2010-02-15,79.8
