ds,y
2017-04-09,36.0
2017-09-18,35.0
2017-09-25,33.6
2017-11-09,36.0
2018-01-10,52.4
2018-03-09,50.0
2018-03-12,33.0
2018-05-11,57.0
2018-08-10,70.0
2018-08-13,36.0
2018-08-20,38.0
2018-09-17,41.24
2018-09-24,42.34
2018-10-09,42.13
2018-10-12,33.0
2018-10-15,68.0
2018-10-22,60.0
2018-10-29,55.0
2018-11-19,34.0
2018-11-26,32.0
2018-12-11,38.0
2018-12-17,36.0
2018-12-24,36.0
2018-12-31,38.0
2021-01-03,46.21
2021-02-15,41.75
2021-02-22,41.75
2021-03-05,55.66
2021-03-15,53.46
2021-03-22,60.23
2021-03-29,57.6
2021-04-19,58.64
2021-04-26,58.8
2021-05-04,58.71
2021-05-17,54.12
2021-05-24,53.03
2021-05-31,58.53
2021-08-02,39.36
2021-08-03,53.49
2021-10-05,55.13
2021-12-04,59.94
