ds,y
2003-12-29,22.76
2004-01-03,40.79
2004-01-11,29.16
2004-01-19,24.15
2004-01-26,21.7
2004-02-02,22.37
2004-03-05,24.87
2004-03-15,29.56
2004-03-22,24.13
2004-04-10,22.25
2004-04-26,27.18
2004-05-01,24.21
2004-05-04,23.88
2004-05-07,30.0
2004-05-17,44.12
2004-05-24,32.69
2004-06-12,44.69
2004-06-21,27.61
2004-06-28,27.79
2004-08-03,42.23
2004-08-11,31.71
2004-09-02,20.09
2004-09-20,45.0
2004-09-27,32.82
2004-10-18,27.31
2004-10-25,27.26
2004-11-10,33.73
2004-11-15,38.93
2004-11-22,43.57
2004-11-29,43.23
2004-12-01,27.14
2004-12-04,23.39
2004-12-07,40.26
2004-12-13,50.37
2005-01-17,38.85
2005-01-24,42.03
2005-01-31,43.74
2005-02-05,38.4
2005-02-14,42.16
2005-02-21,44.6
2005-02-28,51.05
2005-03-01,30.74
2005-03-10,28.09
2005-03-14,49.32
2005-03-21,29.32
2005-03-28,23.03
2005-04-04,21.61
2005-04-18,24.29
2005-04-25,38.8
2005-05-12,43.17
2005-05-16,35.07
2005-05-23,31.32
2005-05-30,26.28
2005-06-06,25.32
2005-06-13,27.11
2005-07-02,41.13
2005-07-03,64.96
2005-07-11,29.52
2005-09-05,40.7
2005-09-19,30.68
2005-09-26,31.08
2005-10-01,34.13
2005-10-10,31.42
2005-10-17,28.04
2005-10-24,28.95
2005-10-31,25.75
2005-11-04,23.57
2005-11-14,32.58
2005-11-21,34.6
2005-11-28,39.85
2005-12-12,46.31
2005-12-19,48.33
2006-01-05,33.79
2006-01-16,48.2
2006-01-23,46.81
2006-01-30,48.19
2006-02-01,47.94
2006-02-10,19.47
2006-02-13,41.52
2006-02-20,30.02
2006-02-27,30.86
2006-03-04,32.26
2006-03-13,34.05
2006-03-20,30.04
2006-03-27,33.27
2006-04-12,27.97
2006-04-17,34.79
2006-04-24,34.61
2006-05-06,25.16
2006-05-15,26.43
2006-05-22,26.42
2006-05-29,27.92
2006-06-02,50.33
2006-06-03,36.22
2006-06-11,30.86
2006-08-05,32.79
2006-09-01,47.22
2006-09-10,18.18
2006-09-18,29.87
2006-09-25,23.51
2006-10-04,34.11
2006-10-16,20.53
2006-10-23,22.59
2006-10-30,27.79
2006-11-12,24.61
2006-11-13,27.12
2006-11-20,26.25
2006-11-27,23.48
2006-12-18,33.98
2007-01-01,40.94
2007-01-10,40.58
2007-01-15,129.6
2007-01-22,25.4
2007-01-29,22.88
2007-02-04,30.26
2007-02-19,14.18
2007-02-26,16.81
2007-03-09,45.45
2007-03-12,28.95
2007-03-19,25.12
2007-03-26,29.2
2007-04-06,41.1
2007-04-16,23.04
2007-04-23,23.08
2007-04-30,20.88
2007-05-02,20.1
2007-05-03,16.36
2007-05-11,30.26
2007-05-14,20.0
2007-05-21,26.66
2007-05-28,37.0
2007-06-18,28.3
2007-06-25,28.3
2007-07-05,20.0
2007-08-01,24.8
2007-08-10,27.27
2007-09-04,23.04
2007-09-17,45.45
2007-09-24,45.45
2007-10-12,26.02
2007-10-15,22.16
2007-10-22,29.6
2007-10-29,31.35
2007-11-06,37.3
2007-11-19,31.58
2007-11-26,31.58
2007-12-02,10.43
2007-12-03,15.11
2007-12-11,31.58
2007-12-24,26.08
2007-12-31,26.08
2008-01-09,30.43
2008-01-12,26.09
2008-01-14,18.22
2008-01-21,19.6
2008-01-28,20.0
2008-02-06,33.04
2008-02-18,21.36
2008-03-03,14.54
2008-03-11,24.03
2008-03-24,21.0
2008-03-31,28.86
2008-04-02,20.0
2008-04-14,32.17
2008-04-21,31.87
2008-04-28,31.79
2008-05-05,32.17
2008-05-19,24.4
2008-05-26,26.09
2008-06-10,37.81
2008-06-16,35.65
2008-07-01,25.46
2008-07-04,30.66
2008-08-09,30.43
2008-08-12,28.06
2008-09-06,35.65
2008-09-22,45.45
2008-09-29,46.95
2008-10-03,18.26
2008-10-11,26.09
2008-10-13,26.8
2008-10-20,19.01
2008-10-27,19.01
2008-11-02,20.0
2008-11-17,26.09
2008-11-24,26.09
2008-12-05,20.87
2008-12-15,26.52
2008-12-29,26.08
2009-01-06,29.8
2009-01-26,32.52
2009-02-02,23.48
2009-02-03,33.36
2009-02-11,31.59
2009-02-16,30.55
2009-02-23,32.93
2009-03-16,29.13
2009-03-23,27.23
2009-03-30,29.72
2009-04-05,31.27
2009-04-13,28.54
2009-04-20,30.94
2009-04-27,32.95
2009-05-01,29.34
2009-05-10,37.13
2009-05-18,33.83
2009-05-25,33.64
2009-06-04,32.4
2009-06-07,24.83
2009-06-15,26.42
2009-06-22,25.91
2009-06-29,24.83
2009-07-09,30.82
2009-07-12,23.63
2009-07-13,24.59
2009-07-20,21.93
2009-07-27,21.84
2009-08-06,27.63
2009-08-24,27.27
2009-08-31,32.7
2009-09-02,26.09
2009-09-03,32.96
2009-09-11,20.09
2009-09-14,30.56
2009-09-21,39.57
2009-09-28,37.13
2009-10-19,32.27
2009-10-26,32.84
2009-11-05,30.63
2009-11-16,15.51
2009-11-23,15.19
2009-11-30,22.61
2009-12-01,34.78
2009-12-10,32.96
2009-12-14,24.89
2009-12-21,31.67
2009-12-28,30.82
2010-01-02,36.36
2010-01-03,36.36
2010-01-11,33.12
2010-01-18,36.36
2010-01-25,36.36
2010-02-15,36.36
2010-02-22,36.36
2010-03-15,36.36
2010-03-22,33.63
2010-03-29,27.27
2010-04-01,35.0
2010-04-10,22.73
2010-04-19,30.55
2010-04-26,29.81
2010-05-04,25.45
2010-05-07,26.22
2010-05-17,36.36
2010-05-24,29.09
2010-05-31,25.91
2010-06-09,40.91
2010-06-12,36.36
2010-06-14,24.7
2010-06-21,25.0
2010-06-28,23.64
2010-07-06,20.69
2010-08-02,36.36
2010-08-03,36.36
2010-08-11,27.27
2010-09-13,34.09
2010-09-20,29.55
2010-09-27,27.27
2010-10-05,36.36
2010-10-18,25.45
2010-10-25,31.36
2010-11-01,36.36
2010-11-10,21.02
2010-11-15,27.27
2010-11-22,27.27
2010-11-29,30.91
2010-12-04,27.82
2010-12-07,39.11
2010-12-13,36.36
2011-01-08,37.0
2011-01-17,21.39
2011-01-24,25.0
2011-01-31,23.64
2011-02-05,36.36
2011-02-14,22.73
2011-02-21,22.73
2011-02-28,20.55
2011-03-01,35.0
2011-03-10,31.31
2011-03-14,21.82
2011-03-28,25.0
2011-04-04,22.0
2011-04-07,45.6
2011-04-18,21.82
2011-05-09,21.5
2011-05-12,24.24
2011-05-16,42.27
2011-05-23,43.18
2011-05-30,37.27
2011-06-06,29.55
2011-06-13,31.36
2011-06-20,31.82
2011-07-02,22.73
2011-07-03,19.27
2011-07-11,21.91
2011-07-18,53.9
2011-07-25,40.0
2011-08-15,42.0
2011-08-22,42.0
2011-08-29,26.56
2011-09-05,40.0
2011-09-19,26.82
2011-09-26,30.04
2011-10-10,32.1
2011-10-17,31.14
2011-10-24,26.98
2011-10-31,24.99
2011-11-04,21.82
2011-11-07,66.88
2011-11-14,21.85
2011-11-21,19.09
2011-11-28,19.91
2011-12-09,24.76
2011-12-12,25.0
2011-12-19,27.65
2011-12-26,25.0
2012-01-10,63.64
2012-01-16,19.09
2012-01-23,19.09
2012-02-04,17.27
2012-02-07,47.73
2012-02-13,38.64
2012-02-20,36.36
2012-02-27,18.82
2012-03-09,47.73
2012-03-12,43.18
2012-03-19,13.64
