ds,y
2021-01-02,331.06
2021-01-03,338.49
2021-01-11,473.6
2021-01-18,331.22
2021-01-25,334.8
2021-02-08,429.62
2021-02-15,336.36
2021-02-22,335.24
2021-03-05,345.3
2021-03-15,336.59
2021-03-22,360.37
2021-03-29,362.05
2021-04-01,327.0
2021-04-10,463.14
2021-04-19,339.0
2021-04-26,344.0
2021-05-04,348.93
2021-05-07,414.92
2021-05-17,359.18
2021-05-24,359.53
2021-05-31,370.05
2021-06-09,447.0
2021-06-14,364.73
2021-06-21,362.7
2021-06-28,364.92
2021-07-06,369.84
2021-07-19,420.07
2021-07-26,429.62
2021-08-02,331.06
2021-08-03,338.38
2021-08-11,475.96
2021-08-16,445.06
2021-08-23,443.22
2021-08-30,446.0
2021-09-08,443.96
2021-09-13,458.51
2021-09-20,457.03
2021-09-27,459.69
2021-10-05,356.81
2021-10-18,472.77
2021-10-25,473.48
2021-11-01,330.36
2021-11-10,468.73
2021-11-15,478.54
2021-11-22,491.44
2021-12-04,355.02
2021-12-07,419.06
