ds,y
2014-12-29,587.94
2015-01-06,422.73
2015-01-19,580.21
2015-01-26,574.49
2015-02-02,574.72
2015-02-03,523.76
2015-02-11,515.82
2015-02-16,541.7
2015-02-23,534.78
2015-03-08,459.26
2015-03-16,523.6
2015-03-23,523.6
2015-03-30,523.6
2015-04-05,463.09
2015-04-13,476.65
2015-04-20,476.65
2015-04-27,522.49
2015-05-01,580.21
2015-05-10,519.02
2015-05-18,435.31
2015-05-25,422.73
2015-06-04,482.22
2015-06-07,445.79
2015-06-15,422.9
2015-06-22,429.08
2015-06-29,440.2
2015-07-09,526.71
2015-07-12,502.26
2015-07-13,448.98
2015-07-20,451.24
2015-07-27,455.96
2015-08-06,422.73
2015-08-17,481.72
2015-08-24,501.27
2015-08-31,521.36
2015-09-02,559.93
2015-09-03,520.17
2015-09-11,514.97
2015-09-14,526.72
2015-09-21,527.52
2015-09-28,525.79
2015-10-08,462.36
2015-10-19,513.72
2015-10-26,511.19
2015-11-05,450.51
2015-11-16,509.35
2015-11-23,502.26
2015-11-30,502.26
2015-12-01,580.21
2015-12-10,513.72
2015-12-14,500.52
2015-12-21,500.52
2015-12-28,500.52
2016-01-02,499.83
2016-01-08,506.87
2016-01-18,496.19
2016-01-25,499.83
2016-02-05,455.76
2016-02-15,499.83
2016-02-22,499.83
2016-02-29,501.13
2016-03-10,532.49
2016-03-14,497.25
2016-03-21,492.8
2016-03-28,464.84
2016-04-01,500.09
2016-04-04,461.88
2016-04-07,463.15
2016-04-18,455.34
2016-04-25,455.34
2016-05-09,525.34
2016-05-12,556.76
2016-05-16,455.76
2016-05-23,455.76
2016-05-30,451.2
2016-06-06,456.38
2016-06-13,456.4
2016-06-20,459.19
2016-06-27,459.19
2016-07-03,499.99
2016-07-11,556.16
2016-07-18,485.76
2016-07-25,487.81
2016-08-02,499.83
2016-08-08,509.85
2016-08-15,515.92
2016-08-22,517.21
2016-08-29,522.66
2016-09-05,455.76
2016-09-19,523.51
2016-09-26,532.49
2016-10-10,536.09
2016-10-17,539.82
2016-10-24,539.82
2016-10-31,556.16
2016-11-01,500.0
2016-11-04,462.04
2016-11-07,479.86
2016-11-14,556.87
2016-11-21,556.87
2016-11-28,556.76
2016-12-09,527.14
2016-12-12,556.76
2016-12-19,556.76
2016-12-26,554.99
2017-01-05,501.5
2017-01-16,487.89
2017-01-23,486.98
2017-01-30,472.15
2017-02-01,518.46
2017-02-10,632.34
2017-02-13,461.73
2017-02-20,459.06
2017-02-27,459.06
2017-03-04,458.12
2017-03-07,526.88
2017-03-13,455.16
2017-03-20,456.06
2017-03-27,460.27
2017-04-09,581.61
2017-04-12,615.52
2017-04-17,465.85
2017-04-24,486.41
2017-05-06,525.05
2017-05-15,517.34
2017-05-22,519.62
2017-05-29,525.05
2017-06-02,462.8
2017-06-03,459.06
2017-06-11,618.64
2017-06-19,523.98
2017-06-26,523.98
2017-07-08,554.02
2017-07-17,529.04
2017-07-24,531.19
2017-07-31,549.2
2017-08-05,508.25
2017-08-14,554.02
2017-08-21,552.92
2017-08-28,573.64
2017-09-01,497.38
2017-09-10,632.33
2017-09-18,619.47
2017-09-25,632.08
2017-10-04,463.5
2017-10-07,537.56
2017-10-16,630.4
2017-10-23,619.28
2017-10-30,619.28
2017-11-09,601.02
2017-11-12,614.08
2017-11-13,616.48
2017-11-20,616.65
2017-11-27,616.38
2017-12-06,525.05
2017-12-18,614.08
2017-12-25,626.38
2018-01-01,614.2
2018-01-10,563.14
2018-01-15,540.19
2018-01-22,535.46
2018-01-29,529.85
2018-02-04,519.37
2018-02-07,496.91
2018-02-19,524.51
2018-02-26,524.51
2018-03-09,583.86
2018-03-12,557.04
2018-03-19,524.72
2018-03-26,524.9
2018-04-06,510.75
2018-04-16,522.04
2018-04-23,521.78
2018-04-30,521.6
2018-05-02,522.45
2018-05-03,524.64
2018-05-11,543.54
2018-05-14,521.6
2018-05-21,521.78
2018-05-28,513.42
2018-06-08,530.66
2018-06-18,508.07
2018-06-25,502.38
2018-07-05,521.6
2018-07-16,497.74
2018-07-23,505.5
2018-07-30,512.49
2018-08-01,561.95
2018-08-10,549.17
2018-08-13,544.98
2018-08-20,567.67
2018-08-27,581.4
2018-09-04,522.22
2018-09-07,496.91
2018-09-17,577.81
2018-09-24,577.81
2018-10-09,584.04
2018-10-12,557.31
2018-10-15,543.72
2018-10-22,543.72
2018-10-29,543.54
2018-11-06,510.74
2018-11-19,543.54
2018-11-26,548.51
2018-12-02,522.45
2018-12-03,524.72
2018-12-11,543.54
2018-12-17,562.65
2018-12-24,562.65
2018-12-31,548.03
2019-01-04,537.8
2019-01-07,475.34
2019-01-14,548.03
2019-01-21,508.4
2019-01-28,508.02
2019-02-09,509.12
2019-02-12,614.08
2019-02-18,507.85
2019-02-25,507.85
2019-03-06,492.2
2019-03-18,527.83
2019-03-25,537.16
2019-04-02,508.02
2019-04-03,513.81
2019-04-11,561.45
2019-04-15,537.83
2019-04-22,537.84
2019-04-29,531.96
2019-05-08,488.32
2019-05-13,528.49
2019-05-20,512.78
2019-05-27,495.95
2019-06-05,531.7
2019-06-17,484.77
2019-06-24,477.97
2019-07-01,529.8
2019-07-10,536.31
2019-07-15,475.35
2019-07-22,475.35
2019-07-29,483.11
2019-08-04,537.83
2019-08-07,475.35
2019-08-19,492.42
2019-08-26,501.78
2019-09-09,511.56
2019-09-12,614.08
2019-09-16,516.18
2019-09-23,525.36
2019-09-30,531.86
2019-10-06,484.77
2019-10-14,536.63
2019-10-21,539.12
2019-10-28,546.99
2019-11-02,508.02
2019-11-03,525.3
2019-11-11,576.3
2019-11-18,596.52
2019-11-25,608.76
2019-12-08,492.42
2019-12-16,614.08
2019-12-23,614.08
2019-12-30,614.22
2020-01-06,518.83
2020-01-13,600.98
2020-01-20,592.9
2020-01-27,575.15
2020-02-03,586.2
2020-02-11,591.74
2020-02-17,570.59
2020-02-24,577.3
2020-03-02,570.74
2020-03-08,600.26
2020-03-16,597.03
2020-03-23,596.57
2020-03-30,585.99
2020-04-05,493.86
2020-04-13,531.82
2020-04-20,513.54
2020-04-27,514.54
2020-05-10,589.93
2020-05-18,496.5
2020-05-25,512.3
2020-06-01,605.6
2020-06-04,577.34
2020-06-07,598.41
2020-06-15,558.54
2020-06-22,572.1
2020-06-29,593.44
2020-07-09,597.72
2020-07-12,610.94
2020-07-13,600.82
2020-07-20,600.26
2020-07-27,600.26
2020-08-06,538.92
2020-08-17,597.72
2020-08-24,597.72
2020-08-31,597.72
2020-09-03,597.03
2020-09-11,591.74
2020-09-14,590.07
2020-09-21,590.07
2020-09-28,589.93
2020-10-02,570.59
2020-10-08,597.72
2020-10-19,591.74
2020-10-26,591.74
2020-11-05,493.86
2020-11-16,591.74
2020-11-23,591.74
2020-11-30,600.91
2020-12-10,591.74
2020-12-14,611.4
