ds,y
2014-12-29,837.77
2015-01-06,639.86
2015-01-19,806.78
2015-01-26,833.85
2015-02-02,819.56
2015-02-03,754.99
2015-02-11,734.25
2015-02-16,780.5
2015-02-23,773.57
2015-03-08,734.24
2015-03-16,728.11
2015-03-23,711.62
2015-03-30,734.25
2015-04-05,666.84
2015-04-13,692.72
2015-04-20,693.02
2015-04-27,627.23
2015-05-01,833.38
2015-05-10,766.36
2015-05-18,660.36
2015-05-25,646.23
2015-06-04,720.81
2015-06-07,676.29
2015-06-15,640.11
2015-06-22,634.76
2015-06-29,636.12
2015-07-09,755.73
2015-07-12,710.32
2015-07-13,662.64
2015-07-20,714.18
2015-07-27,726.39
2015-08-06,646.56
2015-08-17,728.88
2015-08-24,736.38
2015-08-31,738.49
2015-09-02,811.24
2015-09-03,735.99
2015-09-11,731.52
2015-09-14,766.68
2015-09-21,769.76
2015-09-28,764.93
2015-10-08,704.13
2015-10-19,760.91
2015-10-26,734.4
2015-11-05,662.34
2015-11-16,728.66
2015-11-23,709.78
2015-11-30,709.28
2015-12-01,836.13
2015-12-10,763.88
2015-12-14,710.23
2015-12-21,714.24
2015-12-28,716.37
2016-01-02,711.68
2016-01-08,657.83
2016-01-18,712.14
2016-01-25,710.64
2016-02-05,613.39
2016-02-15,712.63
2016-02-22,714.16
2016-02-29,704.33
2016-03-10,741.08
2016-03-14,679.92
2016-03-21,711.49
2016-03-28,697.93
2016-04-01,719.09
2016-04-04,651.41
2016-04-07,619.29
2016-04-18,624.12
2016-04-25,615.31
2016-05-09,703.15
2016-05-12,799.38
2016-05-16,620.76
2016-05-23,618.88
2016-05-30,618.75
2016-06-06,616.79
2016-06-13,620.71
2016-06-20,617.7
2016-06-27,612.98
2016-07-03,700.57
2016-07-11,783.53
2016-07-18,647.04
2016-07-25,649.87
2016-08-02,712.3
2016-08-08,678.51
2016-08-15,680.25
2016-08-22,685.39
2016-08-29,685.73
2016-09-05,588.13
2016-09-19,730.41
2016-09-26,730.0
2016-10-10,745.64
2016-10-17,757.11
2016-10-24,757.11
2016-10-31,785.17
2016-11-01,711.9
2016-11-04,647.24
2016-11-07,634.07
2016-11-14,788.34
2016-11-21,780.69
2016-11-28,788.76
2016-12-09,704.72
2016-12-12,774.07
2016-12-19,793.47
2016-12-26,784.08
2017-01-05,549.32
2017-01-16,686.8
2017-01-23,678.18
2017-01-30,663.45
2017-02-01,747.32
2017-02-10,685.99
2017-02-13,605.59
2017-02-20,582.12
2017-02-27,561.81
2017-03-04,509.4
2017-03-07,577.59
2017-03-13,518.05
2017-03-20,504.08
2017-03-27,509.4
2017-04-09,633.9
2017-04-12,671.68
2017-04-17,514.18
2017-04-24,532.0
2017-05-06,573.3
2017-05-15,572.09
2017-05-22,573.16
2017-05-29,573.16
2017-06-02,630.28
2017-06-03,537.9
2017-06-11,674.71
2017-06-19,574.38
2017-06-26,574.38
2017-07-08,606.83
2017-07-17,580.6
2017-07-24,582.76
2017-07-31,601.81
2017-08-05,556.97
2017-08-14,606.63
2017-08-21,606.41
2017-08-28,625.3
2017-09-01,723.99
2017-09-10,685.99
2017-09-18,672.32
2017-09-25,685.73
2017-10-04,512.64
2017-10-07,583.79
2017-10-16,685.99
2017-10-23,674.28
2017-10-30,674.28
2017-11-09,655.2
2017-11-12,669.97
2017-11-13,672.56
2017-11-20,672.81
2017-11-27,672.54
2017-12-06,573.3
2017-12-18,669.96
2017-12-25,650.12
2018-01-01,630.55
2018-01-10,616.01
2018-01-15,587.68
2018-01-22,582.96
2018-01-29,577.34
2018-02-04,566.39
2018-02-07,542.09
2018-02-19,571.42
2018-02-26,571.43
2018-03-09,632.05
2018-03-12,608.79
2018-03-19,571.63
2018-03-26,571.8
2018-04-06,556.85
2018-04-16,569.06
2018-04-23,568.8
2018-04-30,568.62
2018-05-02,571.42
2018-05-03,571.55
2018-05-11,598.96
2018-05-14,568.62
2018-05-21,568.8
2018-05-28,559.52
2018-06-08,576.96
2018-06-18,554.18
2018-06-25,547.58
2018-07-05,568.62
2018-07-16,542.92
2018-07-23,552.38
2018-07-30,558.44
2018-08-01,613.24
2018-08-10,604.69
2018-08-13,589.27
2018-08-20,614.35
2018-08-27,629.21
2018-09-04,569.24
2018-09-07,542.09
2018-09-17,625.3
2018-09-24,625.3
2018-10-09,631.61
2018-10-12,612.15
