ds,y
2004-01-03,125.12
2004-01-26,206.9
2004-02-02,197.51
2004-03-05,118.84
2004-03-15,90.86
2004-03-22,79.21
2004-04-26,110.56
2004-05-04,121.72
2004-05-17,113.78
2004-05-24,97.28
2004-08-03,153.85
2004-09-02,166.5
2004-12-04,91.3
2005-02-05,66.67
2005-02-14,105.54
2005-02-21,147.0
2005-02-28,262.0
2005-03-14,250.33
2005-03-21,185.0
2005-03-28,92.0
2005-04-04,53.21
2005-04-18,95.0
2005-04-25,95.0
2005-05-16,65.0
2005-05-23,70.0
2005-05-30,70.0
2005-07-03,309.94
2005-09-05,71.67
2005-11-04,95.0
2006-01-05,122.11
2006-01-23,257.5
2006-01-30,244.0
2006-02-13,188.0
2006-02-20,170.0
2006-02-27,192.11
2006-03-04,70.11
2006-03-13,104.39
2006-03-20,101.11
2006-03-27,95.11
2006-04-17,64.11
2006-04-24,118.11
2006-05-15,74.11
2006-05-22,47.11
2006-06-02,219.0
2006-06-03,178.9
2006-08-05,142.11
2006-10-04,70.11
2007-02-04,124.64
2007-02-19,177.64
2007-02-26,152.64
2007-03-19,127.64
2007-03-26,104.64
2007-04-16,137.64
2007-04-23,112.64
2007-04-30,97.64
2007-05-03,137.64
2007-05-14,92.64
2007-05-21,84.64
2007-05-28,87.64
2007-07-05,107.64
2007-09-04,112.64
2007-12-03,152.64
2008-02-18,198.18
2008-02-25,193.67
2008-03-03,177.0
2008-03-17,163.5
2008-03-24,139.54
2008-03-31,125.41
2008-04-02,151.67
2008-04-14,177.52
2008-04-21,208.5
2008-04-28,166.0
2008-05-05,167.61
2008-05-19,121.23
2008-05-26,120.64
2008-07-04,151.39
2008-10-03,151.0
2008-11-02,209.17
2008-12-05,145.1
2009-02-03,208.0
2009-02-16,200.0
2009-02-23,215.8
2009-03-16,224.6
2009-03-23,152.8
2009-03-30,155.4
2009-04-05,220.75
2009-04-13,139.0
2009-04-20,168.8
2009-04-27,192.25
2009-05-18,121.5
2009-05-25,124.25
2009-06-04,152.0
2009-09-02,177.18
2009-09-03,258.0
2009-11-05,152.5
2010-01-02,218.2
2010-01-03,194.8
2010-01-18,218.0
2010-01-25,208.4
2010-02-15,159.07
2010-02-22,272.5
2010-03-05,142.8
2010-03-15,234.0
2010-03-22,156.8
2010-03-29,136.33
2010-04-19,105.4
2010-04-26,158.6
2010-05-04,125.0
2010-05-17,154.0
2010-05-24,99.4
2010-05-31,70.7
2010-07-06,74.1
2010-08-02,166.5
2010-08-03,203.0
2010-10-05,143.2
2010-12-04,83.25
2011-02-05,145.45
2011-02-14,271.8
2011-02-21,216.5
2011-02-28,186.0
2011-03-14,225.76
2011-03-28,158.75
2011-04-04,141.6
2011-04-18,170.1
2011-04-25,180.83
2011-05-16,113.5
2011-05-23,119.34
2011-07-02,330.0
2011-07-03,254.0
2011-09-05,106.33
2011-11-04,172.26
2012-01-16,274.0
2012-01-23,268.0
2012-02-04,155.79
2012-02-13,202.8
2012-02-20,171.08
2012-02-27,184.37
2012-03-19,169.98
2012-03-26,156.54
2012-04-16,92.88
2012-04-23,98.86
2012-05-03,194.91
2012-05-14,122.37
2012-05-28,129.28
2012-06-02,219.75
2012-07-05,94.13
2012-09-04,108.51
2012-12-03,191.38
2013-01-04,66.62
2013-01-14,394.0
2013-01-21,370.0
2013-01-28,262.73
2013-02-18,119.32
2013-02-25,129.86
2013-03-18,142.9
2013-03-25,170.34
