ds,y
2021-01-02,252.26
2021-01-03,247.52
2021-01-11,276.78
2021-01-18,238.83
2021-01-25,240.12
2021-02-08,266.27
2021-02-15,246.52
2021-02-22,246.98
2021-03-05,258.98
2021-03-15,248.56
2021-03-22,248.42
2021-03-29,248.15
2021-04-10,273.82
2021-04-19,248.0
2021-04-26,247.0
2021-05-04,247.47
2021-05-07,249.47
2021-05-17,253.68
2021-05-24,258.66
2021-05-31,258.04
2021-06-09,270.31
2021-06-14,256.35
2021-06-21,255.94
2021-06-28,257.28
2021-07-06,257.05
2021-07-19,252.91
2021-07-26,251.41
2021-08-02,246.12
2021-08-03,248.55
2021-08-11,277.13
2021-08-16,265.57
2021-08-23,264.6
2021-08-30,268.3
2021-09-08,265.8
2021-09-13,271.73
2021-09-20,271.19
2021-09-27,272.59
2021-10-05,254.01
2021-10-18,273.57
2021-10-25,274.62
2021-11-01,231.56
2021-11-10,273.29
2021-11-15,281.27
2021-11-22,283.22
2021-11-29,281.07
2021-12-04,245.93
2021-12-07,251.73
