ds,y
2021-01-02,469.38
2021-01-03,444.22
2021-01-11,399.77
2021-02-08,398.19
2021-02-15,463.4
2021-02-22,447.2
2021-03-05,426.5
2021-03-15,433.46
2021-03-22,407.57
2021-03-29,385.89
2021-04-10,400.08
2021-04-19,422.0
2021-04-26,424.0
2021-05-04,409.14
2021-05-07,404.22
2021-05-17,411.95
2021-05-24,403.44
2021-05-31,411.29
2021-06-09,397.31
2021-06-14,400.5
2021-06-21,396.55
2021-06-28,411.82
2021-07-06,399.3
2021-07-19,398.19
2021-07-26,398.19
2021-08-02,466.39
2021-08-03,439.13
2021-08-11,414.1
2021-08-16,405.47
2021-08-23,408.14
2021-08-30,396.94
2021-09-08,403.5
2021-09-13,404.69
2021-09-20,410.71
2021-09-27,404.3
2021-10-05,431.89
2021-10-18,403.95
2021-10-25,403.17
2021-11-10,401.14
2021-11-15,429.4
2021-11-22,421.19
2021-12-04,407.84
2021-12-07,408.31
