ds,y
2013-01-07,225.0
2013-02-09,234.0
2013-02-12,230.0
2013-03-06,232.0
2013-04-11,225.0
2013-05-27,255.0
2013-06-17,225.0
2013-06-24,225.0
2013-07-10,225.0
2013-07-15,230.0
2013-07-22,232.0
2013-07-29,232.0
2013-08-07,230.0
2013-08-19,232.0
2013-08-26,232.0
2013-09-09,234.0
2013-09-12,235.0
2013-09-16,234.0
2013-09-23,234.0
2013-09-30,234.0
2013-10-06,232.0
2013-10-21,225.0
2013-10-28,225.0
2013-11-11,225.0
2013-11-18,225.0
2013-11-25,230.0
2013-12-08,232.0
2013-12-16,235.0
2013-12-23,237.0
2013-12-30,237.0
2014-01-09,295.0
2014-01-12,400.0
2014-01-13,240.0
2014-01-20,240.0
2014-01-27,240.0
2014-02-06,242.0
2014-02-17,250.0
2014-02-24,253.0
2014-03-02,245.0
2014-03-03,253.0
2014-03-11,400.0
2014-03-17,250.0
2014-03-24,250.0
2014-03-31,250.0
2014-04-08,300.0
2014-04-14,255.0
2014-04-21,255.0
2014-04-28,255.0
2014-05-05,255.0
2014-05-19,240.0
2014-05-26,242.0
2014-06-01,237.0
2014-06-10,315.0
2014-06-16,255.0
2014-06-23,264.0
2014-06-30,274.0
2014-07-04,255.0
2014-07-07,290.0
2014-07-14,290.0
2014-07-21,290.0
2014-07-28,300.0
2014-08-09,295.0
2014-08-12,395.0
2014-08-18,302.0
2014-09-06,250.0
2014-09-15,306.0
2014-09-22,310.0
2014-09-29,315.0
2014-10-02,245.0
2014-10-03,250.0
2014-10-11,400.0
2014-10-13,320.0
2014-10-20,360.0
2014-10-27,380.0
2014-11-08,300.0
2014-11-17,398.0
2014-11-24,400.0
2014-12-05,240.0
2014-12-15,395.0
2014-12-22,385.0
2014-12-29,380.0
2015-01-06,250.0
2015-01-19,385.0
2015-01-26,385.0
2015-02-02,380.0
2015-02-03,335.0
2015-02-16,350.0
2015-02-23,340.0
2015-03-08,320.0
2015-03-16,330.0
2015-03-23,325.0
2015-03-30,325.0
2015-04-05,310.0
2015-04-13,325.0
2015-04-20,325.0
2015-04-27,325.0
2015-05-01,380.0
2015-05-18,250.0
2015-05-25,250.0
2015-06-04,325.0
2015-06-07,360.0
2015-06-15,280.0
2015-06-22,280.0
2015-06-29,320.0
2015-07-09,318.0
2015-07-12,260.0
2015-07-13,360.0
2015-07-20,324.0
2015-07-27,320.0
2015-08-06,270.0
2015-08-17,320.0
2015-08-24,318.0
2015-09-02,370.0
2015-09-03,330.0
2015-10-08,320.0
2015-10-19,280.0
2015-10-26,280.0
2015-11-05,308.0
2015-11-16,260.0
2015-11-23,260.0
2015-11-30,260.0
2015-12-01,385.0
2015-12-21,255.0
2016-01-02,255.0
2016-01-18,255.0
2016-01-25,255.0
2016-02-05,225.0
2016-02-15,243.0
2016-02-22,243.0
2016-02-29,243.0
2016-03-10,210.0
2016-03-14,230.0
2016-03-21,230.0
2016-03-28,228.0
2016-04-01,255.0
2016-04-04,228.0
2016-04-07,230.0
2016-04-18,225.0
2016-04-25,225.0
2016-05-12,235.0
2016-05-16,225.0
2016-05-23,225.0
2016-05-30,235.0
2016-06-06,235.0
2016-06-20,230.0
2016-06-27,230.0
2016-07-03,230.0
2016-07-11,242.0
2016-07-18,222.0
2016-07-25,218.0
2016-08-02,245.0
2016-09-05,225.0
2016-09-19,210.0
2016-09-26,210.0
2016-10-10,210.0
2016-10-17,210.0
2016-10-24,222.0
2016-10-31,230.0
2016-11-01,255.0
2016-11-04,228.0
2016-11-14,242.0
2016-11-21,238.0
2016-11-28,235.0
2016-12-09,210.0
2016-12-12,235.0
2016-12-19,235.0
2017-01-05,200.0
2017-01-30,215.0
2017-02-13,215.0
2017-02-20,215.0
2017-02-27,215.0
2017-03-04,202.0
2017-03-07,220.0
2017-03-13,205.0
2017-03-20,205.0
2017-03-27,205.0
2017-04-09,240.0
2017-04-17,200.0
2017-04-24,200.0
2017-05-06,200.0
2017-05-15,200.0
2017-05-22,200.0
2017-05-29,200.0
2017-06-02,215.0
2017-06-03,205.0
2017-06-19,205.0
2017-06-26,210.0
2017-07-08,240.0
2017-07-17,230.0
2017-07-24,240.0
2017-07-31,240.0
2017-08-05,200.0
2017-08-14,240.0
2017-08-21,240.0
2017-08-28,240.0
2017-10-04,200.0
2017-10-07,230.0
2017-11-09,238.0
2017-12-06,205.0
2018-01-10,200.0
2018-02-04,204.98
2018-02-07,195.0
2018-03-09,200.0
2018-03-12,200.0
2018-04-06,195.0
2018-04-16,195.0
2018-04-23,195.0
2018-04-30,195.0
2018-05-11,195.0
2018-05-14,195.0
2018-05-21,195.0
2018-05-28,195.0
2018-06-08,190.0
2018-06-18,195.0
2018-06-25,195.0
2018-07-05,195.0
2018-07-16,188.0
2018-07-23,188.0
2018-07-30,190.0
2018-08-10,190.0
2018-08-13,200.0
2018-08-20,200.0
2018-08-27,200.0
2018-09-04,195.0
2018-09-07,188.0
2018-09-24,190.0
2018-10-09,190.0
2018-10-12,203.0
2018-10-15,188.0
2018-10-22,195.0
2018-10-29,195.0
2018-11-06,195.0
2018-11-19,195.0
2018-11-26,200.0
2018-12-11,195.0
2018-12-17,203.0
2018-12-24,203.0
2018-12-31,203.0
2019-01-04,210.0
2019-01-07,210.0
2019-01-14,212.0
2019-01-21,212.0
2019-01-28,216.0
2019-02-09,210.0
2019-02-12,250.0
2019-02-18,216.0
2019-02-25,202.0
2019-03-06,210.0
2019-03-18,205.0
2019-03-25,205.0
2019-04-02,216.0
2019-04-03,202.0
2019-04-11,253.0
2019-04-15,210.0
2019-04-22,210.0
2019-04-29,210.0
2019-05-08,219.0
2019-05-13,210.0
2019-05-20,210.0
2019-05-27,210.0
2019-06-05,210.0
2019-06-17,210.0
2019-06-24,210.0
2019-07-01,203.0
2019-07-10,220.0
2019-07-15,219.0
2019-07-22,219.0
2019-07-29,219.0
2019-08-04,210.0
2019-08-07,210.0
2019-08-19,219.0
2019-08-26,219.0
2019-09-09,210.0
2019-09-12,250.0
2019-09-16,220.0
2019-09-23,220.0
2019-09-30,220.0
2019-10-06,210.0
2019-10-14,220.0
2019-10-21,220.0
2019-10-28,250.0
2019-11-02,216.0
2019-11-03,205.0
2019-11-11,250.0
2019-11-18,250.0
2019-11-25,250.0
2019-12-08,219.0
2019-12-16,250.0
2019-12-23,250.0
2019-12-30,250.0
2020-01-13,250.0
2020-01-20,255.0
2020-01-27,255.0
2020-02-03,260.0
2020-02-11,260.0
2020-02-17,260.0
2020-02-24,260.0
2020-03-02,255.0
2020-03-16,260.0
2020-03-23,265.0
2020-03-30,270.0
2020-04-13,275.0
2020-04-20,275.0
2020-06-01,250.0
2020-06-04,270.0
2020-07-12,272.0
2020-09-03,260.0
2020-09-11,270.0
2020-10-02,260.0
2020-10-19,260.0
2020-10-26,260.0
2020-11-16,270.0
2020-11-23,272.0
2020-11-30,272.0
2020-12-14,272.0
2020-12-21,272.0
2020-12-28,272.0
2021-01-02,280.0
2021-01-03,285.0
2021-01-11,540.0
2021-01-18,300.0
2021-01-25,280.0
2021-02-08,400.0
2021-02-15,285.0
2021-02-22,285.0
2021-03-29,285.0
2021-04-01,277.0
2021-04-10,515.0
2021-04-19,280.0
2021-05-04,280.0
2021-05-07,300.0
2021-06-09,515.0
2021-06-14,275.0
2021-06-21,275.0
2021-07-06,265.0
2021-07-19,360.0
2021-07-26,365.0
2021-08-02,283.0
2021-08-03,285.0
2021-08-11,540.0
2021-08-16,410.0
2021-08-23,432.0
2021-08-30,510.0
2021-09-08,410.0
2021-09-13,515.0
2021-09-20,515.0
2021-09-27,515.0
2021-10-18,530.0
2021-10-25,540.0
2021-11-01,277.0
2021-11-10,530.0
2021-11-29,530.0
2021-12-04,280.0
2021-12-07,320.0
