ds,y
2013-01-07,218.43
2013-02-09,205.5
2013-02-12,208.8
2013-03-06,233.32999999999998
2013-04-11,205.35
2013-05-08,179.92
2013-05-27,243.79000000000002
2013-06-17,227.03
2013-06-24,226.7
2013-07-10,203.0
2013-07-15,216.325
2013-07-22,213.63
2013-07-29,208.1
2013-08-07,216.8
2013-08-19,202.6
2013-08-26,203.8
2013-09-09,207.2
2013-09-12,211.3
2013-09-16,209.0
2013-09-23,207.1
2013-09-30,207.5
2013-10-06,233.32999999999998
2013-10-21,207.3
2013-10-28,207.3
2013-11-11,205.9
2013-11-18,205.9
2013-11-25,207.6
2013-12-08,205.0
2013-12-16,212.5
2013-12-23,214.7
2013-12-30,214.7
2014-01-09,233.85
2014-01-12,289.46500000000003
2014-01-13,216.38
2014-01-20,213.195
2014-01-27,212.79500000000002
2014-02-06,214.7
2014-02-17,214.9
2014-02-24,216.4
2014-03-02,213.2
2014-03-03,218.8
2014-03-11,286.25
2014-03-17,219.6
2014-03-24,221.2
2014-03-31,220.6
2014-04-08,236.35
2014-04-14,222.8
2014-04-21,222.2
2014-04-28,223.25
2014-05-05,223.4
2014-05-19,215.7
2014-05-26,217.1
2014-06-01,214.6
2014-06-10,239.6
2014-06-16,220.0
2014-06-23,224.3
2014-06-30,229.3
2014-07-04,223.2
2014-07-07,236.6
2014-07-14,236.56
2014-07-21,233.16
2014-07-28,236.5
2014-08-09,233.45
2014-08-12,287.1
2014-08-18,237.1
2014-09-06,218.75
2014-09-15,237.3
2014-09-22,237.65
2014-09-29,239.67000000000002
2014-10-02,213.82
2014-10-03,217.7
2014-10-11,286.45
2014-10-13,242.255
2014-10-20,263.455
2014-10-27,276.0
2014-11-08,235.95
2014-11-17,285.85
2014-11-24,288.115
2014-12-05,217.5
2014-12-15,288.92
2014-12-22,283.92
2014-12-29,281.42
2015-01-06,215.65
2015-01-19,284.3
2015-01-26,283.90999999999997
2015-02-02,280.505
2015-02-03,254.95
2015-02-11,180.8
2015-02-16,264.1
2015-02-23,258.25
2015-03-08,248.65
2015-03-16,253.35
2015-03-23,252.3
2015-03-30,252.4
2015-04-05,241.45
2015-04-13,251.3
2015-04-20,250.5
2015-04-27,250.15
2015-05-01,282.05
2015-05-10,178.0
2015-05-18,212.4
2015-05-25,214.0
2015-06-04,252.55
2015-06-07,271.4
2015-06-15,229.3
2015-06-22,228.1
2015-06-29,250.5
2015-07-09,246.15
2015-07-12,218.0
2015-07-13,270.8
2015-07-20,252.8
2015-07-27,248.65
2015-08-06,225.8
2015-08-17,247.85
2015-08-24,246.4
2015-08-31,174.3
2015-09-02,274.7
2015-09-03,251.9
2015-09-11,181.0
2015-09-14,174.1
