ds,y
2004-01-11,161.04
2004-06-12,164.45
2004-08-11,146.82
2004-10-18,252.36
2004-10-25,221.05
2004-11-10,179.59
2004-11-15,160.25
2004-11-22,184.7
2004-12-13,167.31
2005-01-17,307.14
2005-01-24,270.89
2005-01-31,340.4
2005-02-05,84.77
2005-02-14,372.31
2005-02-21,483.6
2005-03-10,187.31
2005-03-28,159.74
2005-04-18,151.02
2005-04-25,95.67
2005-05-12,205.97
2005-05-16,118.9
2005-05-23,119.88
2005-05-30,90.84
2005-06-06,99.44
2005-06-13,104.17
2005-06-27,94.26
2005-07-03,532.25
2005-07-11,137.49
2005-09-05,91.76
2005-10-01,341.08
2005-10-10,131.64
2005-10-17,139.14
2005-10-24,138.89
2005-10-31,143.51
2005-11-04,207.33
2005-11-14,155.66
2005-11-21,144.8
2005-11-28,169.9
2005-12-12,263.91
2005-12-19,293.59
2006-01-05,170.98
2006-01-16,467.9
2006-01-23,416.98
2006-01-30,371.68
2006-02-01,236.12
2006-02-13,453.23
2006-02-20,460.35
2006-02-27,597.83
2006-03-04,225.96
2006-03-13,422.41
2006-03-20,411.01
2006-03-27,379.8
2006-04-12,144.82
2006-04-17,183.3
2006-04-24,202.46
2006-05-06,208.29
2006-05-15,111.47
2006-05-22,121.27
2006-05-29,153.05
2006-06-02,381.77
2006-06-03,573.77
2006-06-11,230.67
2006-06-19,165.0
2006-08-05,114.93
2006-09-01,310.83
2006-10-04,226.27
2006-10-16,91.0
2006-10-23,97.0
2006-10-30,156.07
2006-11-13,235.67
2006-11-20,191.06
2006-11-27,185.16
2006-12-06,195.74
2006-12-18,244.86
2006-12-25,241.75
2007-01-01,390.0
2007-01-10,134.45
2007-01-15,278.29
2007-01-22,294.47
2007-01-29,315.29
2007-02-04,191.88
2007-02-19,344.59
2007-02-26,385.06
2007-03-12,219.34
2007-03-19,258.74
2007-03-26,259.24
2007-04-06,249.08
2007-04-16,197.12
2007-04-23,161.16
2007-04-30,139.03
2007-05-02,399.57
2007-05-03,384.57
2007-05-11,185.03
2007-05-14,153.54
2007-05-21,154.24
2007-05-28,155.89
2007-07-05,135.53
2007-08-01,250.02
2007-08-10,127.94
2007-09-04,238.18
2007-10-12,213.33
2007-10-15,126.82
2007-10-22,146.9
2007-10-29,161.8
2007-11-06,202.16
2007-11-19,190.01
2007-11-26,185.53
2007-12-02,397.38
2007-12-03,405.0
2007-12-11,187.93
2007-12-17,193.5
2007-12-24,227.04
2007-12-31,249.21
2008-01-12,187.19
2008-01-14,334.19
2008-01-21,243.37
2008-01-28,190.52
2008-02-06,142.62
2008-02-18,292.3
2008-02-25,171.76
2008-03-03,332.05
2008-03-11,214.08
2008-03-17,224.27
2008-03-24,217.68
2008-03-31,248.15
2008-04-02,215.87
2008-04-14,218.28
2008-04-21,185.16
2008-04-28,155.63
2008-05-05,143.58
2008-05-19,161.47
2008-05-26,148.73
2008-06-10,164.45
2008-06-16,154.52
2008-06-23,127.46
2008-06-30,106.33
2008-07-01,321.87
2008-07-04,252.8
2008-07-07,142.24
2008-08-09,164.0
2008-08-12,186.08
2008-09-15,155.99
2008-09-29,141.21
2008-10-03,258.82
2008-10-11,238.8
2008-10-13,161.83
2008-10-20,156.2
2008-10-27,178.62
2008-11-02,240.68
2008-11-17,228.3
2008-11-24,202.53
2008-12-05,139.54
2008-12-15,254.54
2008-12-29,249.21
2009-01-06,121.39
2009-02-03,453.35
2009-02-11,174.48
2009-02-16,461.13
2009-02-23,347.75
2009-03-16,288.24
2009-03-23,174.91
2009-03-30,219.01
2009-04-05,105.17
2009-04-13,173.33
2009-04-20,196.68
2009-04-27,140.03
2009-05-01,356.38
2009-05-10,184.92
2009-05-18,122.41
2009-05-25,120.64
2009-06-04,177.17
2009-06-07,173.73
2009-06-15,146.49
2009-06-22,103.81
2009-06-29,123.0
2009-07-12,277.46
2009-08-06,121.08
2009-09-02,610.0
2009-09-03,289.9
2009-09-11,177.05
2009-09-28,286.57
2009-10-19,124.67
2009-10-26,141.11
2009-11-05,113.36
