ds,y
2005-01-01,31.61
2005-01-02,31.24
2005-01-03,30.81
2005-01-04,30.48
2005-01-05,30.23
2005-01-06,29.84
2005-01-07,29.76
2005-01-08,29.71
2005-01-09,30.07
2005-01-10,30.04
2005-01-11,30.04
2005-01-12,30.28
2006-01-01,30.32
2006-01-02,29.56
2006-01-03,29.45
2006-01-04,29.16
2006-01-05,29.04
2006-01-06,29.02
2006-01-07,29.1
2006-01-08,29.13
2006-01-09,29.6
2006-01-10,30.06
2006-01-11,30.43
2006-01-12,30.57
2007-01-01,30.41
2007-01-02,30.25
2007-01-03,30.04
2007-01-04,29.73
2007-01-05,29.97
2007-01-06,31.32
2007-01-07,32.9
2007-01-08,36.2
2007-01-09,40.63
2007-01-10,42.98
2007-01-11,44.64
2007-01-12,45.1
2008-01-01,44.71
2008-01-02,42.63
2008-01-03,40.42
2008-01-04,38.62
2008-01-05,37.69
2008-01-06,37.14
2008-01-07,36.93
2008-01-08,36.67
2008-01-09,35.94
2008-01-10,35.41
2008-01-11,35.02
2008-01-12,34.08
2009-01-01,33.11
2009-01-02,32.38
2009-01-03,30.5
2009-01-04,28.8
2009-01-05,27.48
2009-01-06,27.01
2009-01-07,26.85
2009-01-08,27.27
2009-01-09,28.43
2009-01-10,28.97
2009-01-11,29.3
2009-01-12,30.09
2010-01-01,29.71
2010-01-02,29.42
2010-01-03,28.83
2010-01-04,28.54
2010-01-05,28.35
2010-01-06,28.25
2010-01-07,28.35
2010-01-08,28.64
2010-01-09,29.61
2010-01-10,30.58
2010-01-11,30.97
2010-01-12,31.26
2011-01-01,30.97
2011-01-02,30.97
2011-01-03,30.87
2011-01-04,30.58
2011-01-05,30.49
2011-01-06,30.78
2011-01-07,30.68
2011-01-08,30.87
2011-01-09,31.65
2011-01-10,32.23
2011-01-11,32.52
2011-01-12,32.82
2012-01-01,32.33
2012-01-02,32.14
2012-01-03,31.46
2012-01-04,30.78
2012-01-05,30.0
2012-01-06,29.71
2012-01-07,29.32
2012-01-08,29.32
2012-01-09,30.49
2012-01-10,31.26
2012-01-11,31.75
2012-01-12,32.14
2013-01-01,32.72
2013-01-02,32.72
2013-01-03,32.82
2013-01-04,32.62
2013-01-05,32.62
2013-01-06,32.91
2013-01-07,33.59
2013-01-08,33.88
2013-01-09,34.95
2013-01-10,36.99
2013-01-11,37.67
2013-01-12,38.25
2014-01-01,38.16
2014-01-02,37.86
2014-01-03,37.96
2014-01-04,35.83
2014-01-05,35.44
2014-01-06,35.44
2014-01-07,33.98
2014-01-08,33.79
2014-01-09,34.08
2014-01-10,33.11
2014-01-11,33.11
2014-01-12,33.4
2015-01-01,31.84
2015-01-02,31.75
2015-01-03,31.36
2015-01-04,30.1
2015-01-05,29.71
2015-01-06,29.42
2015-01-07,28.83
2015-01-08,29.03
2015-01-09,29.51
2015-01-10,30.0
2015-01-11,30.1
2015-01-12,30.1
2016-01-01,29.9
2016-01-02,29.71
2016-01-03,29.42
2016-01-04,28.93
2016-01-05,28.35
2016-01-06,27.96
2016-01-07,27.77
2016-01-08,28.16
2016-01-09,28.74
2016-01-10,29.71
2016-01-11,30.39
2016-01-12,30.39
2017-01-01,30.68
2017-01-02,30.68
2017-01-03,30.49
2017-01-04,30.39
2017-01-05,30.29
2017-01-06,30.1
2017-01-07,30.1
2017-01-08,30.68
2017-01-09,31.26
2017-01-10,31.84
2017-01-11,32.52
2017-01-12,32.43
2018-01-01,31.94
2018-01-02,31.94
2018-01-03,31.46
2018-01-04,30.87
2018-01-05,30.68
2018-01-06,30.39
2018-01-07,30.29
2018-01-08,30.49
2018-01-09,30.78
2018-01-10,31.55
2018-01-11,32.33
2018-01-12,32.04
2019-01-01,32.04
2019-01-02,32.04
2019-01-03,31.65
2019-01-04,31.65
2019-01-05,31.55
2019-01-06,31.17
2019-01-07,31.07
2019-01-08,31.36
2019-01-09,31.65
2019-01-10,32.14
2019-01-11,33.01
2019-01-12,32.82
2020-01-01,32.62
2020-01-02,32.62
2020-01-03,32.33
2020-01-04,32.23
2020-01-05,31.94
2020-01-06,31.75
2020-01-07,31.55
2020-01-08,31.55
2020-01-09,31.17
2020-01-10,32.72
2020-01-11,33.11
2020-01-12,32.91
2021-01-01,33.01
2021-01-02,32.82
2021-01-03,32.72
2021-01-04,32.62
2021-01-05,32.52
2021-01-06,32.23
2021-01-07,32.43
2021-01-08,32.82
2021-01-09,33.2
2021-01-10,34.27
2021-01-11,35.15
2021-01-12,35.15
