ds,y
2001-01-10,259.04
2001-01-15,228.38
2001-01-22,228.38
2001-01-29,259.04
2001-02-04,259.04
2001-02-07,259.04
2001-02-19,259.04
2001-02-26,259.04
2001-03-09,259.04
2001-03-12,259.04
2001-03-19,259.04
2001-03-26,259.04
2001-04-06,259.04
2001-04-16,259.04
2001-04-23,259.04
2001-05-02,259.04
2001-05-03,259.08
2001-05-11,259.04
2001-05-14,259.04
2001-05-21,259.04
2001-06-08,259.04
2001-06-18,259.08
2001-06-25,259.04
2001-07-05,259.04
2001-07-16,259.04
2001-07-23,259.04
2001-08-01,228.38
2001-08-10,259.04
2001-08-13,259.04
2001-09-04,259.04
2001-09-07,259.04
2001-09-17,259.04
2001-09-24,259.04
2001-10-09,259.04
2001-10-12,259.04
2001-10-15,259.04
2001-10-22,259.04
2001-10-29,259.04
2001-11-06,259.04
2001-11-26,259.04
2001-12-02,259.04
2001-12-11,259.04
2001-12-17,259.04
2001-12-24,259.04
2001-12-31,259.08
2002-01-04,198.0
2002-01-14,259.04
2002-01-21,259.04
2002-01-28,259.04
2002-02-09,196.0
2002-02-12,196.0
2002-02-25,259.04
2002-03-06,196.0
2002-03-18,259.04
2002-04-02,259.04
2002-04-03,259.04
2002-04-11,196.0
2002-04-15,196.0
2002-04-22,196.0
2002-04-29,196.0
2002-05-08,196.0
2002-05-13,196.0
2002-05-20,196.0
2002-05-27,196.0
2002-06-05,196.0
2002-06-17,196.0
2002-06-24,196.0
2002-07-10,196.0
2002-07-15,196.0
2002-07-22,196.0
2002-07-29,196.0
2002-08-07,196.0
2002-08-19,196.0
2002-09-09,196.0
2002-09-12,196.0
2002-09-16,196.0
2002-09-30,196.0
2002-10-06,196.0
2002-10-14,196.0
2002-10-21,196.0
2002-10-28,196.0
2002-11-02,259.04
2002-11-03,259.04
2002-11-11,196.0
2002-11-18,196.0
2002-11-25,196.0
2002-12-08,196.0
2002-12-16,196.0
2002-12-23,196.0
2003-01-09,195.0
2003-01-12,202.1
2003-01-13,196.0
2003-01-20,196.0
2003-01-27,196.0
2003-02-17,196.0
2003-02-24,196.0
2003-03-02,196.0
2003-03-03,196.0
2003-03-11,195.0
2003-03-17,196.0
2003-03-24,196.0
2003-03-31,195.0
2003-04-08,195.0
2003-04-14,195.0
2003-04-21,195.0
2003-04-28,195.0
2003-05-19,195.0
2003-05-26,195.0
2003-06-01,196.0
2003-06-16,195.0
2003-06-23,195.0
2003-06-30,195.0
2003-07-04,195.0
2003-07-07,195.0
2003-07-14,195.0
2003-07-21,195.0
2003-07-28,195.0
2003-08-09,195.0
2003-08-12,202.1
2003-08-18,195.0
2003-08-25,195.0
2003-09-06,195.0
2003-09-15,195.0
2003-09-22,195.0
2003-09-29,195.0
2003-10-02,196.0
2003-10-03,196.0
2003-10-11,195.0
2003-10-13,195.0
2003-10-20,195.0
2003-10-27,195.0
2003-11-08,195.0
2003-11-24,199.73
2003-12-05,195.0
2003-12-15,202.1
2003-12-22,202.1
2003-12-29,202.1
2004-01-03,205.49
2004-01-11,219.5
2004-01-19,202.1
2004-01-26,202.1
2004-02-02,201.0
2004-02-08,213.12
2004-02-16,207.46
