ds,y
2004-01-11,89.86
2004-04-10,61.54
2004-06-12,73.76
2004-08-11,82.28
2004-09-13,111.05
2004-09-20,85.29
2004-09-27,74.0
2004-10-18,48.65
2004-10-25,91.26
2004-11-10,54.28
2004-11-15,84.24
2004-11-22,75.16
2004-11-29,60.5
2004-12-13,73.08
2005-01-08,80.73
2005-01-17,172.93
2005-01-24,158.6
2005-01-31,179.03
2005-02-05,84.46
2005-02-14,206.85
2005-02-21,190.84
2005-02-28,226.25
2005-03-01,78.47
2005-03-10,75.28
2005-03-14,229.9
2005-03-21,214.26
2005-03-28,134.95
2005-04-04,80.3
2005-04-18,71.1
2005-04-25,48.86
2005-05-09,103.16
2005-05-12,78.35
2005-05-16,54.69
2005-05-23,54.64
2005-05-30,71.15
2005-06-06,79.01
2005-06-13,75.0
2005-06-20,75.06
2005-06-27,77.61
2005-07-02,213.08
2005-07-03,225.57
2005-07-11,87.44
2005-07-18,84.09
2005-07-25,79.64
2005-08-08,112.08
2005-08-15,112.59
2005-08-22,112.34
2005-08-29,94.01
2005-09-05,77.07
2005-09-19,99.06
2005-09-26,86.19
2005-10-01,146.33
2005-10-10,80.11
2005-10-17,85.36
2005-10-24,76.3
2005-10-31,89.95
2005-11-04,65.45
2005-11-14,81.01
2005-11-21,91.26
2005-11-28,77.97
2005-12-09,102.06
2005-12-12,94.3
2005-12-19,123.71
2006-01-05,147.26
2006-01-16,85.69
2006-01-23,80.26
2006-01-30,120.94
2006-02-01,82.61
2006-02-10,74.65
2006-02-13,100.08
2006-02-20,74.05
2006-02-27,91.36
2006-03-04,62.83
2006-03-07,112.85
2006-03-13,102.15
2006-03-20,68.52
2006-03-27,55.1
2006-04-12,99.6
2006-04-17,107.23
2006-04-24,124.46
2006-05-06,107.94
2006-05-15,159.95
2006-05-22,126.4
2006-05-29,125.59
2006-06-02,104.69
2006-06-03,131.87
2006-06-11,105.63
2006-06-19,109.47
2006-06-26,92.48
2006-07-08,90.54
2006-07-17,77.57
2006-07-24,79.47
2006-07-31,94.04
2006-08-05,158.68
2006-08-14,88.37
2006-09-01,89.56
2006-09-10,79.24
2006-09-18,63.31
2006-09-25,92.9
2006-10-04,87.44
2006-10-07,87.45
2006-10-16,86.39
2006-10-23,101.81
2006-10-30,103.07
2006-11-09,95.04
2006-11-12,88.5
2006-11-13,123.23
2006-11-20,97.77
2006-11-27,81.55
2006-12-06,122.52
2006-12-18,93.47
2006-12-25,109.17
2007-01-01,109.35
2007-01-15,75.14
2007-01-22,73.64
2007-01-29,90.42
2007-02-04,158.99
2007-02-19,54.06
2007-02-26,50.61
2007-03-12,106.22
2007-03-19,100.49
2007-03-26,126.37
2007-04-06,71.5
2007-04-16,172.7
2007-04-23,157.81
2007-04-30,144.86
2007-05-02,82.97
2007-05-03,46.29
2007-05-11,111.0
2007-05-14,81.43
2007-05-21,63.68
2007-05-28,71.5
2007-06-18,82.5
2007-07-05,90.92
2007-08-01,110.03
2007-09-04,142.84
2007-10-12,91.85
2007-10-29,99.5
2007-11-06,77.0
2007-11-19,100.0
2007-11-26,119.77
2007-12-02,60.15
2007-12-03,69.4
2007-12-11,136.0
2007-12-17,100.14
2007-12-24,98.27
2007-12-31,110.87
2008-01-09,126.47
2008-01-12,157.13
2008-01-14,66.48
2008-01-21,64.99
2008-01-28,45.68
2008-02-06,139.23
2008-02-18,56.61
2008-02-25,57.15
2008-03-03,54.52
2008-03-11,117.11
2008-03-17,86.75
2008-03-24,90.32
2008-03-31,73.47
2008-04-02,52.27
2008-04-14,86.16
2008-04-21,109.53
2008-04-28,135.98
2008-05-05,148.28
2008-05-19,147.65
2008-05-26,143.44
2008-06-10,100.15
2008-06-16,112.02
2008-06-23,130.6
2008-06-30,128.77
2008-07-01,78.8
2008-07-04,64.94
2008-07-07,130.49
2008-07-14,128.22
2008-07-21,140.0
2008-07-28,140.0
2008-08-09,78.02
2008-08-12,186.67
2008-08-18,77.26
2008-09-06,140.0
2008-09-15,79.42
2008-09-22,80.64
2008-09-29,91.89
2008-10-03,78.3
2008-10-11,131.21
2008-10-13,107.6
2008-10-20,90.0
2008-10-27,86.95
2008-11-02,57.66
2008-11-08,78.67
2008-11-17,144.83
2008-11-24,165.71
2008-12-05,157.7
2008-12-15,177.5
2008-12-29,110.87
2009-01-06,64.05
2009-01-26,97.38
2009-02-02,133.0
2009-02-03,62.17
2009-02-11,90.78
2009-02-16,85.85
2009-02-23,73.0
2009-03-16,64.33
2009-03-23,59.88
2009-03-30,67.46
2009-04-05,62.71
2009-04-13,76.01
2009-04-20,93.18
2009-04-27,81.72
2009-05-01,107.56
2009-05-10,66.28
2009-05-18,65.14
2009-05-25,77.48
2009-06-04,70.18
2009-06-07,77.06
2009-06-15,49.94
2009-06-22,69.79
2009-06-29,82.39
2009-07-09,65.7
2009-07-12,61.87
2009-07-13,72.8
2009-07-27,86.14
2009-08-06,65.46
2009-08-31,72.09
2009-09-02,115.53
2009-09-03,61.16
2009-09-11,78.04
2009-09-14,74.56
2009-09-21,64.82
2009-09-28,64.76
2009-10-19,64.72
2009-10-26,73.74
2009-11-05,62.35
2009-11-16,69.23
2009-11-23,62.96
2009-11-30,54.73
2009-12-01,78.31
2009-12-10,59.87
2009-12-14,76.17
2009-12-21,98.06
2009-12-28,94.39
2010-01-02,140.04
2010-01-03,179.14
2010-01-11,141.58
2010-01-18,86.58
2010-01-25,98.73
2010-02-08,113.8
2010-02-15,175.95
2010-02-22,180.59
2010-03-05,59.17
2010-03-15,227.17
2010-03-22,231.68
2010-03-29,218.0
2010-04-01,70.98
2010-04-10,160.0
2010-04-19,89.77
2010-04-26,78.45
2010-05-04,169.76
2010-05-07,118.0
2010-05-17,65.67
2010-05-24,100.87
2010-05-31,98.86
2010-06-09,127.41
2010-06-12,68.42
2010-06-14,106.66
2010-06-21,106.69
2010-06-28,115.0
2010-07-06,110.69
2010-07-19,90.0
2010-07-26,92.81
2010-08-02,167.85
2010-08-03,182.33
2010-08-11,114.47
2010-08-16,130.0
2010-08-23,130.0
2010-08-30,125.88
2010-09-13,141.48
2010-09-20,149.47
2010-09-27,153.47
2010-10-05,60.91
2010-10-18,134.42
2010-10-25,155.7
2010-11-01,77.12
2010-11-10,125.89
2010-11-15,79.48
2010-11-22,78.75
2010-11-29,80.43
2010-12-04,125.7
2010-12-07,77.31
2010-12-13,51.74
2011-01-08,57.0
2011-01-17,115.11
2011-01-24,91.7
2011-01-31,120.05
2011-02-05,75.0
2011-02-14,130.22
2011-02-21,82.2
2011-02-28,70.49
2011-03-01,122.2
2011-03-14,59.12
2011-03-28,56.64
2011-04-04,55.12
2011-04-07,72.68
2011-04-18,65.0
2011-04-25,66.07
2011-05-09,62.0
2011-05-12,55.3
2011-05-16,83.65
2011-05-23,81.07
2011-05-30,75.0
2011-06-06,68.0
2011-06-13,53.0
2011-06-20,73.0
2011-06-27,73.0
2011-07-02,104.19
2011-07-03,73.17
2011-07-11,70.13
2011-07-18,73.0
2011-07-25,63.0
2011-08-08,57.0
2011-08-15,57.0
2011-08-29,62.0
2011-09-05,65.0
2011-09-19,88.0
2011-09-26,88.0
2011-10-01,126.41
2011-10-17,82.86
2011-10-24,73.37
2011-10-31,72.53
2011-11-04,56.97
2011-11-07,73.0
2011-11-14,67.8
2011-11-21,59.62
2011-11-28,60.0
2011-12-09,88.0
2011-12-12,68.64
2011-12-19,61.78
2011-12-26,115.0
2012-01-16,110.75
2012-01-23,93.6
2012-02-01,118.68
2012-02-04,88.0
2012-02-13,148.75
2012-02-20,150.23
2012-02-27,176.84
2012-03-12,141.67
2012-03-19,90.67
