ds,y
2004-01-11,67.52
2004-04-10,72.17
2004-06-12,64.04
2004-08-11,66.87
2004-10-18,73.02
2004-10-25,71.66
2004-11-10,74.58
2004-11-15,67.09
2004-11-22,65.92
2004-11-29,62.03
2004-12-13,62.29
2005-01-08,63.0
2005-01-17,60.9
2005-01-24,59.75
2005-01-31,63.36
2005-02-05,71.59
2005-02-14,66.13
2005-02-21,68.41
2005-02-28,71.47
2005-03-01,59.7
2005-03-10,80.77
2005-03-14,74.88
2005-03-21,72.92
2005-03-28,75.33
2005-04-04,75.02
2005-04-07,65.61
2005-04-18,74.66
2005-04-25,72.91
2005-05-09,75.46
2005-05-12,66.96
2005-05-16,64.82
2005-05-23,69.09
2005-05-30,65.69
2005-06-06,67.44
2005-06-13,67.43
2005-06-20,66.82
2005-06-27,65.38
2005-07-02,61.77
2005-07-03,73.79
2005-07-11,76.04
2005-07-18,64.79
2005-07-25,63.0
2005-08-08,63.0
2005-08-15,63.0
2005-09-05,68.66
2005-09-19,80.77
2005-09-26,80.77
2005-10-01,58.94
2005-10-10,86.36
2005-10-17,87.12
2005-10-24,85.19
2005-10-31,83.38
2005-11-04,74.62
2005-11-07,64.13
2005-11-14,71.83
2005-11-21,72.07
2005-11-28,69.22
2005-12-09,79.41
2005-12-12,67.5
2005-12-19,65.38
2006-01-05,40.29
2006-01-16,55.32
2006-01-23,50.47
2006-01-30,49.88
2006-02-01,64.83
2006-02-10,55.67
2006-02-13,46.96
2006-02-20,45.98
2006-02-27,45.53
2006-03-04,41.49
2006-03-07,50.75
2006-03-13,45.47
2006-03-20,42.97
2006-03-27,43.77
2006-04-12,52.21
2006-04-17,39.67
2006-04-24,41.13
2006-05-06,54.65
2006-05-15,46.88
2006-05-22,49.26
2006-05-29,52.88
2006-06-02,49.29
2006-06-03,46.11
2006-06-11,59.78
2006-06-19,54.53
2006-06-26,54.62
2006-07-08,46.43
2006-07-17,49.4
2006-07-24,50.24
2006-07-31,47.1
2006-08-05,40.2
2006-08-14,47.0
2006-09-01,59.58
2006-09-10,55.88
2006-09-18,55.0
2006-09-25,57.5
2006-10-04,41.18
2006-10-07,50.47
2006-10-16,72.11
2006-10-23,63.94
2006-10-30,61.79
2006-11-09,52.5
2006-11-12,49.85
2006-11-13,59.31
2006-11-20,54.69
2006-11-27,53.71
2006-12-06,54.57
2006-12-18,48.67
2006-12-25,46.25
2007-01-01,46.1
2007-01-10,83.57
2007-01-15,45.48
2007-01-22,43.42
2007-01-29,41.21
2007-02-04,46.84
2007-02-07,49.29
2007-02-19,40.1
2007-02-26,38.59
2007-03-09,67.5
2007-03-12,111.05
2007-03-19,41.8
2007-03-26,48.96
2007-04-06,49.56
2007-04-16,48.52
2007-04-23,49.71
2007-04-30,50.53
2007-05-02,41.49
2007-05-03,47.1
2007-05-11,94.66
2007-05-14,51.62
2007-05-21,50.25
2007-05-28,49.93
2007-06-18,51.88
2007-06-25,47.38
2007-07-05,50.83
2007-07-16,56.92
2007-07-23,61.11
2007-07-30,60.56
2007-08-01,45.8
2007-08-10,88.64
2007-09-04,47.25
2007-09-07,53.89
2007-09-17,94.85
2007-09-24,83.99
2007-10-09,70.0
2007-10-12,115.23
2007-10-15,87.97
2007-10-22,91.08
2007-10-29,80.0
2007-11-06,49.76
2007-11-19,108.82
2007-11-26,112.81
2007-12-02,40.91
2007-12-03,43.85
2007-12-11,99.67
2007-12-17,116.48
2007-12-24,114.52
2007-12-31,119.36
2008-01-12,52.18
2008-01-14,120.24
2008-01-21,122.72
2008-01-28,120.4
2008-02-06,131.97
2008-02-18,118.56
2008-02-25,110.78
2008-03-03,109.46
2008-03-11,91.9
2008-03-17,116.5
2008-03-24,121.29
2008-03-31,124.53
2008-04-02,115.72
2008-04-08,115.0
2008-04-14,118.32
2008-04-21,127.58
2008-04-28,127.64
2008-05-05,134.07
2008-05-19,135.01
2008-05-26,139.01
2008-06-10,120.0
2008-06-16,137.5
2008-06-23,125.35
2008-06-30,117.64
2008-07-01,122.92
2008-07-04,96.01
2008-07-07,122.68
2008-07-14,106.5
2008-07-21,111.37
2008-08-09,80.0
2008-08-12,51.0
2008-08-25,115.0
2008-09-06,137.23
2008-09-22,75.77
2008-09-29,77.4
2008-10-03,110.41
2008-10-11,83.95
2008-10-13,79.49
2008-10-20,110.0
2008-10-27,83.85
2008-11-02,115.44
2008-11-08,115.0
2008-11-17,56.47
2008-11-24,52.27
2008-12-05,129.92
2008-12-15,51.8
2008-12-29,119.36
2009-01-06,52.32
2009-01-26,52.08
2009-02-02,47.95
2009-02-03,47.53
2009-02-11,82.13
2009-02-16,46.27
2009-02-23,46.08
2009-03-08,52.5
2009-03-16,45.8
2009-03-23,44.72
2009-03-30,43.69
2009-04-05,55.0
2009-04-13,45.7
2009-04-20,46.15
2009-04-27,49.0
2009-05-01,51.21
2009-05-10,92.1
2009-05-18,48.81
2009-05-25,49.68
2009-06-04,47.49
2009-06-07,54.05
2009-06-15,51.6
2009-06-22,52.05
2009-06-29,50.09
2009-07-09,56.3
2009-07-12,78.56
2009-07-13,52.03
2009-07-20,55.0
2009-07-27,53.5
2009-08-06,52.14
2009-08-17,61.75
2009-08-24,55.5
2009-08-31,56.3
2009-09-02,47.52
2009-09-03,46.07
2009-09-11,82.05
2009-09-14,79.81
2009-09-21,91.38
2009-09-28,91.74
2009-10-08,62.5
2009-10-19,91.29
2009-10-26,84.08
2009-11-05,55.0
2009-11-16,80.07
2009-11-23,79.21
2009-11-30,79.14
2009-12-01,53.77
2009-12-10,91.66
2009-12-14,79.28
2009-12-21,75.01
2009-12-28,78.84
2010-01-02,81.77
2010-01-03,80.14
2010-01-11,85.23
2010-01-18,81.99
2010-01-25,81.83
2010-02-08,98.07
2010-02-15,80.28
2010-02-22,81.16
2010-03-05,73.75
2010-03-15,75.4
2010-03-22,74.78
2010-03-29,73.75
2010-04-01,82.3
2010-04-10,93.27
2010-04-19,72.57
2010-04-26,72.75
2010-05-04,73.53
2010-05-07,81.43
2010-05-17,74.77
2010-05-24,75.3
2010-05-31,73.87
2010-06-09,137.5
2010-06-12,75.99
2010-06-14,74.02
2010-06-21,80.63
2010-06-28,81.07
2010-07-06,74.07
2010-07-19,81.47
2010-07-26,87.95
2010-08-02,81.21
2010-08-03,76.74
2010-08-11,84.79
2010-08-16,122.73
2010-08-23,135.0
2010-08-30,135.0
2010-09-08,110.0
2010-09-13,120.8
2010-09-20,140.0
2010-09-27,93.03
2010-10-05,73.4
2010-10-18,94.04
2010-10-25,85.99
2010-11-01,83.53
2010-11-10,88.62
2010-11-15,84.69
2010-11-22,83.88
2010-11-29,76.85
2010-12-04,73.31
2010-12-07,81.89
2010-12-13,75.29
2011-01-08,58.81
2011-01-17,64.71
2011-01-24,64.79
2011-01-31,61.9
2011-02-05,56.51
2011-02-14,61.49
2011-02-21,61.57
2011-02-28,60.98
2011-03-01,65.28
2011-03-10,78.7
2011-03-14,61.34
2011-03-28,61.5
2011-04-04,61.27
2011-04-07,60.0
2011-04-18,59.64
2011-04-25,57.81
2011-05-09,68.18
2011-05-12,57.53
2011-05-16,61.37
2011-05-23,62.37
2011-05-30,61.07
2011-06-06,59.83
2011-06-13,59.1
2011-06-20,59.9
2011-06-27,59.66
2011-07-02,61.1
2011-07-03,62.11
2011-07-11,64.4
2011-07-18,59.2
2011-07-25,59.09
2011-08-08,58.15
2011-08-15,61.56
2011-08-22,68.18
2011-08-29,68.18
2011-09-05,56.93
2011-09-19,59.77
2011-09-26,78.27
2011-10-01,64.89
2011-10-10,74.66
2011-10-17,73.24
2011-10-24,69.69
2011-10-31,66.91
2011-11-04,61.92
2011-11-07,59.02
2011-11-14,62.9
2011-11-21,60.35
2011-11-28,59.07
2011-12-09,65.58
2011-12-12,56.11
2011-12-19,58.42
2011-12-26,55.39
2012-01-10,109.35
2012-01-16,52.0
2012-01-23,50.25
2012-02-01,54.5
2012-02-04,42.82
2012-02-07,68.21
2012-02-13,42.57
2012-02-20,41.68
2012-02-27,41.8
2012-03-12,73.62
2012-03-19,42.07
2012-03-26,41.93
2012-04-06,60.48
2012-04-16,46.51
2012-04-23,47.23
2012-04-30,33.6
2012-05-03,41.93
2012-05-11,87.53
2012-05-14,46.37
2012-05-21,53.42
2012-05-28,60.22
2012-06-02,44.45
2012-06-08,84.0
2012-06-18,69.18
2012-06-25,68.14
2012-07-05,47.5
2012-07-23,77.47
2012-07-30,77.0
2012-08-10,103.03
2012-08-13,83.0
2012-09-01,53.04
2012-09-04,44.34
2012-09-07,71.6
2012-09-24,115.9
2012-10-12,71.44
2012-10-15,99.9
2012-10-22,96.54
2012-10-29,91.39
2012-11-06,67.29
2012-11-19,82.09
2012-11-26,78.37
2012-12-03,41.59
2012-12-11,88.02
2012-12-17,70.35
2012-12-24,70.69
2013-01-04,76.75
2013-01-07,96.58
2013-01-14,68.44
2013-01-21,69.39
2013-01-28,68.7
2013-02-12,81.62
2013-02-18,70.68
2013-02-25,71.15
2013-03-06,104.25
2013-03-18,76.55
2013-03-25,72.63
