ds,y
2004-01-11,47.44
2004-04-10,61.99
2004-06-12,44.0
2004-08-11,42.59
2004-10-18,54.92
2004-10-25,50.65
2004-11-10,44.57
2004-11-15,43.72
2004-11-22,44.97
2004-11-29,44.88
2005-03-10,75.48
2005-07-11,67.31
2005-09-26,79.13
2005-10-10,74.15
2005-10-17,71.16
2005-10-24,68.29
2005-10-31,68.48
2005-11-14,68.94
2005-11-21,68.0
2005-11-28,65.26
2006-02-10,55.93
2006-04-12,52.0
2006-06-11,50.42
2006-09-10,53.23
2006-09-18,69.1
2006-09-25,65.63
2006-10-16,52.9
2006-10-23,49.96
2006-10-30,50.08
2006-11-12,50.0
2006-11-13,51.27
2006-11-20,50.61
2006-11-27,49.58
2006-12-25,42.0
2007-01-10,74.19
2007-05-11,66.18
2007-08-10,68.84
2007-09-24,71.95
2007-10-15,65.96
2007-10-22,65.35
2007-10-29,63.76
2007-11-19,57.55
2007-12-11,61.92
2008-01-12,50.39
2008-03-11,56.7
2008-06-10,68.17
2008-08-12,54.5
2008-09-22,70.42
2008-09-29,69.68
2008-10-11,56.15
2008-10-13,64.14
2008-10-20,61.15
2008-10-27,59.77
2008-11-17,52.58
2008-11-24,50.08
2009-02-11,75.72
2009-05-10,70.37
2009-07-12,66.98
2009-09-11,72.0
2009-09-21,74.91
2009-09-28,73.55
2009-10-19,70.36
2009-10-26,72.66
2009-11-16,68.35
2009-11-23,65.17
2009-11-30,59.02
2009-12-10,72.65
2010-01-11,58.46
2010-06-12,54.51
2010-08-11,56.09
2010-09-27,73.55
2010-10-18,59.87
2010-10-25,65.3
2010-11-10,62.89
2010-11-15,56.1
2010-11-22,54.47
2011-03-10,64.59
2011-09-19,72.0
2011-10-10,61.92
2011-10-17,65.09
2011-10-24,66.0
2011-10-31,71.0
2011-11-14,60.0
2012-08-10,60.59
2012-10-15,59.26
2012-10-22,57.19
2013-04-11,54.78
2013-07-10,64.79
2013-09-23,75.2
2013-09-30,65.27
2013-10-14,60.46
2013-10-21,57.0
2013-10-28,56.0
2013-11-11,56.95
2013-11-18,55.88
2013-11-25,56.4
2014-03-11,59.0
2014-06-10,75.0
2014-08-09,70.0
2014-09-22,68.0
2014-09-29,67.0
2014-10-20,68.0
2015-02-11,68.55
2015-07-12,101.45
2015-09-11,80.19
2015-09-21,70.0
2015-10-19,70.83
2015-10-26,64.41
2015-11-16,91.4
2015-11-23,92.6
2015-12-10,61.75
2016-03-10,69.85
2016-05-12,82.89
2016-07-11,68.29
2016-09-19,58.37
2016-09-26,57.2
2016-10-10,68.33
2016-10-17,64.46
2016-10-24,60.06
2016-10-31,72.72
2016-11-14,65.53
2016-11-21,68.84
2016-11-28,68.93
2016-12-09,58.21
2016-12-12,67.45
2017-02-10,70.02
2017-06-11,80.25
2017-09-10,59.95
2017-09-18,55.54
2017-09-25,53.95
2017-10-16,59.77
2017-10-23,70.96
2017-10-30,69.37
2017-11-12,115.84
2017-11-13,74.41
2017-11-20,82.26
2018-01-10,58.76
2018-03-12,62.35
2018-05-11,64.2
2018-08-10,61.29
2018-09-17,63.86
2018-09-24,64.5
2018-10-12,56.12
2018-10-15,57.73
2018-10-22,62.41
2018-10-29,60.1
2018-11-19,61.78
2018-11-26,59.94
2018-12-11,59.6
2018-12-31,70.0
2019-02-09,82.62
2019-02-12,78.28
2019-04-11,73.08
2019-07-01,70.0
2019-07-10,62.5
2019-08-26,95.0
2019-09-09,79.07
2019-09-12,71.59
2019-09-16,60.0
2019-09-23,66.72
2019-09-30,50.09
2019-10-14,63.14
2019-10-21,62.92
2019-10-28,74.88
2019-11-11,74.49
2019-11-18,78.27
2019-11-25,78.02
2020-02-11,76.79
2020-05-10,65.03
2020-07-09,81.25
2020-07-12,68.72
2020-08-24,99.72
2020-08-31,96.55
2020-09-11,78.05
2020-09-14,70.43
2020-09-21,70.69
2020-09-28,69.09
2020-10-19,68.92
2020-10-26,67.42
2020-11-16,75.74
2020-11-23,74.37
2020-11-30,69.57
2020-12-10,65.37
2020-12-14,59.99
2020-12-21,59.76
2021-01-11,72.86
2021-04-01,60.0
2021-04-10,63.6
2021-08-11,81.05
2021-09-27,66.33
2021-10-18,60.8
2021-10-25,62.42
2021-11-10,64.67
2021-11-15,56.55
2021-11-22,55.41
