ds,y
2004-01-11,47.44
2004-04-10,61.99
2004-06-12,52.65
2004-08-11,42.59
2004-10-18,54.92
2004-10-25,50.65
2004-11-10,44.57
2004-11-15,43.72
2004-11-22,44.97
2004-11-29,49.025000000000006
2004-12-13,58.31
2005-01-17,50.07
2005-01-24,45.37
2005-01-31,45.14
2005-02-14,52.72
2005-02-21,52.27
2005-02-28,52.35
2005-03-01,58.39
2005-03-10,75.48
2005-03-14,52.98
2005-03-21,51.32
2005-03-28,52.52
2005-07-02,46.32
2005-07-03,52.85
2005-07-11,67.31
2005-09-26,79.13
2005-10-01,52.98
2005-10-10,74.15
2005-10-17,71.16
2005-10-24,68.29
2005-10-31,68.48
2005-11-14,68.94
2005-11-21,68.0
2005-11-28,65.26
2005-12-12,64.69
2005-12-19,61.05
2006-01-16,55.43
2006-01-23,56.9
2006-01-30,57.48
2006-02-01,58.37
2006-02-10,55.93
2006-02-13,55.06
2006-02-20,56.43
2006-02-27,52.98
2006-03-13,49.09
2006-03-20,45.9
2006-03-27,45.49
2006-04-12,52.0
2006-06-02,55.35
2006-06-03,50.85
2006-06-11,50.42
2006-09-01,57.28
2006-09-10,53.23
2006-09-18,69.1
2006-09-25,65.63
2006-10-16,52.9
2006-10-23,49.96
2006-10-30,50.08
2006-11-12,53.91
2006-11-13,51.27
2006-11-20,50.61
2006-11-27,49.58
2006-12-18,55.41
2006-12-25,48.29
2007-01-01,56.44
2007-01-10,74.19
2007-01-15,53.56
2007-01-22,54.27
2007-01-29,55.01
2007-02-19,54.16
2007-02-26,52.38
2007-03-12,67.02
2007-03-19,51.99
2007-03-26,56.91
2007-05-02,52.57
2007-05-03,57.28
2007-05-11,66.18
2007-08-01,54.25
2007-08-10,68.84
2007-09-24,71.95
2007-10-12,66.91
2007-10-15,65.96
2007-10-22,65.35
2007-10-29,63.76
2007-11-19,64.61
2007-11-26,72.7
2007-12-02,53.68
2007-12-03,58.5
2007-12-11,61.92
2007-12-17,70.38
2007-12-24,69.79
2007-12-31,68.79
2008-01-12,57.375
2008-01-14,70.87
2008-01-21,79.91
2008-01-28,79.45
2008-02-18,84.94
2008-02-25,87.38
2008-03-03,90.1
2008-03-11,56.7
2008-03-24,89.94
2008-03-31,92.84
2008-04-02,85.54
2008-06-10,68.17
2008-07-01,72.11
2008-08-12,57.019999999999996
2008-09-22,70.42
2008-09-29,69.68
2008-10-03,84.31
2008-10-11,56.15
2008-10-13,64.14
2008-10-20,61.15
2008-10-27,59.77
2008-11-02,86.87
2008-11-17,52.58
2008-11-24,57.975
2008-12-15,59.66
2008-12-29,68.79
2009-01-26,62.96
2009-02-02,70.19
2009-02-03,80.16
2009-02-11,75.72
2009-02-16,72.62
2009-02-23,90.42
2009-03-16,86.31
2009-03-23,78.03
2009-03-30,96.43
2009-05-01,59.56
