ds,y
2001-01-10,296.27
2001-01-15,301.11
2001-01-22,291.42
2001-01-29,289.43
2001-02-04,294.99
2001-02-07,311.79
2001-02-19,290.05
2001-02-26,290.05
2001-03-09,311.79
2001-03-12,282.48
2001-03-19,289.09
2001-03-26,292.69
2001-04-06,297.63
2001-04-16,295.7
2001-04-23,294.5
2001-05-02,287.33
2001-05-03,290.05
2001-05-11,297.5
2001-05-14,300.51
2001-05-21,296.3
2001-06-08,307.21
2001-06-18,303.56
2001-06-25,301.11
2001-07-05,295.4
2001-07-16,307.76
2001-07-23,317.09
2001-08-01,301.91
2001-08-10,287.94
2001-08-13,311.79
2001-09-04,294.99
2001-09-07,311.79
2001-09-17,300.43
2001-09-24,298.7
2001-10-09,311.79
2001-10-12,282.48
2001-10-15,297.5
2001-10-22,297.5
2001-10-29,297.5
2001-11-06,298.7
2001-11-26,294.5
2001-12-02,290.05
2001-12-11,294.5
2001-12-17,294.5
2001-12-24,294.5
2001-12-31,294.54
2002-01-04,293.29
2002-01-14,294.49
2002-01-21,296.99
2002-01-28,296.99
2002-02-09,296.99
2002-02-12,292.25
2002-02-25,296.99
2002-03-06,296.99
2002-03-18,296.99
2002-03-25,293.29
2002-04-02,296.99
2002-04-03,296.99
2002-04-11,281.2
2002-04-15,293.29
2002-04-22,293.29
2002-04-29,296.99
2002-05-08,296.99
2002-05-13,296.99
2002-05-20,296.99
2002-05-27,296.99
2002-06-05,293.29
2002-06-17,296.99
2002-06-24,296.99
2002-07-10,289.98
2002-07-15,296.99
2002-07-22,296.99
2002-07-29,296.99
2002-08-07,296.99
2002-08-19,296.99
2002-09-09,296.99
2002-09-12,292.18
2002-09-16,296.99
2002-09-30,289.98
2002-10-06,296.99
2002-10-14,294.12
2002-10-21,294.12
2002-10-28,287.06
2002-11-02,296.99
2002-11-03,293.29
2002-11-11,283.83
2002-11-18,283.83
2002-11-25,283.83
2002-12-08,296.99
2002-12-16,291.85
2002-12-23,281.07
2003-01-09,299.94
2003-01-12,302.71
2003-01-13,281.92
2003-01-20,283.0
2003-01-27,282.32
2003-02-17,286.06
2003-02-24,286.06
2003-03-02,283.09
2003-03-03,286.38
2003-03-11,302.4
2003-03-17,288.3
2003-03-24,288.3
2003-03-31,292.97
2003-04-08,300.54
2003-04-14,292.5
2003-04-21,293.58
2003-04-28,293.22
2003-05-19,294.66
2003-05-26,292.65
2003-06-01,281.99
2003-06-16,291.61
2003-06-23,292.48
2003-06-30,294.9
2003-07-04,292.5
2003-07-07,296.19
2003-07-14,299.5
2003-07-21,300.43
2003-07-28,301.82
2003-08-09,296.47
2003-08-12,303.17
2003-08-18,297.68
2003-08-25,300.69
2003-09-06,291.61
2003-09-15,300.81
2003-09-22,302.53
2003-09-29,302.64
2003-10-02,287.0
2003-10-03,288.3
2003-10-11,303.73
2003-10-13,304.65
2003-10-20,303.17
2003-10-27,303.5
2003-11-08,298.42
2003-11-24,306.3
2003-12-05,292.5
2003-12-15,303.17
2003-12-22,300.61
2003-12-29,300.61
2004-01-03,294.1
2004-01-11,275.14
2004-01-19,296.42
2004-01-26,294.7
2004-02-02,293.23
2004-02-08,277.75
2004-02-16,291.91
2004-02-23,291.61
2004-03-05,292.0
2004-03-15,292.44
2004-03-22,292.44
2004-03-29,292.44
2004-04-10,276.52
2004-04-19,286.51
2004-04-26,282.08
2004-05-01,300.61
2004-05-04,292.44
2004-05-07,274.37
2004-05-17,302.0
2004-05-24,280.89
2004-05-31,280.99
2004-06-09,277.35
2004-06-12,271.82
2004-06-14,280.55
2004-06-21,280.21
2004-06-28,280.79
2004-07-06,283.5
2004-07-19,275.03
2004-07-26,273.42
2004-08-03,292.04
2004-08-16,277.35
2004-08-23,277.35
2004-08-30,275.9
2004-09-02,296.09
2004-09-08,277.75
2004-09-13,277.06
2004-09-20,277.41
2004-09-27,277.29
2004-10-05,295.34
2004-10-25,275.14
2004-11-10,276.52
2004-11-15,275.59
2004-11-22,271.92
2004-11-29,271.92
2004-12-01,299.43
2004-12-04,292.44
2004-12-07,274.91
2005-01-08,230.67
2005-01-17,271.98
2005-01-24,272.07
2005-01-31,267.44
2005-02-05,261.98
2005-02-14,265.55
2005-02-21,261.07
2005-02-28,261.21
2005-03-01,272.0
2005-03-10,234.63
2005-03-21,259.95
2005-03-28,258.0
2005-04-04,261.46
2005-04-07,242.91
2005-04-25,261.98
2005-05-09,243.75
2005-05-12,223.0
2005-05-16,259.79
