ds,y
2004-01-11,58.185
2004-04-10,57.835
2004-05-07,74.965
2004-05-17,170.015
2004-05-24,181.815
2004-06-09,48.980000000000004
2004-06-21,114.34
2004-06-28,85.14
2004-07-19,61.67
2004-07-26,62.010000000000005
2004-08-11,63.17
2004-08-23,50.71
2004-08-30,52.115
2004-09-13,50.56
2004-09-20,53.515
2004-09-27,54.495000000000005
2004-10-18,58.555
2004-10-25,61.795
2004-11-10,59.6
2004-12-07,69.14
2005-01-08,52.705
2005-03-10,51.69
2005-04-07,47.08
2005-05-09,47.165
2005-05-16,180.0
2005-05-23,165.0
2005-05-30,120.0
2005-06-06,109.89
2005-06-13,109.89
2005-06-20,91.81
2005-06-27,59.96
2005-07-18,51.46
2005-07-25,52.790000000000006
2005-08-08,49.97
2005-08-15,50.36
2005-08-22,61.629999999999995
2005-08-29,50.864999999999995
2005-09-19,49.675
2005-09-26,49.89
2005-10-10,56.84
2005-10-17,50.83
2005-10-24,51.45
2005-11-07,49.945
2005-12-09,47.465
2006-02-10,52.790000000000006
2006-03-07,73.83
2006-05-06,94.7
2006-05-15,150.0
2006-06-19,96.97
2006-06-26,85.14
2006-07-08,59.09
2006-07-17,63.435
2006-07-24,63.864999999999995
2006-07-31,64.61
2006-08-14,64.92
2006-09-10,51.615
2006-09-18,54.89
2006-09-25,54.44
2006-10-07,61.97
2006-10-16,54.09
2006-10-23,55.89
2006-11-09,55.63
2006-12-06,105.41
2007-01-10,66.08
2007-02-07,68.62
2007-03-09,70.755
2007-04-06,105.0
2007-05-11,51.0
2007-05-14,150.0
2007-05-21,174.0
2007-05-28,125.66
2007-06-18,69.14
2007-06-25,77.63
2007-07-16,75.8
2007-07-23,69.4
2007-07-30,68.835
2007-08-10,63.25
2007-09-07,65.66
2007-09-17,69.48
2007-09-24,65.45
2007-10-09,67.75
2007-10-15,56.06
2007-10-22,53.85
2007-10-29,50.67
2007-11-06,105.0
2008-01-09,65.63499999999999
2008-02-06,120.0
2008-03-11,68.81
2008-04-08,76.19
2008-05-05,140.0
2008-05-19,100.0
2008-06-10,56.72
2008-06-16,69.67
2008-06-23,81.1
2008-06-30,81.68
2008-07-07,79.88
2008-07-14,78.95
2008-07-21,80.57
2008-07-28,79.36
2008-08-09,63.05500000000001
2008-08-18,72.385
2008-08-25,62.305
2008-09-15,62.74
2008-09-22,67.02000000000001
2008-09-29,68.595
2008-10-11,71.85
2008-10-13,51.205
2008-10-20,42.51
2008-10-27,60.795
2008-11-08,73.665
2008-11-17,73.07
2008-11-24,67.75
2008-12-05,140.0
2009-01-06,93.94
2009-02-11,55.53
2009-03-08,57.335
2009-05-10,46.495000000000005
2009-05-18,120.0
2009-05-25,120.0
2009-06-07,72.04
2009-06-15,79.8
2009-06-22,69.495
2009-06-29,72.02
2009-07-09,49.04
2009-07-13,73.33
2009-07-20,67.34
2009-07-27,64.7
2009-08-06,90.0
2009-08-17,51.290000000000006
2009-08-24,52.45
2009-08-31,49.019999999999996
2009-09-11,48.09
2009-09-14,48.105000000000004
2009-09-21,52.105000000000004
2009-09-28,48.415000000000006
2009-10-08,56.22
2009-10-19,54.76
2009-10-26,56.16
2009-11-16,54.955
2009-11-23,57.585
2009-12-10,46.66
2010-01-11,50.32
2010-02-08,68.60499999999999
2010-04-10,50.475
2010-05-07,85.58
2010-05-24,170.0
2010-05-31,149.2
2010-06-09,61.4
2010-06-14,100.11
2010-06-21,78.98
2010-06-28,85.36
2010-07-06,121.66
2010-07-19,76.49000000000001
2010-07-26,70.535
2010-08-16,63.135000000000005
2010-08-23,62.78
2010-08-30,60.24
2010-09-08,65.205
2010-09-13,62.55
2010-09-20,56.05
2010-09-27,54.32
2010-10-18,40.41
2010-10-25,40.89
2010-11-10,39.85
2010-12-07,73.045
2011-01-08,52.605
2011-03-10,67.56
2011-04-07,63.125
2011-05-09,48.56
2011-05-23,98.0
2011-05-30,90.5
2011-06-06,90.0
2011-06-13,85.0
2011-06-20,77.97
2011-06-27,76.44
2011-07-18,56.92
2011-07-25,50.995000000000005
2011-08-08,53.985
2011-08-15,45.47
2011-08-22,47.345
2011-08-29,50.855000000000004
2011-09-05,200.0
2011-09-19,53.15
2011-09-26,57.13
2011-10-10,72.33
2011-10-17,72.0
2011-11-07,58.394999999999996
2011-12-09,59.59
2012-01-10,66.375
2012-02-07,60.214999999999996
2012-03-09,66.55
2012-04-06,110.0
2012-05-14,170.0
2012-05-21,174.71
2012-05-28,150.02
2012-06-08,55.73
2012-06-18,80.24
2012-06-25,72.67
2012-07-05,210.0
2012-07-23,73.28999999999999
2012-07-30,64.77
2012-08-10,65.95
2012-08-13,70.56
2012-08-20,67.815
2012-08-27,68.725
2012-09-07,70.61500000000001
2012-09-17,69.41499999999999
2012-09-24,68.795
2012-10-09,66.255
2012-10-15,60.82
2012-10-22,62.49
2012-11-06,90.0
2013-01-07,98.07499999999999
2013-03-06,141.67
2013-04-11,36.0
2013-04-29,215.0
2013-05-08,85.205
2013-05-13,133.0
2013-05-20,133.0
2013-05-27,139.13
2013-06-17,122.09
2013-06-24,116.1
2013-07-10,55.07
2013-07-15,90.815
2013-07-22,88.195
2013-07-29,87.675
2013-08-07,90.305
2013-08-19,80.39
2013-08-26,76.69
2013-09-09,72.5
2013-09-16,66.695
2013-09-23,61.855
2013-09-30,55.45
2013-10-06,137.29
2013-10-14,56.69
2013-10-21,51.65
2013-10-28,44.68
2013-11-11,35.0
2013-12-08,81.91499999999999
2014-01-09,55.56
2014-02-06,92.48
2014-04-08,49.349999999999994
2014-04-28,150.0
2014-05-05,121.0
2014-05-19,82.64
2014-05-26,90.91
2014-06-10,64.03
2014-06-16,81.09
2014-06-23,65.38499999999999
2014-06-30,64.375
2014-07-07,56.760000000000005
2014-07-14,52.724999999999994
2014-07-21,51.605000000000004
2014-07-28,50.815
2014-08-09,60.33
2014-08-18,46.715
2014-08-25,49.345
2014-09-06,76.985
2014-09-15,64.91499999999999
2014-09-22,65.38
2014-09-29,65.8
2014-10-13,69.0
2014-11-08,51.56
2014-12-05,82.64
2015-01-06,145.0
2015-03-08,62.195
2015-05-10,54.625
2015-05-18,126.0
2015-05-25,180.0
2015-06-07,72.67500000000001
2015-06-15,86.405
2015-06-22,77.545
2015-06-29,70.57
2015-07-09,65.94
2015-07-13,63.37
2015-07-20,65.805
2015-07-27,65.45
2015-08-06,121.25
2015-08-17,67.155
2015-08-24,66.97
2015-08-31,69.77
2015-09-14,66.225
2015-09-21,66.435
2015-09-28,55.29
2015-10-08,63.9
2015-10-19,44.33
2015-10-26,47.0
2015-11-05,132.2
2015-12-10,50.62
2016-01-08,74.12
2016-02-05,145.0
2016-03-10,65.515
2016-04-07,87.85
2016-04-25,175.0
2016-05-09,72.16
2016-05-16,135.0
2016-05-23,161.0
2016-05-30,145.15
2016-06-06,102.2
2016-06-13,85.8
2016-06-20,81.655
2016-06-27,78.75
2016-07-18,75.66499999999999
2016-07-25,75.39500000000001
2016-08-08,71.315
2016-08-15,70.88499999999999
2016-08-22,69.255
2016-08-29,63.26
2016-09-05,140.0
2016-09-19,68.85499999999999
2016-09-26,67.33500000000001
2016-10-10,65.0
2016-10-31,62.0
2016-11-07,99.205
2016-12-09,69.405
2017-01-05,165.0
2017-02-10,63.225
2017-03-07,71.88499999999999
2017-04-09,63.230000000000004
2017-04-24,196.0
2017-05-06,105.0
2017-05-15,74.0
2017-05-22,92.74
2017-05-29,104.0
2017-06-19,70.0
2017-06-26,72.53
2017-07-08,60.85
2017-07-17,67.63499999999999
2017-07-24,65.735
2017-07-31,63.620000000000005
2017-08-05,110.0
2017-08-14,61.17
2017-08-21,61.605000000000004
2017-08-28,61.980000000000004
2017-09-10,62.98
2017-09-18,65.675
2017-09-25,65.82499999999999
2017-10-07,74.34
2017-10-16,64.3
2017-10-23,69.79
2017-11-09,63.730000000000004
2017-12-06,84.05
2018-01-10,69.68
2018-02-07,84.955
2018-03-09,74.61
2018-04-06,97.24
2018-04-23,267.71
2018-04-30,210.44
2018-05-11,95.81
2018-05-14,123.98
2018-05-21,85.48
2018-05-28,104.38499999999999
2018-06-08,70.06
2018-06-18,74.945
2018-06-25,77.035
2018-07-05,153.26
2018-07-16,74.215
2018-07-23,77.75999999999999
2018-07-30,74.31
2018-08-10,59.575
2018-08-13,85.67
2018-08-20,75.7
2018-08-27,70.92
2018-09-07,87.925
2018-09-17,81.76
2018-09-24,68.32
2018-10-09,75.35
2018-10-15,79.79
2018-10-22,90.99
2018-10-29,107.81
2018-11-06,71.42
2019-01-07,79.61500000000001
2019-02-09,69.99
2019-03-06,82.72
2019-04-11,151.94
2019-05-08,68.025
2019-05-13,91.36
2019-05-20,96.5
2019-05-27,96.5
2019-06-05,96.13
2019-06-17,89.89
2019-06-24,83.715
2019-07-10,65.82
2019-07-15,62.085
2019-07-22,68.06
2019-07-29,71.49000000000001
2019-08-07,70.785
2019-08-19,69.185
2019-08-26,70.965
2019-09-09,70.07499999999999
2019-09-16,71.42
2019-09-23,69.485
2019-09-30,66.44
2019-10-06,84.96
2019-10-14,66.555
2019-10-21,60.025000000000006
2019-10-28,126.2
2019-12-08,68.13499999999999
2020-01-06,118.75
2020-02-11,183.64
2020-03-08,99.975
2020-04-05,123.05
2020-05-10,130.58
2020-05-18,135.81
2020-05-25,122.2
2020-06-07,100.705
2020-06-15,104.225
2020-06-22,102.295
2020-06-29,105.08500000000001
2020-07-09,118.225
2020-07-13,96.53999999999999
2020-07-20,94.125
2020-07-27,95.99000000000001
2020-08-06,112.53
2020-08-17,106.755
2020-08-24,113.84
2020-08-31,118.015
2020-09-11,144.95
2020-09-14,113.735
2020-09-21,99.61
2020-09-28,106.86
2020-10-08,107.97
2020-10-19,196.59
2020-10-26,191.73
2020-11-05,143.51
2020-12-10,165.65
2021-01-11,218.61
2021-02-08,100.88
2021-03-05,158.61
2021-04-10,129.945
2021-05-07,107.25
2021-05-17,141.115
2021-05-24,138.39499999999998
2021-05-31,134.16
2021-06-09,101.88
2021-06-14,129.66
2021-06-21,109.33
2021-06-28,102.07
2021-07-06,151.23
2021-07-19,104.21000000000001
2021-07-26,103.425
2021-08-16,100.75999999999999
2021-08-23,101.8
2021-08-30,99.94999999999999
2021-09-08,99.24000000000001
2021-09-13,103.17
2021-09-20,110.145
2021-09-27,119.41499999999999
2021-10-05,149.405
2021-10-18,216.87
2021-10-25,214.95
2021-11-10,158.72
2021-12-07,102.6
