ds,y
2004-01-11,19.49
2004-04-10,18.57
2004-05-07,60.16
2004-05-17,97.73
2004-05-24,93.09
2004-06-09,20.6
2004-06-21,90.0
2004-06-28,87.24
2004-07-19,45.5
2004-07-26,42.07
2004-08-23,39.5
2004-08-30,26.66
2004-09-13,19.42
2004-09-20,24.47
2004-10-18,24.94
2004-12-07,49.43
2005-01-08,67.33
2005-02-05,132.1
2005-04-07,49.73
2005-04-18,143.81
2005-04-25,137.25
2005-05-09,36.38
2005-05-16,121.0
2005-05-23,67.71
2005-05-30,69.78
2005-06-06,59.63
2005-06-13,54.21
2005-06-20,66.18
2005-06-27,31.74
2005-07-18,67.8
2005-07-25,69.0
2005-08-08,67.33
2005-08-15,67.33
2005-08-22,32.67
2005-08-29,33.0
2005-09-05,89.9
2005-09-19,18.0
2005-10-17,30.23
2005-10-24,33.0
2005-11-04,150.0
2005-11-07,58.53
2005-12-09,30.33
2006-01-05,67.45
2006-03-07,56.0
2006-04-17,106.82
2006-04-24,77.57
2006-05-06,56.07
2006-05-15,71.13
2006-05-22,49.02
2006-05-29,56.13
2006-06-19,65.87
2006-06-26,49.19
2006-07-08,67.5
2006-07-17,71.67
2006-07-24,76.67
2006-07-31,71.0
2006-08-05,73.82
2006-08-14,60.0
2006-09-18,40.0
2006-10-04,133.58
2006-10-07,65.0
2006-11-09,45.83
2006-12-06,67.93
2007-02-07,50.65
2007-03-09,50.0
2007-04-06,90.6
2007-04-16,100.0
2007-04-23,95.86
2007-04-30,84.19
2007-05-14,81.5
2007-05-21,87.13
2007-05-28,87.21
2007-06-18,64.19
2007-06-25,61.09
2007-07-05,72.76
2007-07-16,36.33
2007-07-23,37.5
2007-07-30,35.5
2007-09-07,41.92
2007-10-09,45.0
2007-11-06,91.84
2008-01-09,56.67
2008-02-06,52.63
2008-04-08,57.5
2008-04-28,98.01
2008-05-05,79.36
2008-05-19,67.27
2008-05-26,63.86
2008-06-10,39.72
2008-06-16,46.74
2008-06-23,45.56
2008-06-30,61.24
2008-07-07,84.67
2008-07-14,74.17
2008-07-21,74.17
2008-07-28,66.67
2008-08-18,56.05
2008-08-25,57.5
2008-09-06,52.86
2008-09-15,42.0
2008-09-29,41.46
2008-10-13,34.3
2008-10-27,40.0
2008-11-08,56.79
2008-12-05,76.3
2009-01-06,69.58
2009-03-08,45.53
2009-04-05,76.14
2009-04-27,94.44
2009-05-10,56.0
2009-05-18,57.49
2009-05-25,61.95
2009-06-07,43.87
2009-06-15,50.97
2009-06-22,48.51
2009-06-29,39.61
2009-07-09,60.04
2009-07-13,44.02
2009-07-20,34.5
2009-07-27,35.67
2009-08-06,57.73
2009-08-17,44.17
2009-08-24,53.33
2009-08-31,45.0
2009-09-14,55.8
2009-09-21,57.0
2009-09-28,59.0
2009-10-08,44.17
2009-10-26,36.0
2009-11-05,61.86
