ds,y
2004-06-12,55.0
2004-11-29,56.29
2004-12-13,44.02
2005-01-08,42.9
2005-01-17,40.19
2005-01-24,39.79
2005-01-31,41.05500000000001
2005-02-05,47.379999999999995
2005-02-14,41.62
2005-02-21,41.665
2005-02-28,45.02
2005-03-01,51.11
2005-03-14,44.71333333333333
2005-03-21,42.89666666666667
2005-03-28,44.462500000000006
2005-04-04,48.239999999999995
2005-04-07,36.72
2005-04-18,47.885000000000005
2005-04-25,48.519999999999996
2005-05-12,68.25
2005-05-16,46.0
2005-05-23,45.49
2005-05-30,44.62
2005-06-06,48.99
2005-06-13,45.44
2005-06-20,43.51
2005-06-27,41.96
2005-07-02,37.765
2005-07-03,44.98666666666667
2005-07-18,40.68
2005-07-25,44.15
2005-08-08,39.45
2005-08-15,30.0
2005-08-22,42.78
2005-08-29,33.33
2005-09-05,43.84
2005-10-01,42.89
2005-11-04,46.975
2005-11-07,39.1
2005-12-12,55.355
2005-12-19,54.57
2006-01-05,36.41
2006-01-16,52.120000000000005
2006-01-23,49.644999999999996
2006-01-30,49.585
2006-02-01,51.795
2006-02-13,47.33
2006-02-20,41.405
2006-02-27,47.67
2006-03-04,38.519999999999996
2006-03-07,42.85
2006-03-13,43.91
2006-03-20,45.875
2006-03-27,43.01666666666667
2006-04-12,57.5
2006-04-17,38.81
2006-04-24,37.37
2006-05-06,40.99
2006-05-15,38.28
2006-05-22,36.0
2006-05-29,36.22
2006-06-02,50.625
2006-06-03,41.205
2006-06-19,43.96
2006-06-26,44.46
2006-07-17,42.94
2006-07-24,47.59
2006-07-31,50.19
2006-08-05,37.94
2006-09-01,52.5
2006-09-18,62.0
2006-10-04,38.45
2006-10-07,41.87
2006-11-09,61.67
2006-11-12,62.0
2006-11-27,61.3
2006-12-06,42.6
2007-01-15,44.86
2007-01-22,44.545
2007-01-29,43.655
2007-02-04,35.32
2007-02-07,60.39
2007-02-19,45.265
2007-02-26,37.565
2007-03-12,50.41
2007-03-19,39.54333333333333
2007-03-26,37.766666666666666
2007-04-06,50.25
2007-04-16,36.77
2007-04-23,41.14
2007-04-30,39.165000000000006
2007-05-02,47.769999999999996
2007-05-03,40.68
2007-05-14,57.225
2007-05-21,47.79
2007-05-28,49.14
2007-06-18,57.88
2007-06-25,58.88
2007-07-05,42.015
2007-07-16,64.47
2007-07-23,79.44
2007-07-30,77.11
2007-08-01,55.0
2007-09-04,36.99
2007-09-07,62.83
2007-10-12,54.82
2007-11-06,53.36
2007-11-26,63.75
2007-12-02,51.72
2007-12-03,38.07
2007-12-17,55.75
2007-12-24,58.12
2007-12-31,55.75
2008-01-09,79.0
2008-01-12,46.0
2008-01-14,52.82
2008-01-21,55.15
2008-01-28,53.925
2008-02-06,71.8
2008-02-18,54.155
2008-02-25,54.254999999999995
2008-03-03,54.53
2008-03-17,52.29
2008-03-24,56.02333333333333
2008-03-31,56.23
2008-04-02,54.870000000000005
2008-04-08,80.27
2008-04-14,59.92
2008-04-21,62.83
2008-04-28,64.755
2008-05-05,63.555
2008-05-19,71.785
2008-05-26,70.5
2008-06-16,75.92
2008-06-23,80.93
2008-06-30,78.25
2008-07-01,55.03
2008-07-04,57.875
2008-07-07,78.02
2008-07-14,84.91
2008-07-21,77.77
2008-07-28,79.37
2008-08-12,46.0
2008-08-25,79.0
2008-09-06,73.39
2008-10-03,56.55666666666667
2008-11-02,53.6
2008-11-08,83.5
2008-11-24,45.0
2008-12-05,67.48
2008-12-15,45.64
2008-12-29,55.75
2009-01-06,43.41
2009-01-26,45.225
2009-02-02,43.25
2009-02-03,45.25
2009-02-16,42.480000000000004
2009-02-23,46.305
2009-03-08,44.08
2009-03-16,48.519999999999996
2009-03-23,46.209999999999994
2009-03-30,44.045
2009-04-13,46.265
2009-04-20,43.69
2009-05-01,47.19
2009-05-18,43.335
2009-05-25,43.254999999999995
2009-06-04,49.31
2009-06-07,43.49
2009-06-15,42.75
2009-06-22,44.03
2009-06-29,44.15
2009-07-12,61.31
2009-07-13,44.14
2009-07-20,43.95
2009-07-27,43.44
2009-08-06,43.69
2009-09-02,41.57
2009-09-03,47.075
2009-10-08,47.87
2009-11-30,64.63
2009-12-01,45.38
2009-12-14,60.12
2009-12-21,54.5
2009-12-28,57.0
2010-01-02,53.28
2010-01-03,51.545
2010-01-18,58.77
2010-01-25,49.290000000000006
2010-02-15,55.83
2010-02-22,53.489999999999995
2010-03-05,57.635
2010-03-15,47.685
2010-03-22,57.125
2010-03-29,57.275
2010-04-01,54.0
2010-04-19,53.06
2010-04-26,53.394999999999996
2010-05-04,57.335
2010-05-07,81.3
2010-05-17,59.894999999999996
2010-05-24,70.565
2010-05-31,67.97
2010-06-14,73.83
2010-07-06,67.59
2010-08-02,55.010000000000005
2010-08-03,54.875
2010-10-05,60.815
2010-11-01,59.48
2010-12-04,53.769999999999996
2011-01-08,50.0
2011-02-05,49.34
2011-03-14,50.019999999999996
2011-03-28,43.73
2011-04-04,46.24
2011-04-07,44.0
2011-04-18,44.965
2011-04-25,59.29
2011-05-16,45.8
2011-05-23,46.185
2011-05-30,44.365
2011-06-06,38.04
2011-06-13,47.16
2011-06-20,45.98
