ds,y
2004-01-11,47.17
2004-04-10,61.245
2004-05-07,71.56
2004-05-17,196.45
2004-05-24,178.08499999999998
2004-06-09,51.725
2004-06-21,138.01999999999998
2004-06-28,106.31
2004-07-19,72.52
2004-07-26,73.44999999999999
2004-08-23,62.73
2004-08-30,55.35
2004-09-13,51.385000000000005
2004-09-20,54.58
2004-09-27,51.864999999999995
2004-10-18,47.48
2004-10-25,38.675
2004-11-10,62.364999999999995
2004-12-07,73.13499999999999
2005-01-08,54.375
2005-03-10,51.285
2005-04-07,54.75
2005-05-09,45.114999999999995
2005-06-27,60.129999999999995
2005-07-18,49.64
2005-07-25,45.355000000000004
2005-08-08,50.985
2005-08-15,46.7
2005-08-22,52.065
2005-08-29,46.974999999999994
2005-09-19,48.96
2005-09-26,50.94
2005-11-07,47.495000000000005
2005-12-09,45.95
2006-02-10,57.465
2006-03-07,74.46000000000001
2006-06-19,94.72999999999999
2006-06-26,84.50999999999999
2006-07-08,68.675
2006-07-17,70.21000000000001
2006-07-24,66.895
2006-07-31,66.89
2006-08-14,73.28999999999999
2006-09-10,61.83
2006-09-18,63.8
2006-09-25,56.305
2006-10-07,71.82
2006-11-09,67.75999999999999
2006-12-06,90.0
2007-01-10,74.37
2007-02-07,64.595
2007-03-09,74.28999999999999
2007-06-25,85.63
2007-07-16,66.28
2007-07-23,66.005
2007-07-30,71.385
2007-08-10,82.98
2007-09-07,68.44
2007-09-17,73.385
2007-09-24,71.13
2007-10-09,74.21000000000001
2007-10-15,83.1
2007-10-22,75.6
2007-10-29,75.0
2008-01-09,76.61500000000001
2008-03-11,76.61
2008-04-08,79.895
2008-06-10,65.61500000000001
2008-06-16,71.0
2008-06-23,69.24
2008-06-30,83.795
2008-07-07,84.0
2008-07-14,79.465
2008-07-21,81.27
2008-07-28,81.455
2008-08-09,79.525
2008-08-18,73.875
2008-08-25,81.83
2008-09-15,75.395
2008-09-22,69.05
2008-09-29,64.91499999999999
2008-10-11,78.11
2008-10-13,55.895
2008-10-27,74.38
2008-11-08,77.255
2008-11-17,78.81
2008-11-24,78.15
2009-01-06,100.0
2009-02-11,54.48
2009-03-08,62.855
2009-05-10,55.18
2009-05-18,137.5
2009-05-25,110.0
2009-06-07,74.095
2009-06-15,80.4
2009-06-22,76.09
2009-06-29,73.95
2009-07-09,53.26
2009-07-13,76.72
2009-07-20,69.755
2009-07-27,66.98
2009-08-06,100.0
2009-08-17,55.955
2009-08-24,54.260000000000005
2009-08-31,61.599999999999994
2009-09-11,55.77
2009-09-14,61.260000000000005
2009-09-21,57.595
2009-09-28,56.519999999999996
2009-10-08,58.525
2009-10-19,52.24
2009-10-26,55.74
2009-11-16,57.06
2009-11-23,57.69
2009-12-10,50.045
2010-02-08,70.62
2010-04-10,52.205
2010-05-07,84.745
2010-06-09,59.8
2010-06-21,91.88
2010-06-28,87.45
2010-07-19,71.58500000000001
2010-07-26,71.895
2010-08-16,69.14500000000001
2010-08-23,64.57
2010-08-30,62.365
2010-09-08,68.345
2010-09-13,59.769999999999996
2010-09-20,56.105000000000004
2010-09-27,55.0
2010-11-10,53.510000000000005
2010-12-07,66.045
2011-01-08,51.09
2011-03-10,63.1
2011-04-07,61.595
2011-05-09,56.36
2011-06-20,69.91
2011-06-27,73.14500000000001
2011-07-18,56.625
2011-07-25,52.58
2011-08-08,49.25
2011-08-15,47.555
2011-08-22,54.705
2011-08-29,52.17
2011-09-19,57.84
2011-09-26,59.71
2011-10-10,63.584999999999994
2011-10-17,60.87
2011-11-07,59.98
2011-12-09,57.07
2012-01-10,72.7
2012-02-07,77.5
2012-03-09,69.86
2012-04-06,160.0
2012-04-30,215.0
2012-05-14,200.0
2012-05-21,175.0
2012-05-28,155.0
2012-06-08,73.00999999999999
2012-06-18,116.85
