ds,y
2004-01-11,36.23
2004-04-10,44.74
2004-05-07,31.58
2004-06-12,48.86
2004-07-19,26.93
2004-07-26,22.09
2004-08-11,63.01
2004-09-20,68.45
2004-09-27,55.24
2004-10-18,59.59
2004-10-25,39.69
2004-11-10,41.48
2004-11-15,58.81
2004-11-22,39.2
2004-12-07,33.92
2004-12-13,58.75
2005-01-17,110.96
2005-01-24,96.06
2005-01-31,126.08
2005-02-05,46.94
2005-02-14,186.9
2005-02-21,140.07
2005-02-28,141.72
2005-03-01,81.0
2005-03-10,40.22
2005-03-14,138.1
2005-03-21,140.84
2005-03-28,110.64
2005-04-04,132.11
2005-04-18,59.14
2005-04-25,38.8
2005-05-12,69.13
2005-05-16,38.2
2005-05-23,34.72
2005-05-30,16.65
2005-06-06,23.09
2005-06-13,24.97
2005-06-20,19.61
2005-06-27,14.3
2005-07-02,220.3
2005-07-03,162.25
2005-07-11,39.04
2005-07-18,18.37
2005-07-25,18.67
2005-09-05,55.5
2005-10-01,100.73
2005-10-10,39.77
2005-10-17,43.09
2005-10-24,43.12
2005-10-31,42.83
2005-11-04,93.16
2005-11-07,23.25
2005-11-14,49.51
2005-11-21,76.95
2005-11-28,69.46
2005-12-12,87.25
2005-12-19,123.72
2006-01-05,27.99
2006-01-16,156.65
2006-01-23,144.15
2006-01-30,150.33
2006-02-01,91.75
2006-02-10,33.02
2006-02-13,122.36
2006-02-20,86.16
2006-02-27,69.32
2006-03-04,60.91
2006-03-07,34.13
2006-03-13,54.86
2006-03-20,57.49
2006-03-27,85.08
2006-04-12,69.43
2006-04-17,47.95
2006-04-24,35.1
2006-05-06,42.42
2006-05-15,26.66
2006-05-22,25.2
2006-05-29,37.32
2006-06-02,154.58
2006-06-03,88.94
2006-06-11,85.92
2006-06-19,26.38
2006-06-26,24.64
2006-07-17,25.77
2006-08-05,35.29
2006-09-01,113.11
2006-09-10,37.3
2006-10-04,54.19
2006-10-07,29.68
2006-10-16,45.12
2006-10-23,50.72
2006-10-30,51.8
2006-11-13,108.08
2006-11-20,90.59
2006-11-27,85.86
2006-12-06,35.23
2006-12-18,84.68
2006-12-25,84.56
2007-01-01,77.25
2007-01-10,69.69
2007-01-15,75.3
2007-01-22,83.32
2007-01-29,83.94
2007-02-04,79.72
2007-02-07,32.31
2007-02-19,97.94
2007-02-26,75.48
2007-03-12,63.82
2007-03-19,83.79
2007-03-26,88.54
2007-04-06,35.5
2007-04-16,51.27
2007-04-23,41.82
2007-04-30,49.94
2007-05-02,79.68
2007-05-03,82.46
2007-05-11,87.28
2007-05-14,43.99
2007-05-21,36.29
2007-05-28,30.35
2007-06-18,38.78
2007-06-25,39.76
2007-07-05,45.45
2007-07-16,26.99
2007-08-01,63.97
2007-08-10,67.02
2007-09-04,66.01
2007-09-07,40.59
2007-10-12,78.15
2007-10-15,55.04
2007-10-22,56.45
2007-10-29,60.55
2007-11-06,41.0
2007-11-19,51.31
2007-11-26,44.95
2007-12-02,120.55
2007-12-03,73.79
2007-12-11,69.32
2007-12-17,74.51
2007-12-24,69.53
2007-12-31,72.36
2008-01-09,49.21
2008-01-12,58.65
2008-01-14,101.65
2008-01-21,97.16
2008-01-28,74.8
2008-02-06,30.01
2008-02-18,86.29
2008-02-25,104.74
2008-03-03,104.97
2008-03-11,38.12
2008-03-17,57.19
2008-03-24,49.97
2008-03-31,61.28
2008-04-02,88.98
2008-04-08,41.86
2008-04-14,42.73
2008-04-21,49.75
2008-04-28,40.42
2008-05-05,39.67
2008-05-19,51.82
2008-05-26,42.99
2008-06-10,42.95
2008-06-16,30.23
2008-06-23,36.87
2008-06-30,66.11
2008-07-01,85.39
2008-07-04,54.58
2008-07-07,84.47
2008-07-14,70.59
2008-07-21,68.41
2008-08-09,43.03
2008-08-12,66.51
2008-08-18,60.32
2008-08-25,47.85
2008-09-06,32.27
2008-09-15,33.72
2008-09-29,41.48
2008-10-03,86.45
2008-10-11,80.94
2008-10-13,35.83
2008-10-20,30.5
2008-10-27,31.3
2008-11-02,84.77
2008-11-08,70.46
2008-11-17,79.85
2008-11-24,61.07
2008-12-05,41.2
2008-12-15,91.59
2008-12-29,72.36
2009-01-06,22.8
2009-01-26,205.88
2009-02-02,140.61
2009-02-03,91.3
2009-02-11,50.42
2009-02-16,112.57
2009-02-23,102.74
2009-03-16,73.64
2009-03-23,58.89
2009-03-30,57.3
2009-04-05,22.26
2009-04-13,42.85
2009-04-20,31.49
2009-05-01,90.58
2009-05-10,30.18
2009-05-18,22.24
2009-05-25,23.48
2009-06-04,61.69
2009-06-07,30.08
2009-06-15,25.02
2009-06-22,21.61
2009-06-29,25.75
2009-07-09,60.92
2009-07-12,65.89
2009-07-13,25.99
2009-07-20,27.05
2009-07-27,29.72
2009-08-06,27.77
2009-08-17,51.0
2009-08-31,51.54
2009-09-02,122.09
2009-09-03,84.91
2009-09-11,37.04
2009-09-14,73.0
2009-09-21,66.29
2009-09-28,45.73
2009-10-08,60.19
2009-10-19,34.83
2009-10-26,50.0
2009-11-05,21.62
2009-11-16,63.92
2009-11-23,58.88
2009-11-30,37.69
2009-12-01,170.36
2009-12-10,24.92
2009-12-14,77.48
2009-12-21,89.07
2009-12-28,72.74
2010-01-02,96.72
2010-01-03,98.16
2010-01-11,89.96
2010-01-18,91.11
2010-01-25,88.59
2010-02-08,46.19
2010-02-15,119.83
2010-02-22,120.82
2010-03-05,34.57
2010-03-15,59.62
2010-03-22,72.32
2010-03-29,88.89
2010-04-01,55.28
2010-04-10,43.33
2010-04-19,39.42
2010-04-26,33.8
2010-05-04,53.23
