ds,y
2004-06-09,76.25
2004-06-12,120.0
2004-06-28,91.0
2004-07-19,76.25
2004-07-26,76.25
2004-08-23,74.29
2004-08-30,76.25
2004-09-13,76.25
2004-09-20,76.25
2004-12-07,78.75
2004-12-13,127.01
2005-01-08,82.5
2005-01-17,89.5
2005-01-24,110.26
2005-01-31,120.25
2005-02-05,77.59
2005-02-14,152.19
2005-02-21,144.4
2005-03-10,84.81
2005-03-28,100.0
2005-04-07,85.0
2005-04-18,59.33
2005-04-25,45.19
2005-05-09,67.0
2005-05-12,82.97
2005-05-16,160.0
2005-05-23,101.21
2005-05-30,111.71
2005-06-06,109.74
2005-06-13,110.86
2005-06-20,115.5
2005-06-27,85.0
2005-07-03,175.82
2005-07-11,68.5
2005-07-18,77.5
2005-07-25,71.5
2005-08-08,82.5
2005-08-15,82.5
2005-08-22,76.5
2005-08-29,67.0
2005-09-05,78.89
2005-10-01,95.0
2005-10-10,102.2
2005-10-17,106.18
2005-10-24,112.86
2005-10-31,82.85
2005-11-04,82.4
2005-11-07,80.0
2005-11-14,65.45
2005-11-21,58.52
2005-12-09,67.0
2005-12-12,67.05
2005-12-19,62.4
2006-01-05,105.61
2006-01-23,80.61
2006-01-30,96.06
2006-02-01,69.79
2006-02-13,122.36
2006-02-20,113.36
2006-02-27,124.79
2006-03-04,107.67
2006-03-07,108.9
2006-03-13,140.74
2006-03-20,104.35
2006-03-27,115.38
2006-04-12,73.5
2006-04-17,102.21
2006-04-24,108.26
2006-05-06,78.91
2006-05-15,101.51
2006-05-22,92.81
2006-05-29,85.45
2006-06-02,115.29
2006-06-03,120.92
2006-06-11,79.96
2006-06-19,106.4
2006-06-26,102.01
2006-07-08,123.33
2006-07-17,109.59
2006-07-24,110.8
2006-07-31,128.33
2006-08-05,100.0
2006-08-14,124.23
2006-09-01,83.36
2006-10-04,121.88
2006-10-07,131.06
2006-10-16,92.0
2006-10-23,84.23
2006-10-30,82.0
2006-11-13,74.44
2006-11-20,69.53
2006-11-27,62.55
2006-12-06,98.28
