ds,y
2017-02-10,60.0
2017-04-12,64.0
2017-06-11,61.0
2017-09-10,61.0
2017-09-18,60.0
2017-09-25,60.0
2017-10-16,60.0
2017-10-23,61.0
2017-10-30,61.0
2017-11-12,68.86
2017-11-13,61.0
2017-11-20,63.0
2017-11-27,63.0
2017-12-18,69.78
2017-12-25,69.78
2018-01-01,65.0
2018-01-10,63.39
2018-01-15,65.0
2018-01-22,65.0
2018-01-29,65.0
2018-03-09,62.77
2018-03-12,64.77
2018-05-11,63.97
2018-08-01,65.0
2018-08-10,63.39
2018-09-17,65.61
2018-09-24,63.19
2018-10-09,65.61
2018-10-12,65.16
2018-10-15,63.19
2018-10-22,63.97
2018-10-29,63.97
2018-11-19,63.97
2018-11-26,64.77
2018-12-11,63.97
2018-12-17,65.16
2018-12-24,65.97
2018-12-31,65.97
2019-01-14,68.97
2019-01-21,70.58
2019-01-28,70.58
2019-02-09,68.85
2019-02-12,85.2
2019-04-11,69.36
2019-04-15,102.71
2019-07-01,65.97
2019-07-10,68.73
2019-08-04,101.75
2019-09-09,68.93
2019-09-12,85.16
2019-09-16,68.96
2019-09-23,68.95
2019-09-30,68.79
2019-10-14,68.77
2019-10-21,69.32
2019-10-28,69.36
2019-11-11,81.42
2019-11-18,81.43
2019-11-25,81.43
2019-12-16,85.15
2019-12-23,85.18
2019-12-30,86.72
2020-01-06,91.5
2020-01-13,88.73
2020-01-20,88.84
2020-01-27,88.75
2020-02-03,95.77
2020-02-11,59.29
2020-03-16,117.32
2020-03-23,108.47
2020-04-05,74.02
2020-04-13,86.35
2020-04-20,88.7
2020-04-27,96.01
2020-05-10,59.03
2020-05-18,88.79
2020-05-25,91.66
2020-06-01,86.62
2020-06-15,99.6
2020-06-22,92.29
2020-06-29,101.89
2020-07-09,68.33
2020-07-12,60.35
2020-08-06,97.85
2020-08-31,68.51
2020-09-03,100.76
2020-09-11,59.29
2020-09-14,68.32
2020-09-21,69.45
2020-09-28,63.69
2020-10-19,59.03
2020-10-26,59.03
2020-11-05,83.27
2020-11-16,59.29
2020-11-23,59.29
2020-11-30,60.32
2020-12-10,59.03
2020-12-14,59.38
2020-12-21,59.38
2020-12-28,59.38
2021-01-02,81.68
2021-01-03,116.6
2021-01-18,63.55
2021-01-25,65.43
2021-02-15,97.21
2021-02-22,97.64
2021-03-05,147.14
2021-03-15,129.51
2021-03-22,129.5
2021-03-29,130.01
2021-04-01,62.21
2021-04-19,137.94
2021-04-26,137.92
2021-05-04,138.16
2021-05-17,147.1
2021-05-24,147.09
2021-05-31,126.87
2021-08-02,93.89
2021-08-03,129.55
2021-10-05,147.19
2021-11-01,62.9
2021-12-04,130.74
