ds,y
2001-01-10,546.15
2001-01-15,538.42
2001-01-22,538.42
2001-01-29,538.42
2001-02-04,545.97
2001-02-07,546.08
2001-02-19,538.42
2001-02-26,538.42
2001-03-09,546.08
2001-03-12,549.87
2001-03-19,545.97
2001-03-26,545.97
2001-04-06,546.06
2001-04-16,545.97
2001-04-23,545.97
2001-05-02,538.42
2001-05-03,545.97
2001-05-11,549.87
2001-05-14,546.0
2001-05-21,546.02
2001-06-08,546.08
2001-06-18,546.1
2001-06-25,546.06
2001-07-05,546.0
2001-07-16,546.08
2001-07-23,546.08
2001-08-01,538.41
2001-08-10,546.15
2001-08-13,546.08
2001-09-04,545.97
2001-09-07,546.08
2001-09-17,546.15
2001-09-24,546.15
2001-10-09,546.15
2001-10-12,549.87
2001-10-15,546.15
2001-10-22,549.85
2001-10-29,549.85
2001-11-06,546.06
2001-11-26,549.87
2001-12-02,538.42
2001-12-11,549.87
2001-12-17,553.63
2001-12-24,553.63
2001-12-31,553.67
2002-01-04,562.07
2002-01-14,554.31
2002-01-21,555.17
2002-01-28,556.03
2002-02-09,563.79
2002-02-12,568.1
2002-02-25,562.07
2002-03-06,562.93
2002-03-18,562.07
2002-03-25,562.07
2002-04-02,556.03
2002-04-03,562.07
2002-04-11,568.1
2002-04-15,562.07
2002-04-22,562.07
2002-04-29,562.07
2002-05-08,563.79
2002-05-13,562.93
2002-05-20,562.93
2002-05-27,562.93
2002-06-05,562.07
2002-06-17,563.79
2002-06-24,563.79
2002-07-10,566.38
2002-07-15,563.79
2002-07-22,563.79
2002-07-29,563.79
2002-08-07,563.79
2002-08-19,563.79
2002-09-09,563.79
2002-09-12,568.1
2002-09-16,564.66
2002-09-30,566.38
2002-10-06,562.93
2002-10-14,566.38
2002-10-21,567.24
2002-10-28,568.1
2002-11-02,562.07
2002-11-03,562.07
2002-11-11,568.1
2002-11-18,568.1
2002-11-25,568.1
2002-12-08,563.79
2002-12-16,568.97
2002-12-23,568.97
2003-01-09,579.31
2003-01-12,581.03
2003-01-13,568.97
2003-01-20,568.97
2003-01-27,568.97
2003-02-17,568.97
2003-02-24,568.97
2003-03-02,568.97
2003-03-03,568.97
2003-03-11,580.17
2003-03-17,568.1
2003-03-24,568.1
2003-03-31,568.1
2003-04-08,579.31
2003-04-14,569.83
2003-04-21,569.83
2003-04-28,569.83
2003-05-19,569.83
2003-05-26,569.83
2003-06-01,568.97
2003-06-16,569.83
2003-06-23,569.83
2003-06-30,569.83
2003-07-04,573.28
2003-07-07,569.83
2003-07-14,569.83
2003-07-21,569.83
2003-07-28,569.83
2003-08-09,579.31
2003-08-12,581.03
2003-08-18,579.31
2003-08-25,579.31
2003-09-06,569.83
2003-09-15,579.31
2003-09-22,579.31
2003-09-29,579.31
2003-10-02,568.97
2003-10-03,568.97
2003-10-11,580.17
2003-10-13,579.31
2003-10-20,579.31
2003-10-27,580.17
2003-11-08,579.31
2003-11-24,581.03
2003-12-05,569.83
2003-12-15,581.03
2003-12-22,581.03
2003-12-29,581.03
2004-01-03,577.59
2004-01-11,589.66
2004-01-19,580.17
2004-01-26,581.03
2004-02-02,581.03
2004-02-08,583.62
2004-02-16,581.03
2004-02-23,577.59
2004-03-05,583.62
2004-03-15,581.03
2004-03-22,581.9
2004-03-29,581.9
2004-04-10,588.79
2004-04-19,581.9
2004-04-26,581.9
2004-05-01,581.03
2004-05-04,581.9
2004-05-07,583.62
2004-05-17,583.62
2004-05-24,583.62
2004-05-31,583.62
2004-06-09,584.48
2004-06-12,589.66
2004-06-14,583.62
2004-06-21,583.62
2004-06-28,583.62
2004-07-06,583.62
2004-07-19,583.62
2004-07-26,583.62
2004-08-03,581.03
2004-08-16,583.62
2004-08-23,583.62
2004-08-30,583.62
2004-09-02,581.03
2004-09-08,583.62
2004-09-13,584.48
2004-09-20,584.48
2004-09-27,584.48
2004-10-05,583.62
2004-10-25,589.66
2004-11-10,589.66
2004-11-15,589.66
2004-11-22,589.66
2004-11-29,589.66
2004-12-01,581.03
2004-12-04,581.9
2004-12-07,583.62
2005-01-08,612.93
2005-01-17,588.79
2005-01-24,588.79
2005-01-31,588.79
2005-02-05,614.66
2005-02-14,588.79
2005-02-21,588.79
2005-02-28,605.17
2005-03-01,589.66
2005-03-21,605.17
2005-03-28,605.17
2005-04-04,609.48
2005-04-07,612.07
2005-04-25,613.79
2005-05-09,612.93
2005-05-16,614.66
2005-05-23,614.66
2005-05-30,613.79
2005-06-06,613.79
2005-06-13,613.79
2005-06-27,616.38
2005-07-02,588.79
2005-07-03,605.17
2005-07-18,612.93
2005-07-25,612.93
2005-08-08,612.93
2005-08-15,612.93
2005-08-22,612.93
2005-08-29,612.93
2005-09-05,614.66
2005-09-19,613.79
2005-09-26,615.52
2005-10-01,589.66
2005-11-04,609.48
2005-11-07,612.93
2005-11-14,616.38
2005-11-21,616.38
2005-12-09,612.93
2006-01-16,617.24
2006-02-13,616.38
2006-02-20,616.38
2006-02-27,612.93
2006-03-04,604.31
2006-04-17,603.45
2006-05-15,602.59
2006-05-29,602.59
2006-06-03,612.93
2006-07-08,603.45
2006-07-17,603.45
2006-07-24,603.45
2006-07-31,603.45
2006-08-21,603.45
2006-09-25,608.62
2006-10-07,603.45
2006-12-06,603.45
2007-01-22,617.24
2007-08-01,617.24
2008-01-09,678.45
2008-01-12,686.21
2008-01-14,662.93
2008-01-21,662.93
2008-01-28,662.93
2008-02-06,678.45
2008-02-18,665.52
2008-02-25,667.24
2008-03-03,669.83
2008-03-11,678.45
2008-03-17,675.86
2008-03-24,677.59
2008-03-31,678.45
2008-04-02,666.52
2008-04-08,676.72
2008-04-14,678.45
2008-04-21,676.72
2008-04-28,677.59
2008-05-05,677.59
2008-05-19,677.59
2008-05-26,678.45
2008-06-10,681.03
2008-06-16,677.59
2008-06-23,677.59
2008-06-30,677.59
2008-07-04,678.45
2008-07-07,678.45
2008-07-14,679.31
2008-07-21,678.45
2008-07-28,676.72
2008-08-09,679.31
2008-08-12,686.21
2008-08-18,676.72
2008-08-25,678.45
2008-09-06,677.59
2008-09-22,679.31
2008-09-29,679.31
2008-10-03,675.86
2008-10-11,678.45
2008-10-13,680.17
2008-10-20,680.17
2008-10-27,678.45
2008-11-02,665.52
2008-11-08,676.72
2008-11-17,678.45
2008-11-24,682.76
2008-12-05,677.59
2008-12-15,686.21
2009-01-06,675.0
2009-01-19,683.62
2009-01-26,683.62
2009-02-02,683.62
2009-02-03,681.03
2009-02-11,676.72
2009-02-16,683.62
2009-02-23,681.03
2009-03-08,675.0
2009-03-16,681.9
2009-03-23,681.9
2009-03-30,681.03
2009-04-05,678.45
2009-04-13,680.17
2009-04-20,680.17
2009-04-27,678.45
