ds,y
2001-01-10,655.62
2001-01-15,648.06
2001-01-22,648.06
2001-01-29,648.52
2001-02-04,653.26
2001-02-07,655.62
2001-02-19,648.52
2001-02-26,648.52
2001-03-09,655.62
2001-03-12,655.62
2001-03-19,653.26
2001-03-26,653.26
2001-04-06,653.73
2001-04-16,653.26
2001-04-23,653.26
2001-05-02,648.52
2001-05-03,653.26
2001-05-11,655.62
2001-05-14,653.73
2001-05-21,653.73
2001-06-08,655.62
2001-06-18,653.77
2001-06-25,653.73
2001-07-05,653.73
2001-07-16,655.62
2001-07-23,655.62
2001-08-01,648.06
2001-08-10,655.62
2001-08-13,655.62
2001-09-04,653.26
2001-09-07,655.62
2001-09-17,655.62
2001-09-24,655.62
2001-10-09,655.62
2001-10-12,658.04
2001-10-15,655.62
2001-10-22,655.62
2001-10-29,655.62
2001-11-06,653.73
2001-11-26,655.62
2001-12-02,648.52
2001-12-11,655.62
2001-12-17,658.97
2001-12-24,658.97
2001-12-31,659.01
2002-01-04,631.03
2002-01-14,635.34
2002-01-21,630.17
2002-01-28,630.17
2002-02-09,635.34
2002-02-12,681.03
2002-02-25,630.17
2002-03-06,632.76
2002-03-18,631.03
2002-03-25,631.03
2002-04-02,630.17
2002-04-03,630.17
2002-04-11,681.03
2002-04-15,631.03
2002-04-22,631.03
2002-04-29,631.03
2002-05-08,635.34
2002-05-13,632.76
2002-05-20,631.9
2002-05-27,631.9
2002-06-05,631.03
2002-06-17,632.76
2002-06-24,634.48
2002-07-10,636.21
2002-07-15,635.34
2002-07-22,635.34
2002-07-29,635.34
2002-08-07,636.21
2002-08-19,635.34
2002-09-09,635.34
2002-09-12,681.03
2002-09-16,635.34
2002-09-30,635.34
2002-10-06,632.76
2002-10-14,636.21
2002-10-21,681.9
2002-10-28,681.03
2002-11-02,630.17
2002-11-03,631.03
2002-11-11,681.03
2002-11-18,681.03
2002-11-25,681.03
2002-12-08,635.34
2002-12-16,681.03
2002-12-23,681.03
2003-01-09,685.34
2003-01-12,687.93
2003-01-13,681.03
2003-01-20,681.03
2003-01-27,681.03
2003-02-17,681.03
2003-02-24,681.03
2003-03-02,681.03
2003-03-03,681.9
2003-03-11,685.34
2003-03-17,681.9
2003-03-24,681.9
2003-03-31,682.76
2003-04-08,685.34
2003-04-14,685.34
2003-04-21,685.34
2003-04-28,685.34
2003-05-19,685.34
2003-05-26,685.34
2003-06-01,681.03
2003-06-16,685.34
2003-06-23,685.34
2003-06-30,685.34
2003-07-04,685.34
2003-07-07,685.34
2003-07-14,685.34
2003-07-21,685.34
2003-07-28,685.34
2003-08-09,685.34
2003-08-12,687.93
2003-08-18,685.34
2003-08-25,685.34
2003-09-06,685.34
2003-09-15,685.34
2003-09-22,685.34
2003-09-29,685.34
2003-10-02,681.03
2003-10-03,681.9
2003-10-11,685.34
2003-10-13,685.34
2003-10-20,685.34
2003-10-27,685.34
2003-11-08,685.34
2003-11-24,687.93
2003-12-05,685.34
2003-12-15,687.93
2003-12-22,687.93
2003-12-29,687.93
2004-01-03,697.41
2004-01-11,699.14
2004-01-19,687.07
2004-01-26,694.83
2004-02-02,695.69
2004-02-08,700.0
2004-02-16,695.69
2004-02-23,697.41
2004-03-05,700.0
2004-03-15,698.28
2004-03-22,699.14
2004-03-29,699.14
2004-04-10,698.28
2004-04-19,699.14
2004-04-26,700.0
2004-05-01,687.07
2004-05-04,699.14
2004-05-07,700.0
2004-05-17,700.0
2004-05-24,700.0
2004-05-31,700.0
2004-06-09,700.86
2004-06-12,698.28
2004-06-14,700.0
2004-06-21,700.0
2004-06-28,700.0
2004-07-06,700.0
2004-07-19,700.0
2004-07-26,700.0
2004-08-03,698.28
2004-08-16,700.0
2004-08-23,700.0
2004-08-30,700.0
2004-09-02,695.69
2004-09-08,700.0
2004-09-13,700.86
2004-09-20,700.86
2004-09-27,700.0
2004-10-05,700.0
2004-10-25,699.14
2004-11-10,698.28
2004-11-15,698.28
2004-11-22,698.28
2004-11-29,698.28
2004-12-01,687.07
2004-12-04,699.14
2004-12-07,700.0
2005-01-08,775.0
2005-01-17,698.28
2005-01-24,698.28
2005-01-31,698.28
2005-02-05,771.55
2005-02-14,698.28
2005-02-21,698.28
2005-02-28,767.24
2005-03-01,698.28
2005-03-21,768.1
2005-03-28,768.1
2005-04-04,767.24
2005-04-07,776.72
2005-04-25,771.55
2005-05-09,775.0
2005-05-16,771.55
2005-05-23,771.55
2005-05-30,771.55
2005-06-06,772.41
2005-06-13,773.28
2005-06-27,775.0
2005-07-02,698.28
2005-07-03,768.97
2005-07-18,775.0
2005-07-25,775.0
2005-08-08,775.0
2005-08-15,775.0
2005-08-22,775.0
2005-08-29,775.0
2005-09-05,771.55
2005-09-19,774.14
2005-09-26,770.69
2005-10-01,698.28
2005-11-04,767.24
2005-11-07,775.0
2005-11-14,771.55
2005-11-21,771.55
2005-12-09,775.0
2006-01-16,774.14
2006-02-13,772.41
2006-02-20,772.41
2006-02-27,760.34
2006-03-04,762.07
2006-04-17,761.21
2006-05-15,756.9
2006-05-29,756.03
2006-06-03,760.34
2006-07-08,755.17
2006-07-17,755.17
2006-07-24,755.17
2006-07-31,755.17
2006-08-21,755.17
2006-09-25,756.9
2006-10-07,755.17
2006-12-06,759.48
2007-01-22,756.9
2007-08-01,757.76
2008-01-09,822.41
2008-01-12,832.76
2008-01-14,801.72
2008-01-21,802.59
2008-01-28,802.59
2008-02-06,823.28
2008-02-18,806.03
2008-02-25,806.9
2008-03-03,809.48
2008-03-11,821.5
2008-03-17,813.79
2008-03-24,813.79
2008-03-31,815.52
2008-04-02,805.17
2008-04-08,820.69
2008-04-14,815.52
2008-04-21,818.1
2008-04-28,818.1
2008-05-05,818.97
2008-05-19,821.55
2008-05-26,821.55
2008-06-10,825.0
2008-06-16,820.69
2008-06-23,819.83
2008-06-30,819.83
2008-07-04,815.52
2008-07-07,819.83
2008-07-14,820.69
2008-07-21,820.69
2008-07-28,820.69
2008-08-09,823.28
2008-08-12,832.76
2008-08-18,820.69
2008-08-25,821.55
2008-09-06,820.69
2008-09-22,823.28
2008-09-29,823.28
2008-10-03,814.66
2008-10-11,821.55
2008-10-13,825.0
2008-10-20,825.0
2008-10-27,820.69
2008-11-02,806.03
2008-11-08,820.69
2008-11-17,821.55
2008-11-24,834.48
2008-12-05,820.69
2008-12-15,832.76
2009-01-06,828.45
2009-01-19,831.9
2009-01-26,834.48
2009-02-02,830.17
2009-02-03,831.03
2009-02-11,831.9
2009-02-16,830.17
2009-02-23,831.03
2009-03-08,824.14
2009-03-16,832.76
2009-03-23,830.17
2009-03-30,832.76
2009-04-05,831.9
2009-04-13,831.03
2009-04-20,831.03
2009-04-27,831.9
2009-05-01,832.76
2009-05-10,831.9
2009-05-18,828.45
2009-05-25,828.45
2009-06-04,832.76
2009-06-07,824.14
2009-06-15,826.72
2009-06-22,830.17
2009-06-29,827.59
2009-07-09,829.31
2009-07-12,843.97
2009-07-13,824.14
2009-07-20,824.14
2009-07-27,824.14
2009-08-06,826.72
2009-08-17,828.45
2009-08-24,828.45
2009-08-31,829.31
2009-09-02,830.17
2009-09-03,831.03
2009-09-11,841.38
2009-09-14,827.59
2009-09-21,831.03
2009-09-24,831.9
2009-10-08,824.14
2009-10-19,829.31
2009-10-26,831.9
2009-11-05,829.31
2009-11-16,841.38
2009-11-23,841.38
2009-11-30,841.38
2009-12-01,832.76
2009-12-10,831.03
2009-12-14,843.97
2009-12-21,843.97
2009-12-28,843.97
2010-01-02,845.69
2010-01-03,841.38
2010-01-11,837.93
2010-01-18,841.38
2010-01-25,845.69
2010-02-08,843.1
2010-02-22,848.0
2010-03-05,845.69
2010-03-15,841.38
2010-03-22,837.93
2010-03-29,837.93
2010-04-01,843.97
2010-04-10,837.07
2010-04-19,839.66
2010-04-26,845.69
2010-05-04,839.66
2010-05-07,843.97
2010-05-17,844.83
2010-05-24,844.83
2010-05-31,844.83
2010-06-09,844.83
2010-06-12,837.93
2010-06-14,845.69
2010-06-21,844.83
2010-06-28,843.97
2010-07-06,844.83
2010-07-19,843.1
2010-07-26,843.1
2010-08-02,845.69
2010-08-03,839.66
2010-08-11,837.93
2010-08-16,843.1
2010-08-23,843.1
2010-08-30,844.83
2010-09-08,843.1
2010-09-13,837.07
2010-09-20,837.07
2010-09-27,837.07
2010-10-05,844.83
2010-10-18,837.93
2010-10-25,837.93
2010-11-01,841.38
2010-11-10,837.07
2010-11-15,837.93
2010-11-22,837.93
2010-11-29,837.93
2010-12-04,839.66
2010-12-07,843.97
2010-12-13,837.93
2010-12-20,837.93
2010-12-27,837.93
2011-01-08,864.66
2011-01-17,851.72
2011-01-24,852.59
2011-01-31,852.59
2011-02-05,856.9
2011-02-14,852.59
2011-02-21,852.59
2011-02-28,853.45
2011-03-01,855.17
2011-03-10,861.21
2011-03-14,854.31
2011-03-21,854.31
