ds,y
2004-05-07,20.47
2004-05-24,35.34
2004-06-21,41.0
2004-06-28,26.08
2004-07-19,14.66
2004-07-26,14.33
2004-08-23,12.65
2004-08-30,12.17
2004-12-07,16.24
2005-01-08,25.83
2005-04-07,21.87
2005-05-09,22.0
2005-05-16,34.29
2005-05-23,36.02
2005-05-30,28.51
2005-06-06,27.8
2005-06-13,24.2
2005-06-20,21.19
2005-06-27,15.74
2005-07-18,23.02
2005-07-25,26.43
2005-08-08,23.18
2005-08-15,20.72
2005-08-22,21.62
2005-08-29,18.54
2005-09-05,55.88
2005-11-07,21.74
2006-03-07,29.46
2006-05-06,31.96
2006-05-15,38.85
2006-05-22,29.65
2006-05-29,26.22
2006-07-08,32.73
2006-07-17,31.87
2006-07-24,33.62
2006-07-31,35.3
2006-08-05,44.25
2006-08-14,29.76
2006-10-07,29.85
2006-12-06,34.73
2007-04-06,42.97
2007-04-16,46.0
2007-04-23,46.0
2007-05-14,55.15
2007-05-21,44.99
2007-05-28,38.78
2007-06-18,40.72
2007-06-25,34.69
2007-07-05,30.0
2007-07-16,18.67
2007-07-23,17.39
2007-07-30,18.53
2007-11-06,48.2
2008-01-09,37.5
2008-02-06,29.24
2008-04-08,36.84
2008-04-28,42.67
2008-05-05,44.01
2008-05-19,51.26
2008-05-26,37.52
2008-06-16,28.69
2008-06-23,24.89
2008-06-30,39.48
2008-07-07,50.54
2008-07-14,48.89
2008-07-21,42.82
2008-07-28,44.41
2008-08-18,30.42
2008-08-25,33.49
2008-11-08,33.41
2008-12-05,46.08
2009-01-06,26.21
2009-03-08,19.3
2009-04-05,51.91
2009-04-27,60.38
2009-05-18,26.41
2009-05-25,22.65
2009-06-07,21.14
2009-06-15,20.89
2009-06-22,20.57
2009-06-29,21.78
2009-07-13,19.33
2009-07-20,19.72
2009-07-27,15.76
2009-08-06,27.78
2009-08-17,21.0
2009-08-24,22.14
2009-10-08,19.21
2009-11-05,32.96
2010-02-08,20.14
2010-03-05,63.59
2010-05-07,29.66
