ds,y
2013-01-07,94.48
2013-02-09,96.96
2013-02-12,95.44
2013-04-11,95.5
2013-05-08,100.18
2013-06-24,96.41
2013-07-10,95.97
2013-07-15,100.57
2013-07-22,99.57
2013-08-07,93.75
2013-08-19,96.84
2013-08-26,99.45
2013-09-09,99.19
2013-09-16,96.34
2013-09-23,100.64
2013-09-30,98.13
2013-10-14,97.71
2013-10-21,98.54
2013-10-28,97.89
2013-11-11,94.63
2013-11-18,95.78
2013-11-25,97.04
2013-12-08,100.8
2013-12-16,96.02
2013-12-23,101.87
2014-01-09,90.4
2014-01-12,79.57
2014-01-13,100.09
2014-01-20,97.4
2014-01-27,100.08
2014-02-06,100.23
2014-02-17,98.52
2014-02-24,98.4
2014-03-02,98.25
2014-03-03,100.01
2014-03-11,87.06
2014-03-17,99.25
2014-03-24,99.54
2014-03-31,98.96
2014-04-08,96.82
2014-04-14,96.44
2014-04-21,99.5
2014-04-28,98.18
2014-05-05,92.16
2014-05-19,96.36
2014-05-26,96.11
2014-06-01,101.71
2014-06-10,92.5
2014-06-16,94.01
2014-06-23,97.87
2014-06-30,98.35
2014-07-04,97.36
2014-07-07,98.94
2014-07-14,98.57
2014-07-21,100.88
2014-07-28,96.22
2014-08-09,89.45
2014-08-12,80.02
2014-08-18,95.27
2014-08-25,92.38
2014-09-06,97.36
2014-09-15,92.73
2014-09-22,91.95
2014-09-29,85.49
2014-10-02,99.07
2014-10-03,101.97
2014-10-11,87.61
2014-10-13,84.35
2014-10-20,95.36
2014-10-27,85.3
2014-11-08,94.01
2014-11-17,86.75
2014-11-24,86.19
2014-12-05,97.15
2014-12-15,84.66
2014-12-22,79.27
2014-12-29,88.67
2015-01-06,88.43
2015-01-19,76.52
2015-01-26,85.36
2015-02-02,88.73
2015-02-03,82.65
2015-02-11,58.58
2015-02-16,82.53
2015-02-23,81.74
2015-03-08,63.44
2015-03-16,91.74
2015-03-23,91.99
2015-03-30,91.02
2015-04-05,86.1
2015-04-13,98.43
2015-04-20,86.84
2015-04-27,91.57
2015-05-01,80.46
2015-05-10,59.86
2015-05-18,89.56
2015-05-25,91.7
2015-06-04,85.07
2015-06-07,63.6
2015-06-15,87.98
2015-06-22,85.03
2015-06-29,77.16
2015-07-09,65.48
2015-07-12,54.57
2015-07-13,61.66
2015-07-20,60.95
2015-07-27,61.31
2015-08-06,81.38
2015-08-17,66.11
2015-08-24,55.54
2015-08-31,56.27
2015-09-02,83.95
2015-09-03,85.75
2015-09-11,57.1
2015-09-14,53.4
2015-09-21,58.5
2015-09-28,59.28
2015-10-08,66.02
2015-10-19,61.07
2015-10-26,63.21
2015-11-05,85.15
2015-11-16,61.55
2015-11-23,55.57
2015-11-30,53.18
2015-12-01,76.39
2015-12-10,69.79
2015-12-14,58.0
2015-12-21,49.43
2015-12-28,52.77
2016-01-02,53.57
2016-01-08,60.13
2016-01-18,56.15
2016-01-25,51.15
2016-02-05,52.04
2016-02-15,49.93
2016-02-22,51.11
2016-02-29,50.95
2016-03-10,73.22
2016-03-14,51.4
2016-03-21,49.65
2016-03-28,52.33
2016-04-01,56.37
2016-04-04,51.71
2016-04-07,52.24
2016-04-18,49.0
2016-04-25,47.65
2016-05-09,62.86
2016-05-12,77.96
2016-05-16,51.89
2016-05-23,49.43
2016-05-30,57.82
2016-06-06,52.56
2016-06-13,53.01
2016-06-20,54.22
2016-06-27,53.89
2016-07-03,53.27
2016-07-11,80.4
2016-07-18,54.19
2016-07-25,56.63
2016-08-02,48.56
2016-08-08,54.67
2016-08-15,54.67
2016-08-22,60.34
2016-08-29,79.75
2016-09-05,52.22
2016-09-19,74.8
2016-09-26,74.15
2016-10-10,74.75
2016-10-17,77.86
2016-10-24,78.1
2016-10-31,81.2
2016-11-01,50.29
2016-11-04,49.1
2016-11-07,59.48
2016-11-14,87.28
2016-11-21,71.79
2016-11-28,69.31
2016-12-09,71.22
2016-12-12,76.84
2016-12-19,82.79
2016-12-26,80.58
2017-01-05,94.48
2017-01-16,77.67
2017-01-23,82.78
2017-01-30,81.83
2017-02-01,80.52
2017-02-10,81.4
2017-02-13,81.22
2017-02-20,81.56
2017-02-27,73.57
2017-03-04,92.14
2017-03-07,86.46
2017-03-13,88.89
2017-03-20,90.07
2017-03-27,91.25
2017-04-09,78.5
2017-04-12,76.53
2017-04-17,89.36
2017-04-24,90.69
2017-05-06,94.07
2017-05-15,92.32
2017-05-22,91.06
2017-05-29,92.51
2017-06-02,78.09
2017-06-03,90.25
2017-06-11,60.88
2017-06-19,94.38
2017-06-26,90.92
2017-07-08,94.0
2017-07-17,85.62
2017-07-24,81.64
2017-07-31,89.05
2017-08-05,90.87
2017-08-14,91.14
2017-08-21,84.76
2017-08-28,83.99
2017-09-01,83.27
2017-09-10,79.87
2017-09-18,81.46
2017-09-25,82.37
2017-10-04,90.8
2017-10-07,85.92
2017-10-16,77.34
2017-10-23,66.89
2017-10-30,67.19
2017-11-09,81.28
2017-11-12,70.62
2017-11-13,61.45
2017-11-20,75.38
2017-11-27,68.22
2017-12-06,91.99
2017-12-18,74.32
2017-12-25,58.57
2018-01-01,63.62
2018-02-04,64.56
2018-02-19,61.66
2018-03-19,62.38
2018-03-26,63.35
2018-04-06,62.57
2018-04-16,61.84
2018-04-23,59.42
2018-04-30,64.65
2018-05-03,63.84
2018-05-14,63.71
2018-05-21,62.13
2018-05-28,61.1
2018-06-08,69.36
2018-07-05,61.76
2018-07-16,65.74
2018-07-23,69.77
2018-07-30,70.8
2018-08-01,63.25
2018-09-04,66.32
2018-09-07,70.92
2018-10-29,70.32
2018-12-03,64.88
2018-12-24,78.73
2018-12-31,79.05
2019-01-04,86.75
2019-01-07,78.06
2019-01-14,79.05
2019-01-21,82.82
2019-01-28,84.44
2019-02-09,78.41
2019-02-12,73.61
2019-02-18,84.51
2019-02-25,96.79
2019-03-06,76.18
2019-03-18,91.58
2019-03-25,86.78
2019-04-02,79.08
2019-04-03,82.41
2019-04-11,81.55
2019-04-15,84.62
2019-04-22,97.92
2019-04-29,80.3
2019-05-08,72.88
2019-05-13,84.4
2019-05-20,81.93
2019-05-27,81.81
2019-06-05,77.11
2019-06-17,75.22
2019-06-24,81.32
2019-07-01,77.52
2019-07-10,70.34
2019-07-15,69.54
2019-07-22,66.35
2019-07-29,67.75
2019-08-04,103.8
2019-08-07,77.69
2019-08-19,79.5
2019-08-26,78.42
2019-09-09,75.76
2019-09-12,90.01
2019-09-16,82.09
2019-09-23,65.76
2019-09-30,66.42
2019-10-06,74.72
2019-10-14,67.14
2019-10-21,69.21
2019-10-28,69.48
2019-11-02,83.72
2019-11-03,90.68
2019-11-11,76.73
2019-11-18,72.75
2019-11-25,72.29
2019-12-08,79.5
2019-12-16,85.46
2019-12-23,90.01
2019-12-30,90.01
2020-01-06,71.95
2020-01-13,78.52
2020-01-20,72.11
2020-01-27,72.97
2020-02-03,87.44
2020-02-11,75.33
2020-02-17,90.35
2020-02-24,99.56
2020-03-02,84.05
2020-03-08,78.99
2020-03-16,84.09
2020-03-23,83.12
2020-03-30,84.49
2020-04-05,75.36
2020-04-13,79.95
2020-04-20,77.94
2020-05-10,76.68
2020-05-18,71.45
2020-05-25,73.08
2020-06-01,73.87
2020-06-04,87.02
2020-06-07,75.98
2020-06-15,72.45
2020-06-22,77.41
2020-06-29,77.33
2020-07-09,74.61
2020-07-12,78.33
2020-07-13,82.15
2020-07-20,72.34
2020-07-27,71.61
2020-08-06,74.18
2020-08-17,73.87
2020-08-24,73.82
2020-08-31,72.86
2020-09-03,86.53
2020-09-11,74.65
