ds,y
2003-12-29,75.33
2004-01-11,80.15
2004-01-19,77.0
2004-02-02,77.0
2004-04-10,82.7
2004-05-01,54.0
2004-05-07,188.0
2004-06-09,88.35
2004-06-12,80.0
2004-07-19,102.5
2004-07-26,98.0
2004-08-11,73.53
2004-08-23,92.21
2004-08-30,86.79
2004-09-13,86.48
2004-09-20,77.81
2004-09-27,77.21
2004-10-18,80.16
2004-10-25,83.69
2004-11-10,76.84
2004-11-15,76.22
2004-11-22,87.5
2004-11-29,78.75
2004-12-01,55.0
2004-12-07,111.25
2004-12-13,50.0
2005-01-08,89.78
2005-03-10,82.09
2005-05-09,78.67
2005-07-11,110.83
2005-07-18,113.0
2005-07-25,120.0
2005-08-08,85.07
2005-08-15,63.0
2005-08-22,82.53
2005-08-29,73.13
2005-09-19,79.05
2005-09-26,76.65
2005-10-10,103.34
2005-10-17,107.35
2005-10-24,105.77
2005-10-31,107.5
2005-11-07,118.0
2005-11-14,102.55
2005-11-21,136.25
2005-11-28,185.0
2005-12-09,79.2
2005-12-19,165.0
2006-02-10,101.48
2006-06-11,94.82
2006-07-08,100.25
2006-07-24,128.52
2006-07-31,109.28
2006-08-14,104.76
2006-09-10,103.13
2006-09-18,111.86
2006-09-25,106.03
2006-10-16,104.65
2006-10-23,98.93
2006-10-30,96.93
2006-11-09,99.72
2006-11-13,76.96
2007-01-10,123.4
2007-03-09,174.25
2007-07-16,167.5
2007-07-23,162.81
2007-07-30,147.84
2007-08-10,118.72
2007-09-07,170.0
2007-09-17,147.88
2007-09-24,119.68
2007-10-09,180.0
2007-10-15,120.13
2007-10-22,107.56
2007-10-29,111.05
2007-11-19,112.36
2008-01-09,132.19
2008-01-12,155.0
2008-03-11,147.5
2008-04-08,185.0
2008-06-10,142.48
2008-06-23,160.0
2008-06-30,165.0
2008-07-14,155.0
2008-07-21,155.0
2008-07-28,153.46
2008-08-09,133.44
2008-08-12,150.58
2008-08-18,115.03
2008-08-25,133.28
2008-09-15,99.87
2008-09-22,158.15
2008-09-29,130.57
2008-10-11,117.5
2008-10-13,126.01
2008-10-20,139.54
