ds,y
2004-06-12,27.92
2004-08-11,27.71
2004-09-27,63.37
2004-10-18,47.58
2004-10-25,42.36
2004-11-10,39.36
2004-11-15,29.83
2004-11-22,31.59
2004-12-13,24.33
2005-01-08,34.0
2005-01-17,38.42
2005-01-24,38.85
2005-01-31,42.42
2005-02-05,32.56
2005-02-14,35.58
2005-02-21,33.88
2005-02-28,32.93
2005-03-14,33.77
2005-03-21,32.36
2005-03-28,32.43
2005-04-04,32.77
2005-04-07,25.45
2005-04-18,30.85
2005-04-25,31.48
2005-05-16,32.92
2005-05-23,32.35
2005-05-30,26.71
2005-06-06,27.26
2005-06-13,25.74
2005-06-20,23.05
2005-06-27,23.0
2005-07-02,42.38
2005-07-03,34.07
2005-07-25,33.0
2005-09-05,33.27
2005-10-01,31.99
2005-11-04,31.46
2005-11-07,31.0
2006-01-05,43.22
2006-01-30,48.25
2006-02-10,47.01
2006-02-13,47.5
2006-02-20,48.75
2006-02-27,46.75
2006-03-04,43.25
2006-03-07,51.21
2006-03-13,47.25
2006-03-20,46.0
2006-03-27,47.5
2006-04-12,54.42
2006-04-17,39.75
2006-04-24,44.53
2006-05-06,43.14
2006-05-15,41.83
2006-05-22,41.83
2006-05-29,43.14
2006-06-02,47.75
2006-06-03,46.75
2006-06-11,54.0
2006-06-19,49.54
2006-06-26,48.43
2006-07-17,55.59
2006-07-24,58.37
2006-07-31,58.64
2006-08-05,44.53
2006-09-10,62.31
2006-09-25,68.0
2006-10-04,41.75
2006-10-07,51.76
2006-10-16,80.0
2006-10-23,73.0
2006-10-30,62.25
2006-11-13,54.0
2006-11-20,65.0
2006-11-27,62.0
2006-12-06,45.1
2006-12-25,67.0
2007-01-01,68.5
2007-01-10,61.0
2007-01-15,56.0
2007-01-22,57.33
2007-01-29,56.33
2007-02-04,53.33
2007-02-07,50.0
2007-02-19,50.33
2007-02-26,50.67
2007-03-09,51.0
2007-03-12,44.0
2007-03-19,53.0
2007-03-26,53.67
2007-04-06,50.33
2007-04-16,52.67
2007-04-23,53.33
2007-04-30,52.0
2007-05-02,55.33
2007-05-03,53.0
2007-05-11,52.0
2007-05-14,52.0
2007-05-21,50.33
2007-05-28,50.33
2007-06-18,50.5
2007-06-25,51.0
2007-07-05,52.67
2007-07-16,53.5
2007-07-23,53.0
2007-08-01,60.5
2007-08-10,56.0
2007-09-04,55.33
2007-09-07,52.0
2007-09-17,53.0
2007-09-24,50.5
2007-10-09,50.5
2007-10-12,46.5
2007-10-15,60.5
2007-10-22,56.5
2007-10-29,50.5
2007-11-06,47.0
2007-11-19,49.5
2007-11-26,50.0
2007-12-02,53.67
2007-12-03,52.33
2007-12-11,51.0
2007-12-17,50.33
2007-12-24,49.33
2007-12-31,49.67
2008-01-09,55.0
2008-01-12,61.5
2008-01-14,48.0
2008-01-21,48.33
2008-01-28,50.67
2008-02-06,50.0
2008-02-18,49.0
2008-02-25,48.0
2008-03-03,42.67
2008-03-11,59.5
2008-03-17,50.33
2008-03-24,49.0
2008-03-31,49.0
2008-04-02,51.0
2008-04-08,50.5
2008-04-14,49.33
2008-04-21,50.33
2008-04-28,48.67
2008-05-05,49.0
2008-05-19,50.67
2008-05-26,50.33
2008-06-10,61.5
2008-06-16,49.0
2008-06-23,52.5
2008-06-30,47.5
2008-07-01,49.0
2008-07-04,47.67
2008-07-07,50.0
2008-07-14,51.5
2008-07-21,47.0
2008-07-28,49.25
2008-08-09,58.0
2008-08-12,58.0
2008-08-18,53.5
2008-08-25,45.0
2008-09-06,49.33
2008-09-15,59.0
2008-09-22,59.5
2008-09-29,62.0
2008-10-03,45.67
2008-10-11,60.5
2008-10-13,63.0
2008-10-20,65.0
2008-10-27,62.5
2008-11-02,48.33
2008-11-08,53.5
2008-11-17,56.5
2008-11-24,57.0
2008-12-05,49.0
2008-12-15,57.5
2008-12-29,49.67
2009-01-06,54.67
2009-01-26,59.33
2009-02-02,62.67
2009-02-03,62.67
2009-02-11,42.45
2009-02-16,59.67
2009-02-23,49.0
2009-03-16,57.67
2009-03-23,58.33
2009-03-30,58.33
2009-04-05,55.67
2009-04-13,61.0
2009-04-20,61.0
2009-04-27,57.0
2009-05-01,65.0
2009-05-10,45.85
2009-05-18,54.0
2009-05-25,54.33
2009-06-04,58.53
2009-06-07,51.5
2009-06-15,55.0
2009-06-22,51.5
2009-06-29,53.0
2009-07-09,57.0
