ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-02,1248.5724608641503,1204.2062123124174,1490.43590773411,1248.5724608641503,1248.5724608641503,99.98446437626693,99.98446437626693,99.98446437626693,99.98446437626693,99.98446437626693,99.98446437626693,0.0,0.0,0.0,1348.5569252404173
2021-01-03,1248.9481336738706,1156.1901522461974,1454.4135739484934,1248.9481336738706,1248.9481336738706,54.22415088571052,54.22415088571052,54.22415088571052,54.22415088571052,54.22415088571052,54.22415088571052,0.0,0.0,0.0,1303.1722845595812
2021-01-11,1251.9535161516342,1139.2373800345117,1422.237857688227,1251.9535161516342,1251.9535161516342,35.016814357901914,35.016814357901914,35.016814357901914,35.016814357901914,35.016814357901914,35.016814357901914,0.0,0.0,0.0,1286.970330509536
2021-01-18,1254.5832258200903,1146.0390500565336,1447.4211529093056,1254.5832258200903,1254.5832258200903,35.01681435745359,35.01681435745359,35.01681435745359,35.01681435745359,35.01681435745359,35.01681435745359,0.0,0.0,0.0,1289.6000401775439
2021-01-25,1257.2129354899812,1141.364054763023,1449.6370280028705,1257.2129354899812,1257.2129354899812,35.01681435768097,35.01681435768097,35.01681435768097,35.01681435768097,35.01681435768097,35.01681435768097,0.0,0.0,0.0,1292.229749847662
2021-02-08,1262.4723548297627,1156.3410336925704,1441.4133542883806,1262.4723548297627,1262.4723548297627,35.01681435813575,35.01681435813575,35.01681435813575,35.01681435813575,35.01681435813575,35.01681435813575,0.0,0.0,0.0,1297.4891691878984
2021-02-15,1265.1020644986363,1141.9188656291171,1435.2081608567337,1265.1020644986363,1265.1020644986363,35.01681435768743,35.01681435768743,35.01681435768743,35.01681435768743,35.01681435768743,35.01681435768743,0.0,0.0,0.0,1300.1188788563238
2021-02-22,1267.7317741659633,1154.6391756790756,1442.8179776842048,1267.7317741659633,1267.7317741659633,35.0168143585905,35.0168143585905,35.0168143585905,35.0168143585905,35.0168143585905,35.0168143585905,0.0,0.0,0.0,1302.7485885245537
2021-03-05,1271.8641750717625,1171.7571193058127,1480.8425063522443,1271.8641750717625,1271.8641750717625,61.41209035384333,61.41209035384333,61.41209035384333,61.41209035384333,61.41209035384333,61.41209035384333,0.0,0.0,0.0,1333.2762654256057
2021-03-15,1275.6209031680228,1162.9073636400171,1462.4864452460013,1275.6209031680228,1275.6209031680228,35.016814358191795,35.016814358191795,35.016814358191795,35.016814358191795,35.016814358191795,35.016814358191795,0.0,0.0,0.0,1310.6377175262146
2021-03-22,1278.2506128347607,1166.044242358605,1446.8149923938058,1278.2506128347607,1278.2506128347607,35.01681435801404,35.01681435801404,35.01681435801404,35.01681435801404,35.01681435801404,35.01681435801404,0.0,0.0,0.0,1313.2674271927747
2021-03-29,1280.8803225014985,1176.4308317045547,1460.4800894053797,1280.8803225014985,1280.8803225014985,35.01681435756571,35.01681435756571,35.01681435756571,35.01681435756571,35.01681435756571,35.01681435756571,0.0,0.0,0.0,1315.8971368590642
2021-04-01,1282.0073409294805,811.3863399949186,1115.0424298485154,1282.0073409294805,1282.0073409294805,-322.01090107068205,-322.01090107068205,-322.01090107068205,-322.01090107068205,-322.01090107068205,-322.01090107068205,0.0,0.0,0.0,959.9964398587985
