ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,349.29388778608507,246.64473759489587,408.8065769769976,349.29388778608507,349.29388778608507,-19.215553018432026,-19.215553018432026,-19.215553018432026,1.1463792909175607,1.1463792909175607,1.1463792909175607,-20.361932309349587,-20.361932309349587,-20.361932309349587,0.0,0.0,0.0,330.078334767653
2001-01-10,349.14083393686127,242.78142566389076,425.68738052424015,349.14083393686127,349.14083393686127,-16.650731915228725,-16.650731915228725,-16.650731915228725,-7.681496440636291,-7.681496440636291,-7.681496440636291,-8.969235474592438,-8.969235474592438,-8.969235474592438,0.0,0.0,0.0,332.49010202163254
2001-01-15,349.0558040206259,257.06447302897465,432.21598038089166,349.0558040206259,349.0558040206259,-3.8326303405169146,-3.8326303405169146,-3.8326303405169146,1.1463792909201254,1.1463792909201254,1.1463792909201254,-4.97900963143704,-4.97900963143704,-4.97900963143704,0.0,0.0,0.0,345.22317368010897
2001-01-22,348.9367621378963,257.6710589526491,429.0557432230179,348.9367621378963,348.9367621378963,-5.770969909286186,-5.770969909286186,-5.770969909286186,1.1463792909056434,1.1463792909056434,1.1463792909056434,-6.917349200191829,-6.917349200191829,-6.917349200191829,0.0,0.0,0.0,343.16579222861014
2001-01-29,348.81772025516676,249.742637715093,426.5535329440782,348.81772025516676,348.81772025516676,-12.177529640675335,-12.177529640675335,-12.177529640675335,1.1463792909240758,1.1463792909240758,1.1463792909240758,-13.323908931599409,-13.323908931599409,-13.323908931599409,0.0,0.0,0.0,336.6401906144914
2001-02-04,348.71568435568423,236.56302161988162,424.4469969373028,348.71568435568423,348.71568435568423,-15.825393890900989,-15.825393890900989,-15.825393890900989,-0.1655428442106579,-0.1655428442106579,-0.1655428442106579,-15.659851046690331,-15.659851046690331,-15.659851046690331,0.0,0.0,0.0,332.8902904647832
2001-02-07,348.66466640594297,243.82472289291033,413.7501941300167,348.66466640594297,348.66466640594297,-22.448353481070328,-22.448353481070328,-22.448353481070328,-7.681496440650529,-7.681496440650529,-7.681496440650529,-14.766857040419799,-14.766857040419799,-14.766857040419799,0.0,0.0,0.0,326.2163129248726
2001-02-19,348.460594606978,256.1409779888432,434.98514446136653,348.460594606978,348.460594606978,-5.555729856118985,-5.555729856118985,-5.555729856118985,1.1463792909107726,1.1463792909107726,1.1463792909107726,-6.702109147029757,-6.702109147029757,-6.702109147029757,0.0,0.0,0.0,342.904864750859
2001-02-26,348.34155272424846,258.7087462688418,432.1014901374648,348.34155272424846,348.34155272424846,-7.25888515781746,-7.25888515781746,-7.25888515781746,1.1463792908949046,1.1463792908949046,1.1463792908949046,-8.405264448712364,-8.405264448712364,-8.405264448712364,0.0,0.0,0.0,341.082667566431
2001-03-12,348.1034689587893,247.06457311341202,427.82888353777344,348.1034689587893,348.1034689587893,-13.423580624173903,-13.423580624173903,-13.423580624173903,1.146379290931769,1.146379290931769,1.146379290931769,-14.569959915105672,-14.569959915105672,-14.569959915105672,0.0,0.0,0.0,334.6798883346154
