ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,130.2387742813946,106.61462511960704,140.2776964890031,130.2387742813946,130.2387742813946,-6.762178719497702,-6.762178719497702,-6.762178719497702,-0.08294501022465167,-0.08294501022465167,-0.08294501022465167,-6.679233709273051,-6.679233709273051,-6.679233709273051,0.0,0.0,0.0,123.4765955618969
2001-01-10,129.9235479312798,104.8263733793739,137.4882572516502,129.9235479312798,129.9235479312798,-9.022961369887213,-9.022961369887213,-9.022961369887213,-2.745851765620991,-2.745851765620991,-2.745851765620991,-6.277109604266221,-6.277109604266221,-6.277109604266221,0.0,0.0,0.0,120.9005865613926
2001-01-15,129.74842218121606,107.20512587020211,139.36422455117415,129.74842218121606,129.74842218121606,-6.206331087166998,-6.206331087166998,-6.206331087166998,-0.08294501022324662,-0.08294501022324662,-0.08294501022324662,-6.123386076943751,-6.123386076943751,-6.123386076943751,0.0,0.0,0.0,123.54209109404906
2001-01-22,129.5032461311268,108.01680016147773,139.94449375409081,129.5032461311268,129.5032461311268,-6.23887331083646,-6.23887331083646,-6.23887331083646,-0.08294501022773683,-0.08294501022773683,-0.08294501022773683,-6.155928300608722,-6.155928300608722,-6.155928300608722,0.0,0.0,0.0,123.26437282029033
2001-01-29,129.25807008103752,107.32614080126183,140.45581139856165,129.25807008103752,129.25807008103752,-5.691543861008181,-5.691543861008181,-5.691543861008181,-0.08294501022442563,-0.08294501022442563,-0.08294501022442563,-5.608598850783755,-5.608598850783755,-5.608598850783755,0.0,0.0,0.0,123.56652622002933
2001-02-04,129.047919180961,108.27536615303396,139.41206870920465,129.047919180961,129.047919180961,-3.9805429314746066,-3.9805429314746066,-3.9805429314746066,-0.12431530657561403,-0.12431530657561403,-0.12431530657561403,-3.8562276248989926,-3.8562276248989926,-3.8562276248989926,0.0,0.0,0.0,125.0673762494864
2001-02-07,128.94284373092273,107.69997842979961,140.52119572072058,128.94284373092273,128.94284373092273,-5.278531725767802,-5.278531725767802,-5.278531725767802,-2.7458517656243377,-2.7458517656243377,-2.7458517656243377,-2.532679960143465,-2.532679960143465,-2.532679960143465,0.0,0.0,0.0,123.66431200515493
2001-02-19,128.5225419307697,114.6904568185377,147.15359582984303,128.5225419307697,128.5225419307697,2.627766111762458,2.627766111762458,2.627766111762458,-0.08294501022492679,-0.08294501022492679,-0.08294501022492679,2.7107111219873845,2.7107111219873845,2.7107111219873845,0.0,0.0,0.0,131.15030804253217
2001-02-26,128.27736588068043,115.24891229110794,149.3495986643824,128.27736588068043,128.27736588068043,3.3244957034817344,3.3244957034817344,3.3244957034817344,-0.08294501022683298,-0.08294501022683298,-0.08294501022683298,3.407440713708567,3.407440713708567,3.407440713708567,0.0,0.0,0.0,131.60186158416218
2001-03-09,127.89208923054015,111.4721296219994,144.43071044379982,127.89208923054015,127.89208923054015,0.686254961063793,0.686254961063793,0.686254961063793,-1.4220376608285328,-1.4220376608285328,-1.4220376608285328,2.1082926218923257,2.1082926218923257,2.1082926218923257,0.0,0.0,0.0,128.57834419160395
2001-03-12,127.7870137805019,113.81242693714447,144.5628447673879,127.7870137805019,127.7870137805019,1.9047320505423029,1.9047320505423029,1.9047320505423029,-0.08294501022021052,-0.08294501022021052,-0.08294501022021052,1.9876770607625132,1.9876770607625132,1.9876770607625132,0.0,0.0,0.0,129.6917458310442
2001-03-19,127.54183773041262,114.38902709835227,147.76795040563846,127.54183773041262,127.54183773041262,2.4491691289399418,2.4491691289399418,2.4491691289399418,-0.08294501021431523,-0.08294501021431523,-0.08294501021431523,2.532114139154257,2.532114139154257,2.532114139154257,0.0,0.0,0.0,129.99100685935255
2001-03-26,127.29666168032335,114.49700222473547,147.40886348198688,127.29666168032335,127.29666168032335,3.2089085549281315,3.2089085549281315,3.2089085549281315,-0.08294501021880553,-0.08294501021880553,-0.08294501021880553,3.291853565146937,3.291853565146937,3.291853565146937,0.0,0.0,0.0,130.5055702352515
2001-04-06,126.91138503018307,110.66691815405402,144.12996025755885,126.91138503018307,126.91138503018307,0.955437647557378,0.955437647557378,0.955437647557378,-1.4220376608300291,-1.4220376608300291,-1.4220376608300291,2.3774753083874076,2.3774753083874076,2.3774753083874076,0.0,0.0,0.0,127.86682267774044
2001-04-16,126.56113353005554,111.62982521867602,144.9230013214317,126.56113353005554,126.56113353005554,1.3709035839600177,1.3709035839600177,1.3709035839600177,-0.08294501022189077,-0.08294501022189077,-0.08294501022189077,1.4538485941819086,1.4538485941819086,1.4538485941819086,0.0,0.0,0.0,127.93203711401556
2001-04-23,126.31595747996627,112.26143598305649,145.8923541399141,126.31595747996627,126.31595747996627,2.3667768466444907,2.3667768466444907,2.3667768466444907,-0.08294501021857942,-0.08294501021857942,-0.08294501021857942,2.44972185686307,2.44972185686307,2.44972185686307,0.0,0.0,0.0,128.68273432661076
2001-04-30,126.070781429877,112.40170903536148,146.5605071979422,126.070781429877,126.070781429877,3.6555160572382697,3.6555160572382697,3.6555160572382697,-0.08294501022306972,-0.08294501022306972,-0.08294501022306972,3.7384610674613397,3.7384610674613397,3.7384610674613397,0.0,0.0,0.0,129.72629748711526
2001-05-02,126.00073112985149,111.07277255438868,145.29270783999905,126.00073112985149,126.00073112985149,1.1571450035166995,1.1571450035166995,1.1571450035166995,-2.745851765627664,-2.745851765627664,-2.745851765627664,3.9029967691443637,3.9029967691443637,3.9029967691443637,0.0,0.0,0.0,127.15787613336819
2001-05-03,125.96570597983875,115.97204448093133,147.83777846559215,125.96570597983875,125.96570597983875,5.958156061492397,5.958156061492397,5.958156061492397,2.0252326742216757,2.0252326742216757,2.0252326742216757,3.93292338727072,3.93292338727072,3.93292338727072,0.0,0.0,0.0,131.92386204133115
