ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-12-29,747.1416925489975,719.4447867194956,838.4504792081044,747.1416925489975,747.1416925489975,31.395298417654743,31.395298417654743,31.395298417654743,3.75240474857947,3.75240474857947,3.75240474857947,27.642893669075274,27.642893669075274,27.642893669075274,0.0,0.0,0.0,778.5369909666523
2015-01-06,746.0864551193093,689.0452556150001,814.7944344770884,746.0864551193093,746.0864551193093,6.922152816532322,6.922152816532322,6.922152816532322,-2.800083079350869,-2.800083079350869,-2.800083079350869,9.722235895883191,9.722235895883191,9.722235895883191,0.0,0.0,0.0,753.0086079358416
2015-01-19,744.3716942960659,691.3908090727317,805.1715608237525,744.3716942960659,744.3716942960659,6.17893361692365,6.17893361692365,6.17893361692365,3.7524047486284138,3.7524047486284138,3.7524047486284138,2.4265288682952364,2.4265288682952364,2.4265288682952364,0.0,0.0,0.0,750.5506279129896
2015-01-26,743.4483615450889,697.70163213819,817.9656067467068,743.4483615450889,743.4483615450889,15.179611127051773,15.179611127051773,15.179611127051773,3.752404748572562,3.752404748572562,3.752404748572562,11.427206378479207,11.427206378479207,11.427206378479207,0.0,0.0,0.0,758.6279726721407
2015-02-02,742.5250287941117,703.6297792765299,822.7650969721194,742.5250287941117,742.5250287941117,21.0229306416773,21.0229306416773,21.0229306416773,3.752404748661291,3.752404748661291,3.752404748661291,17.270525893016007,17.270525893016007,17.270525893016007,0.0,0.0,0.0,763.5479594357889
2015-02-03,742.3931241154006,693.9575185184661,810.786486301237,742.3931241154006,742.3931241154006,14.425794327823724,14.425794327823724,14.425794327823724,-2.8000830793521345,-2.8000830793521345,-2.8000830793521345,17.225877407175858,17.225877407175858,17.225877407175858,0.0,0.0,0.0,756.8189184432243
2015-02-11,741.3378866857124,691.6007975527003,816.4254442643582,741.3378866857124,741.3378866857124,13.079643720218396,13.079643720218396,13.079643720218396,5.836317901051374,5.836317901051374,5.836317901051374,7.243325819167022,7.243325819167022,7.243325819167022,0.0,0.0,0.0,754.4175304059308
2015-02-16,740.6783632921573,684.1885671496958,799.6453112955054,740.6783632921573,740.6783632921573,-1.3065112659726867,-1.3065112659726867,-1.3065112659726867,3.752404748622251,3.752404748622251,3.752404748622251,-5.058916014594938,-5.058916014594938,-5.058916014594938,0.0,0.0,0.0,739.3718520261847
2015-02-23,739.7550305411801,661.3778042321079,779.1790141351261,739.7550305411801,739.7550305411801,-17.1035859385921,-17.1035859385921,-17.1035859385921,3.752404748639063,3.752404748639063,3.752404748639063,-20.855990687231163,-20.855990687231163,-20.855990687231163,0.0,0.0,0.0,722.651444602588
2015-03-08,738.0402697179368,655.9394009277393,779.1595288403864,738.0402697179368,738.0402697179368,-19.383374539593866,-19.383374539593866,-19.383374539593866,2.3126322174522103,2.3126322174522103,2.3126322174522103,-21.696006757046078,-21.696006757046078,-21.696006757046078,0.0,0.0,0.0,718.6568951783429
