ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-06-12,46.13832813376113,33.73233073096799,60.02867838103489,46.13832813376113,46.13832813376113,0.9985881030226642,0.9985881030226642,0.9985881030226642,-2.257393198532278,-2.257393198532278,-2.257393198532278,3.2559813015549426,3.2559813015549426,3.2559813015549426,0.0,0.0,0.0,47.13691623678379
2004-11-29,46.91772490735831,29.640968030458584,57.00725286561481,46.91772490735831,46.91772490735831,-3.361113102289634,-3.361113102289634,-3.361113102289634,-0.6643234535599224,-0.6643234535599224,-0.6643234535599224,-2.6967896487297116,-2.6967896487297116,-2.6967896487297116,0.0,0.0,0.0,43.55661180506868
2004-12-13,46.98191052400749,28.316777814921288,55.770872974667085,46.98191052400749,46.98191052400749,-4.550961029309815,-4.550961029309815,-4.550961029309815,-0.6643234535563669,-0.6643234535563669,-0.6643234535563669,-3.886637575753448,-3.886637575753448,-3.886637575753448,0.0,0.0,0.0,42.43094949469767
2005-01-08,47.10111238349882,29.49187150379329,55.94599382225981,47.10111238349882,47.10111238349882,-4.210910943925392,-4.210910943925392,-4.210910943925392,-2.257393198532745,-2.257393198532745,-2.257393198532745,-1.953517745392647,-1.953517745392647,-1.953517745392647,0.0,0.0,0.0,42.89020143957343
2005-01-17,47.14237456563044,31.268534970127348,59.128716818393215,47.14237456563044,47.14237456563044,-1.871269936022126,-1.871269936022126,-1.871269936022126,-0.6643234535550792,-0.6643234535550792,-0.6643234535550792,-1.2069464824670468,-1.2069464824670468,-1.2069464824670468,0.0,0.0,0.0,45.27110462960832
2005-01-24,47.174467373955025,31.841601534611367,58.66847001513774,47.174467373955025,47.174467373955025,-1.9096718198391727,-1.9096718198391727,-1.9096718198391727,-0.6643234535619329,-0.6643234535619329,-0.6643234535619329,-1.24534836627724,-1.24534836627724,-1.24534836627724,0.0,0.0,0.0,45.26479555411585
2005-01-31,47.20656018227962,30.501365223514217,58.21817712577345,47.20656018227962,47.20656018227962,-2.715292506229354,-2.715292506229354,-2.715292506229354,-0.6643234535601551,-0.6643234535601551,-0.6643234535601551,-2.050969052669199,-2.050969052669199,-2.050969052669199,0.0,0.0,0.0,44.49126767605026
2005-02-05,47.22948361679718,28.453755228465152,55.92657078589351,47.22948361679718,47.22948361679718,-5.026712311774058,-5.026712311774058,-5.026712311774058,-2.257393198530241,-2.257393198530241,-2.257393198530241,-2.7693191132438164,-2.7693191132438164,-2.7693191132438164,0.0,0.0,0.0,42.20277130502313
2005-02-14,47.27074579892879,29.651510114035474,56.82348952034562,47.27074579892879,47.27074579892879,-4.024960510729483,-4.024960510729483,-4.024960510729483,-0.6643234535642005,-0.6643234535642005,-0.6643234535642005,-3.360637057165282,-3.360637057165282,-3.360637057165282,0.0,0.0,0.0,43.24578528819931
2005-02-21,47.302838607253385,29.957861514985474,56.79958018275495,47.302838607253385,47.302838607253385,-3.8248125876357437,-3.8248125876357437,-3.8248125876357437,-0.6643234535624227,-0.6643234535624227,-0.6643234535624227,-3.160489134073321,-3.160489134073321,-3.160489134073321,0.0,0.0,0.0,43.478026019617644
