ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-02-10,61.297569719496764,20.80355549481797,60.45884873779417,61.297569719496764,61.297569719496764,-20.29447251878412,-20.29447251878412,-20.29447251878412,-11.313900595663105,-11.313900595663105,-11.313900595663105,-8.980571923121017,-8.980571923121017,-8.980571923121017,0.0,0.0,0.0,41.003097200712645
2017-04-12,62.73276082184383,46.506744928319364,87.6917241143625,62.73276082184383,62.73276082184383,4.601412483219286,4.601412483219286,4.601412483219286,-3.5758755220905267,-3.5758755220905267,-3.5758755220905267,8.177288005309812,8.177288005309812,8.177288005309812,0.0,0.0,0.0,67.33417330506312
2017-06-11,64.1444242012016,50.62584697337838,89.40600885395858,64.1444242012016,64.1444242012016,6.237157640460267,6.237157640460267,6.237157640460267,-3.6076269897607554,-3.6076269897607554,-3.6076269897607554,9.844784630221023,9.844784630221023,9.844784630221023,0.0,0.0,0.0,70.38158184166187
2017-09-10,66.28544699322757,31.51814864996804,72.98024215477614,66.28544699322757,66.28544699322757,-13.408743086454358,-13.408743086454358,-13.408743086454358,-3.607626989757458,-3.607626989757458,-3.607626989757458,-9.801116096696898,-9.801116096696898,-9.801116096696898,0.0,0.0,0.0,52.87670390677321
2017-09-18,66.47366877714192,33.9798549632351,74.34018368945998,66.47366877714192,66.47366877714192,-12.381624576452447,-12.381624576452447,-12.381624576452447,-1.9660445812190535,-1.9660445812190535,-1.9660445812190535,-10.415579995233394,-10.415579995233394,-10.415579995233394,0.0,0.0,0.0,54.09204420068948
2017-09-25,66.63836283924093,34.05283633651061,76.83226471006432,66.63836283924093,66.63836283924093,-11.569856582006913,-11.569856582006913,-11.569856582006913,-1.9660445812224188,-1.9660445812224188,-1.9660445812224188,-9.603812000784494,-9.603812000784494,-9.603812000784494,0.0,0.0,0.0,55.06850625723401
2017-10-16,67.1324450255379,34.64161514181381,75.00285831316617,67.1324450255379,67.1324450255379,-12.473351271556941,-12.473351271556941,-12.473351271556941,-1.9660445812039775,-1.9660445812039775,-1.9660445812039775,-10.507306690352964,-10.507306690352964,-10.507306690352964,0.0,0.0,0.0,54.65909375398096
2017-10-23,67.2971390876369,30.9839211581622,71.71942911509201,67.2971390876369,67.2971390876369,-15.705741062530135,-15.705741062530135,-15.705741062530135,-1.9660445812073433,-1.9660445812073433,-1.9660445812073433,-13.739696481322794,-13.739696481322794,-13.739696481322794,0.0,0.0,0.0,51.591398025106756
2017-10-30,67.46183314973588,29.522617423247024,70.45082892212486,67.46183314973588,67.46183314973588,-17.623351668160385,-17.623351668160385,-17.623351668160385,-1.9660445812569167,-1.9660445812569167,-1.9660445812569167,-15.65730708690347,-15.65730708690347,-15.65730708690347,0.0,0.0,0.0,49.8384814815755
2017-11-12,67.76769355123884,32.0597546276598,75.23949216806709,67.76769355123884,67.76769355123884,-13.6630807218997,-13.6630807218997,-13.6630807218997,-3.607626989779234,-3.607626989779234,-3.607626989779234,-10.055453732120464,-10.055453732120464,-10.055453732120464,0.0,0.0,0.0,54.10461282933913
2017-11-13,67.79122127443138,35.55588670085839,76.4048706027465,67.79122127443138,67.79122127443138,-11.425147890758979,-11.425147890758979,-11.425147890758979,-1.9660445812120062,-1.9660445812120062,-1.9660445812120062,-9.459103309546974,-9.459103309546974,-9.459103309546974,0.0,0.0,0.0,56.3660733836724
2017-11-20,67.95591533677913,39.04165655372565,78.21901582566537,67.95591533677913,67.95591533677913,-9.423007475490104,-9.423007475490104,-9.423007475490104,-1.9660445812901173,-1.9660445812901173,-1.9660445812901173,-7.456962894199988,-7.456962894199988,-7.456962894199988,0.0,0.0,0.0,58.532907861289026
2017-11-27,68.12060939912686,34.65978459988158,73.85425070437965,68.12060939912686,68.12060939912686,-12.74936921760573,-12.74936921760573,-12.74936921760573,-1.9660445812418421,-1.9660445812418421,-1.9660445812418421,-10.783324636363886,-10.783324636363886,-10.783324636363886,0.0,0.0,0.0,55.37124018152113
2017-12-18,68.61469158051294,31.966159068252693,71.81249824741369,68.61469158051294,68.61469158051294,-16.277447576514724,-16.277447576514724,-16.277447576514724,-1.9660445812234013,-1.9660445812234013,-1.9660445812234013,-14.311402995291322,-14.311402995291322,-14.311402995291322,0.0,0.0,0.0,52.337244003998215
2017-12-25,68.77938564097497,40.23978150030955,80.54830784723396,68.77938564097497,68.77938564097497,-8.824444052411884,-8.824444052411884,-8.824444052411884,-1.9660445812267666,-1.9660445812267666,-1.9660445812267666,-6.858399471185118,-6.858399471185118,-6.858399471185118,0.0,0.0,0.0,59.95494158856308
2018-01-01,68.94407970143698,43.81510884393174,84.79269672025198,68.94407970143698,68.94407970143698,-4.413598776271538,-4.413598776271538,-4.413598776271538,-1.9660445811784906,-1.9660445811784906,-1.9660445811784906,-2.4475541950930473,-2.4475541950930473,-2.4475541950930473,0.0,0.0,0.0,64.53048092516543
2018-01-10,69.15582921195686,41.506066924729666,81.33454645279642,69.15582921195686,69.15582921195686,-7.254038842750451,-7.254038842750451,-7.254038842750451,-3.5758755220938507,-3.5758755220938507,-3.5758755220938507,-3.678163320656601,-3.678163320656601,-3.678163320656601,0.0,0.0,0.0,61.9017903692064
2018-01-15,69.27346782891235,41.56037404372679,81.03844376880888,69.27346782891235,69.27346782891235,-7.263705295438546,-7.263705295438546,-7.263705295438546,-1.966044581208325,-1.966044581208325,-1.966044581208325,-5.297660714230222,-5.297660714230222,-5.297660714230222,0.0,0.0,0.0,62.0097625334738
2018-01-22,69.43816189265003,41.92809035501145,83.95625549609143,69.43816189265003,69.43816189265003,-8.04564877905801,-8.04564877905801,-8.04564877905801,-1.9660445812116907,-1.9660445812116907,-1.9660445812116907,-6.079604197846319,-6.079604197846319,-6.079604197846319,0.0,0.0,0.0,61.39251311359202
2018-01-29,69.60285595638771,40.44521028740997,80.03555517890075,69.60285595638771,69.60285595638771,-8.102400168901841,-8.102400168901841,-8.102400168901841,-1.9660445812381602,-1.9660445812381602,-1.9660445812381602,-6.136355587663681,-6.136355587663681,-6.136355587663681,0.0,0.0,0.0,61.500455787485876
2018-03-09,70.52043718104237,70.70201323544785,109.16025621395328,70.52043718104237,70.52043718104237,19.756947528398797,19.756947528398797,19.756947528398797,-11.313900595691322,-11.313900595691322,-11.313900595691322,31.07084812409012,31.07084812409012,31.07084812409012,0.0,0.0,0.0,90.27738470944117
2018-03-12,70.59102035216965,79.04841587602405,120.61764423734238,70.59102035216965,70.59102035216965,30.165485093557457,30.165485093557457,30.165485093557457,-1.9660445812012797,-1.9660445812012797,-1.9660445812012797,32.13152967475874,32.13152967475874,32.13152967475874,0.0,0.0,0.0,100.7565054457271
2018-05-11,72.0026837747153,52.23005243590299,91.69554963134496,72.0026837747153,72.0026837747153,0.9984337772621829,0.9984337772621829,0.9984337772621829,-11.313900595716197,-11.313900595716197,-11.313900595716197,12.312334372978379,12.312334372978379,12.312334372978379,0.0,0.0,0.0,73.00111755197747
2018-08-01,73.93195711886098,50.25106385290792,89.68112562727968,73.93195711886098,73.93195711886098,-4.305673347742865,-4.305673347742865,-4.305673347742865,-3.575875522064679,-3.575875522064679,-3.575875522064679,-0.7297978256781867,-0.7297978256781867,-0.7297978256781867,0.0,0.0,0.0,69.62628377111811
2018-08-10,74.14370663420434,59.52448541295312,99.8850463601692,74.14370663420434,74.14370663420434,5.114103303199674,5.114103303199674,5.114103303199674,-11.313900595637218,-11.313900595637218,-11.313900595637218,16.42800389883689,16.42800389883689,16.42800389883689,0.0,0.0,0.0,79.257809937404
2018-09-17,75.03776014343187,42.998299801952896,81.94448706399196,75.03776014343187,75.03776014343187,-12.455005291934462,-12.455005291934462,-12.455005291934462,-1.9660445812133396,-1.9660445812133396,-1.9660445812133396,-10.488960710721122,-10.488960710721122,-10.488960710721122,0.0,0.0,0.0,62.582754851497405
2018-09-24,75.20245421092115,43.77773432632838,85.4726124945573,75.20245421092115,75.20245421092115,-11.738830629991776,-11.738830629991776,-11.738830629991776,-1.966044581239809,-1.966044581239809,-1.966044581239809,-9.772786048751964,-9.772786048751964,-9.772786048751964,0.0,0.0,0.0,63.46362358092937
2018-10-09,75.55537006982674,63.12587333894267,103.4025529998944,75.55537006982674,75.55537006982674,6.664303088708967,6.664303088708967,6.664303088708967,15.336634390268792,15.336634390268792,15.336634390268792,-8.672331301559826,-8.672331301559826,-8.672331301559826,0.0,0.0,0.0,82.2196731585357
2018-10-12,75.62595324124057,35.037234988552655,76.33074270100725,75.62595324124057,75.62595324124057,-20.470996581286695,-20.470996581286695,-20.470996581286695,-11.313900595681156,-11.313900595681156,-11.313900595681156,-9.15709598560554,-9.15709598560554,-9.15709598560554,0.0,0.0,0.0,55.15495665995387
2018-10-15,75.69653641265441,44.74770630585932,83.29032325354574,75.69653641265441,75.69653641265441,-11.999852598089735,-11.999852598089735,-11.999852598089735,-1.9660445812730099,-1.9660445812730099,-1.9660445812730099,-10.033808016816725,-10.033808016816725,-10.033808016816725,0.0,0.0,0.0,63.69668381456468
2018-10-22,75.86123047928668,40.466737977681255,81.63421007479957,75.86123047928668,75.86123047928668,-15.125745232838026,-15.125745232838026,-15.125745232838026,-1.9660445812247331,-1.9660445812247331,-1.9660445812247331,-13.159700651613296,-13.159700651613296,-13.159700651613296,0.0,0.0,0.0,60.73548524644865
2018-10-29,76.02592454591895,37.6880219031775,79.08069152585774,76.02592454591895,76.02592454591895,-17.523175479231128,-17.523175479231128,-17.523175479231128,-1.9660445812280996,-1.9660445812280996,-1.9660445812280996,-15.55713089800303,-15.55713089800303,-15.55713089800303,0.0,0.0,0.0,58.50274906668783
2018-11-19,76.52000674808352,47.978252656020274,86.31220987842345,76.52000674808352,76.52000674808352,-9.40938214747557,-9.40938214747557,-9.40938214747557,-1.9660445812096576,-1.9660445812096576,-1.9660445812096576,-7.443337566265914,-7.443337566265914,-7.443337566265914,0.0,0.0,0.0,67.11062460060795
2018-11-26,76.68470081547171,43.40663135861335,83.54789342252603,76.68470081547171,76.68470081547171,-11.811455350160248,-11.811455350160248,-11.811455350160248,-1.9660445811613818,-1.9660445811613818,-1.9660445811613818,-9.845410768998866,-9.845410768998866,-9.845410768998866,0.0,0.0,0.0,64.87324546531147
2018-12-11,77.03761667416069,53.25348842580894,94.12151077251751,77.03761667416069,77.03761667416069,-3.4816381836497974,-3.4816381836497974,-3.4816381836497974,15.336634390262917,15.336634390262917,15.336634390262917,-18.818272573912715,-18.818272573912715,-18.818272573912715,0.0,0.0,0.0,73.5559784905109
2018-12-17,77.17878301763628,39.50893989986006,79.45056077364694,77.17878301763628,77.17878301763628,-17.471027664149627,-17.471027664149627,-17.471027664149627,-1.966044581217687,-1.966044581217687,-1.966044581217687,-15.50498308293194,-15.50498308293194,-15.50498308293194,0.0,0.0,0.0,59.70775535348665
2018-12-24,77.34347708735137,46.34988572139294,88.77386220945243,77.34347708735137,77.34347708735137,-10.082096790863101,-10.082096790863101,-10.082096790863101,-1.9660445812441565,-1.9660445812441565,-1.9660445812441565,-8.116052209618944,-8.116052209618944,-8.116052209618944,0.0,0.0,0.0,67.26138029648827
