ds,y
2005-02-05,262.5
2005-04-25,262.5
2005-05-16,262.5
2005-05-23,262.5
2005-05-30,262.5
2005-06-06,262.5
2005-06-13,262.5
2005-09-05,262.5
2006-01-05,273.06
2006-03-04,346.79
2006-03-13,478.56
2006-03-20,451.28
2006-03-27,397.16
2006-04-17,311.05
2006-04-24,282.06
2006-05-06,295.0
2006-05-15,295.0
2006-05-22,295.0
2006-05-29,295.0
2006-06-03,478.56
2006-06-19,295.0
2006-06-26,295.0
2006-08-05,295.0
2006-10-04,307.04
2006-12-06,295.0
2007-02-04,442.5
2007-03-19,517.5
2007-04-16,451.25
2007-04-23,451.25
2007-09-04,451.25
2010-05-17,204.0
2010-05-24,231.0
2010-10-05,209.0
2011-02-05,203.19
2011-03-28,397.5
2011-04-04,290.0
2011-04-18,261.0
2011-05-16,193.87
2011-05-23,197.5
2011-05-30,190.0
2011-09-05,209.85
2011-11-04,304.0
2012-02-04,416.0
2012-04-06,256.0
2012-04-16,343.25
2012-04-23,328.75
2012-04-30,298.5
2012-05-14,288.0
2012-05-21,280.5
2012-05-28,271.62
2012-07-05,288.0
2012-09-04,365.2
2013-01-07,286.0
2013-03-06,295.5
2013-04-15,301.6
2013-04-22,350.0
2013-04-29,320.5
2013-05-13,294.92
2013-05-20,285.45
2013-05-27,286.7
2013-06-17,286.0
2013-06-24,286.0
2013-08-07,286.0
2013-10-06,302.35
2014-02-06,276.5
2014-03-02,305.0
2014-03-17,400.0
2014-03-24,371.4
2014-03-31,301.85
2014-04-14,303.93
2014-04-21,304.66
2014-04-28,311.5
2014-05-05,305.98
2014-05-19,320.0
2014-05-26,293.17
2014-07-04,366.6
2014-09-06,313.0
2014-12-05,303.64
2015-01-06,263.57
2015-04-05,262.86
2015-04-13,225.0
2015-04-20,220.0
2015-04-27,289.29
2015-05-18,275.0
2015-05-25,315.0
2015-08-06,217.5
2015-11-05,275.0
2016-02-05,465.0
2016-04-18,515.0
2016-04-25,495.0
2016-05-16,415.0
2016-05-23,415.0
2016-05-30,415.0
2016-06-06,365.0
2016-06-13,365.0
2016-09-05,465.0
2017-01-05,310.69
2017-03-04,476.91
2017-03-13,479.18
2017-03-20,466.89
2017-03-27,462.06
2017-04-17,262.02
2017-04-24,293.8
2017-05-06,357.25
2017-05-15,386.98
2017-05-22,356.51
2017-05-29,365.0
2017-06-03,50.83
2017-08-05,362.03
2017-10-04,375.71
2017-12-06,365.0
