ds,y
2014-01-09,175.0
2014-01-12,168.0
2014-03-11,168.0
2014-04-08,175.0
2014-06-10,170.0
2014-07-21,179.0
2014-07-28,177.0
2014-08-09,173.0
2014-08-12,168.0
2014-08-18,175.0
2014-09-15,173.0
2014-09-22,173.0
2014-09-29,173.0
2014-10-11,168.0
2014-10-13,170.0
2014-10-20,170.0
2014-10-27,168.0
2014-11-08,175.0
2014-11-17,168.0
2014-11-24,168.0
2014-12-15,168.0
2014-12-22,168.0
2014-12-29,169.0
2015-01-06,174.0
2015-01-19,171.0
2015-01-26,169.0
2015-02-02,167.0
2015-02-03,165.0
2015-02-11,181.0
2015-02-16,167.0
2015-02-23,165.0
2015-03-08,189.0
2015-03-16,171.0
2015-03-23,175.0
2015-03-30,175.0
2015-04-05,172.0
2015-04-13,175.0
2015-04-20,175.0
2015-04-27,174.0
2015-05-01,169.0
2015-05-10,183.0
2015-05-18,172.0
2015-05-25,174.0
2015-06-04,175.0
2015-06-07,197.0
2015-06-15,174.0
2015-06-22,176.0
2015-06-29,184.0
2015-07-09,188.0
2015-07-12,168.0
2015-07-13,197.0
2015-07-20,197.0
2015-07-27,192.0
2015-08-06,175.0
2015-08-17,189.0
2015-08-24,189.0
2015-08-31,188.0
2015-09-02,167.0
2015-09-03,165.0
2015-09-11,176.0
2015-09-14,188.0
2015-09-21,188.0
2015-09-28,183.0
2015-10-08,189.0
2015-10-19,181.0
2015-10-26,181.0
2015-11-05,172.0
2015-11-16,176.0
2015-11-23,172.0
2015-11-30,168.0
2015-12-01,171.0
2015-12-10,181.0
2015-12-21,168.0
2016-01-02,166.8
2016-01-08,164.8
2016-01-25,166.8
2016-02-05,165.4
2016-02-15,166.8
2016-02-22,164.8
2016-02-29,162.0
2016-03-10,166.0
2016-03-14,160.44
2016-03-21,160.44
2016-03-28,160.6
2016-04-01,168.0
2016-04-04,160.6
2016-04-07,167.0
2016-04-18,163.2
2016-04-25,165.4
2016-05-09,165.0
2016-05-12,169.2
2016-05-16,161.6
2016-05-23,163.2
2016-05-30,163.2
2016-06-06,169.4
2016-06-13,170.8
2016-06-20,170.8
2016-06-27,169.2
2016-07-03,160.4
2016-07-11,169.0
2016-07-18,164.6
2016-07-25,164.8
2016-08-02,166.8
2016-08-08,164.8
2016-08-15,165.0
2016-08-22,165.0
2016-08-29,165.0
2016-09-05,161.4
2016-09-19,166.0
2016-09-26,166.0
2016-10-10,166.0
2016-10-17,166.0
2016-10-24,165.6
2016-10-31,167.3
2016-11-01,168.0
2016-11-04,160.6
2016-11-07,164.8
2016-11-14,169.0
2016-11-28,168.8
2016-12-09,166.0
2016-12-12,168.4
2016-12-19,168.4
2016-12-26,168.4
2017-01-05,175.0
2017-01-16,168.4
2017-01-23,168.4
2017-01-30,168.4
2017-02-01,168.4
2017-02-10,168.9
2017-02-13,170.0
2017-02-20,170.0
2017-02-27,170.0
2017-03-04,170.0
2017-03-07,183.4
2017-03-13,167.0
2017-03-20,167.0
2017-03-27,170.0
2017-04-09,180.0
2017-04-12,170.0
2017-04-17,173.8
2017-04-24,174.8
2017-05-06,176.2
2017-05-15,176.2
2017-05-22,176.2
2017-05-29,176.2
2017-06-02,168.4
2017-06-03,170.0
2017-06-11,169.6
2017-06-19,183.6
2017-06-26,182.8
2017-07-08,179.0
2017-07-17,183.4
2017-07-24,181.8
2017-07-31,181.4
2017-08-05,176.0
2017-08-14,178.8
2017-08-21,178.8
2017-08-28,178.8
2017-09-01,168.4
2017-09-10,169.3
2017-09-18,178.0
2017-09-25,172.4
2017-10-04,170.0
2017-10-07,183.4
2017-10-16,169.4
2017-10-23,169.5
2017-10-30,169.6
2017-11-09,178.6
2017-11-12,170.0
2017-11-13,169.6
2017-11-20,169.6
2017-11-27,170.0
2017-12-06,177.6
2017-12-18,170.0
2017-12-25,170.0
2018-01-01,171.8
2018-01-10,188.6
2018-01-15,171.8
2018-01-22,171.8
2018-01-29,171.8
2018-02-04,177.0
2018-02-07,183.2
2018-02-19,171.2
2018-02-26,173.0
2018-03-09,191.8
2018-03-12,178.8
2018-03-19,175.2
2018-03-26,175.2
2018-04-06,189.0
2018-04-16,181.0
2018-04-23,181.0
2018-04-30,181.0
2018-05-02,171.8
2018-05-03,174.8
2018-05-11,178.8
2018-05-14,181.0
2018-05-21,184.0
2018-05-28,189.0
2018-06-08,189.8
2018-06-18,188.0
2018-06-25,185.0
2018-07-05,181.0
2018-07-16,183.0
2018-07-23,185.4
2018-07-30,187.6
2018-08-01,171.8
2018-08-10,188.6
2018-08-13,189.8
2018-08-20,193.4
2018-08-27,191.8
2018-09-04,177.8
2018-09-07,183.0
2018-09-24,188.6
2018-10-09,191.8
2018-10-12,178.8
2018-10-15,180.0
2018-10-22,180.0
2018-10-29,180.2
2018-11-06,189.0
2018-11-19,178.8
2018-11-26,178.8
2018-12-02,171.0
2018-12-03,175.0
2018-12-11,178.8
2018-12-17,178.8
2018-12-24,178.8
2018-12-31,178.8
2019-01-04,178.2
2019-01-07,182.2
2019-01-14,178.8
2019-01-21,178.8
2019-01-28,180.6
2019-02-09,174.2
2019-02-12,173.6
2019-02-18,180.6
2019-02-25,180.6
2019-03-06,180.8
2019-03-18,178.2
2019-03-25,178.2
2019-04-02,180.6
2019-04-03,178.2
2019-04-11,176.0
2019-04-15,176.6
2019-04-22,176.4
2019-04-29,176.4
2019-05-08,179.6
2019-05-13,173.8
2019-05-20,173.0
2019-05-27,178.8
2019-06-05,174.0
2019-06-17,182.0
2019-06-24,182.2
2019-07-01,178.8
2019-07-10,172.8
2019-07-15,182.2
2019-07-22,182.0
2019-07-29,180.0
2019-08-04,176.6
2019-08-07,182.2
2019-08-19,177.2
2019-08-26,174.4
2019-09-09,174.2
2019-09-12,175.2
2019-09-16,174.2
2019-09-23,174.4
2019-09-30,174.4
2019-10-06,180.8
2019-10-14,175.8
2019-10-21,176.0
2019-10-28,176.0
2019-11-02,180.6
2019-11-03,178.2
2019-11-11,174.4
2019-11-18,173.6
2019-11-25,173.6
2019-12-08,179.2
2019-12-16,176.0
2019-12-23,176.0
2019-12-30,177.6
2020-01-06,170.0
2020-01-13,181.6
2020-01-20,182.4
2020-01-27,182.4
2020-02-03,180.0
2020-02-11,204.8
2020-02-17,181.8
2020-02-24,181.6
2020-03-02,182.6
2020-03-08,174.0
2020-03-16,181.6
2020-03-23,183.2
2020-03-30,181.6
2020-04-05,172.8
2020-04-13,179.2
2020-04-20,178.4
2020-04-27,178.4
2020-05-10,184.4
2020-05-18,172.8
2020-05-25,172.0
2020-06-01,180.0
2020-06-04,181.6
2020-06-07,172.6
2020-06-15,170.0
2020-06-22,168.0
2020-06-29,169.6
2020-07-09,180.4
2020-07-12,200.0
2020-07-13,173.0
2020-07-20,173.2
2020-07-27,174.0
2020-08-06,170.0
2020-08-17,174.0
2020-08-24,174.0
2020-08-31,177.6
2020-09-03,180.0
2020-09-11,204.8
2020-09-14,181.6
2020-09-21,182.8
2020-09-28,186.8
2020-10-02,181.8
2020-10-08,174.0
2020-10-19,204.2
2020-10-26,204.8
2020-11-05,172.8
2020-11-16,203.2
2020-11-23,203.2
2020-11-30,201.6
2020-12-10,189.2
2020-12-14,200.0
2020-12-21,200.0
2020-12-28,200.0
2021-01-02,223.6
2021-01-03,225.0
2021-01-11,286.4
2021-01-18,222.8
2021-01-25,223.2
2021-02-08,263.2
2021-02-15,223.4
2021-02-22,223.4
2021-03-05,253.4
2021-03-15,242.0
2021-03-22,242.6
2021-03-29,245.0
2021-04-01,200.4
2021-04-10,252.0
2021-04-19,242.6
2021-04-26,251.8
2021-05-04,245.0
2021-05-07,263.8
2021-05-17,266.2
2021-05-24,266.0
2021-05-31,266.2
2021-06-09,273.2
2021-06-14,264.2
2021-06-21,264.2
2021-06-28,263.8
2021-07-06,266.6
2021-07-19,263.8
2021-07-26,262.2
2021-08-02,223.2
2021-08-03,233.0
2021-08-11,285.8
2021-08-16,270.0
2021-08-23,273.2
2021-08-30,273.2
2021-09-08,263.2
2021-09-13,273.2
2021-09-20,273.2
2021-09-27,273.6
2021-10-05,266.1
2021-10-18,274.6
2021-10-25,284.0
2021-11-01,212.2
2021-11-10,276.0
2021-11-15,285.8
2021-11-22,285.8
2021-12-04,245.0
2021-12-07,263.8
