ds,y
2020-12-28,374.64285714285717
2021-01-02,381.44625
2021-01-03,387.46714285714285
2021-01-11,546.22625
2021-01-18,378.9642857142857
2021-01-25,380.8325
2021-02-08,413.02375
2021-02-15,381.28625
2021-02-22,387.24625000000003
2021-03-05,404.14
2021-03-15,389.89875
2021-03-22,391.4325
2021-03-29,391.57125
2021-04-01,376.5
2021-04-10,520.9975
2021-04-19,400.25
2021-04-26,400.75
2021-05-04,393.83375
2021-05-07,423.64625
2021-05-17,420.7625
2021-05-24,414.5425
2021-05-31,415.2475
2021-06-09,459.6975
2021-06-14,422.42625
2021-06-21,418.94
2021-06-28,429.51
2021-07-06,418.90999999999997
2021-07-19,412.43125000000003
2021-07-26,412.43125000000003
2021-08-02,380.2
2021-08-03,390.28875
2021-08-11,549.77
2021-08-16,412.75875
2021-08-23,416.07125
2021-08-30,423.7075
2021-09-08,411.31624999999997
2021-09-13,481.445
2021-09-20,489.69
2021-09-27,501.735
2021-10-05,406.57625
2021-10-18,534.34875
2021-10-25,538.655
2021-11-01,379.155
2021-11-10,526.04625
2021-11-15,552.09625
2021-11-22,556.55375
2021-12-04,399.18625
2021-12-07,424.30125
