ds,y
2021-01-02,968.5
2021-01-03,1040.93
2021-01-11,1435.29
2021-02-08,1293.39
2021-02-15,1004.22
2021-02-22,1044.96
2021-03-05,1254.04
2021-03-15,1119.11
2021-03-22,1245.31
2021-03-29,1206.51
2021-04-10,1388.29
2021-04-19,1253.0
2021-04-26,1282.0
2021-05-04,1203.23
2021-05-07,1237.22
2021-05-17,1298.19
2021-05-24,1309.94
2021-05-31,1311.57
2021-06-09,1295.7
2021-06-14,1194.02
2021-06-21,1202.14
2021-06-28,1226.86
2021-07-06,1294.36
2021-07-19,1311.87
2021-07-26,1293.39
2021-08-02,1002.01
2021-08-03,1104.94
2021-08-11,1413.46
2021-08-16,1295.23
2021-08-23,1311.58
2021-08-30,1327.9
2021-09-08,1299.68
2021-09-13,1314.59
2021-09-20,1308.74
2021-09-27,1342.69
2021-10-05,1290.04
2021-10-18,1440.34
2021-10-25,1440.47
2021-11-10,1402.37
2021-11-15,1430.24
2021-11-22,1460.08
2021-12-04,1191.53
2021-12-07,1282.43
