,prices,product,supermarket,links,names
0,"8,90",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Ajo morado Peregrin GOLD 100 g.
1,"6,98",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Ajo morado 500 gramos
2,"2,99",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Combinado de ajo y cebolla 1 kg
3,"6,58",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Ajos 500 g.
4,"4,48",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Ajos 500 g.
5,"6,60",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Ajos 250 g
6,"7,83",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Maiz superdulce ultracongelado FINDUS 300 g.
7,"2,05",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,"Maíz dulce en grano, ultracongelado PRODUCTO ALCAMPO 400 g."
8,"1,52",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Cebolla cortada en dados PRODUCTO ALCAMPO 400 g.
9,"6,85",ajo,alcampo,https://www.alcampo.es/compra-online/search/?department=&text=ajo,Picadillo de variantes en vinagre RIOVERDE 200 g.
