,prices,product,supermarket,links,names
0,"5,80",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,Ajo morado malla 250 gr
1,"4,98",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,Ajo morado malla 400 gr
2,"9,08",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA ajo en polvo frasco 65 gr
3,"24,55",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DANI ajo molida frasco 55 gr
4,"33,17",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,CARMENCITA ajo en polvo frasco 60 gr
5,"24,33",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DANI ajo y perejil frasco 150 gr
6,"5,56",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA panecillo ajo y perejil bolsa 160 gr
7,"4,17",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA salsa fina con ajo bote 300 ml
8,"1,58",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA pan rallado con ajo y perejil bolsa 500 gr
9,"5,81",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,SELECCIÓN DE DIA hamburguesas con ajo y perejil bandeja 360 gr
10,"4,50",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA VEGECAMPO pimientos del piquillo en tiras con ajo frasco 225 gr
11,"463,33",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,BABARIA contorno de ojos aloe 15 ml
12,"7,48",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,BABARIA crema corporal aloe tarro 400 ml
13,"0,75",ajo,dia,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,AMOOS papel de cocina limón paquete 2 uds
14,"2,54",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA mermelada extra albaricoque frasco 650 gr
15,"2,45",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA yogur con albaricoque y mango vaso 200 gr
16,"2,79",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA mermelada extra de albaricoque frasco 390 gr
17,"4,85",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,HELIOS mermelada de albaricoque extra frasco 340 gr
18,"5,57",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,HERO mermelada de albaricoque de temporada frasco 350 gr
19,"6,96",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,HERO Diet mermelada de albaricoque frasco 280 gr
20,"7,67",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA barritas de cereales con manzana y albaricoque estuche 150 gr
21,"65,80",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA IMAQE Naturals limpiador facial exfoliante con hueso de albaricoque 50 gr
22,"0,90",albaricoque,dia,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA ZUMOSFERA bebida de frutas con leche melocotón y albaricoque pack 3 unidades 330 ml
