price,product,supermarket,link,name
1.55,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIASOL aceite refinado de girasol botella 1 lt
1.92,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,KOIPE Sol aceite girasol botella 1 lt
1.47,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIASOL aceite refinado de girasol garrafa 5 lt
2.09,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,KOIPE Fritos aceite de girasol botella 1 lt
1.79,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIASOL aceite refinado de girasol especial para freír botella 1 lt
14.96,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,ISABEL atún en aceite de girasol lata 260 gr
25.29,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,UBAGO melva en aceite de girasol lata 85 gr
11.37,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,ISABEL atún en aceite de girasol lata 650 gr
26.73,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,CAPRIMAR anchoas en aceite de girasol frasco 52 gr
19.08,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,UBAGO filetes de caballa del sur en aceite de girasol lata 65 gr
14.68,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,ISABEL atún en aceite girasol pack 3 latas de 52 gr
8.15,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIA MARI MARINERA atún en aceite de girasol lata 650 gr
18.53,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,CALVO atún claro en aceite de girasol pack 3 latas de 52 gr
10.83,aceite de girasol,dia,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIA MARI MARINERA filete de caballa en aceite de girasol lata 180 gr
1.99,aceite de oliva,dia,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de orujo de oliva botella 1 lt
