,prices,product,supermarket,links,names
0,"1,95",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo morado IGP Las Pedroñeras EROSKI Natur, malla 250 g"
1,"7,80 €",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo blanco, malla 400 g"
2,"5,00 €",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo para sazonar EROSKI, frasco 57 g"
3,"8,60 €",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo ecológico EROSKI NATUR BIO, malla 150 g"
4,"8,60 €",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Caldo natural de pollo bajo en sal ANETO, brik 1 litro"
5,"1,80",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Caldo casero de pollo bajo en sal GALLINA BLANCA, brik 1 litro"
6,"1,99",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo troceado FINDUS, caja 75 g"
7,"26,53 €",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Sazonador de ajo-perejil DUCROS, frasco 43 g"
8,"0,90",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Jugoso al horno pollo ajo MAGGI, sobre 36 g"
9,"1,99",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo para sazonar DUCROS, frasco 58 g"
10,"34,31 €",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo blanco GOLD, al peso, compra mínima 1 kg"
11,"5,45",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo DUCROS, frasco 290 g"
12,"18,79 €",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo en láminas DUCROS, frasco 22 g"
13,"2,25",ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo picado DUCROS, frasco 37 g"
14,"2,99",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Orejón y albaricoque EROSKI, tarrina 270 g"
15,"11,07 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Orejones de albaricoque MEDINA, bolsa 150 g"
16,"17,00 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque EROSKI basic, frasco 340 g"
17,"2,38 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Yogur con fresas-albaricoque-pera-mora EROSKI, pack 8x125 g"
18,"1,76 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Confitura de albaricoque HERO Diet, frasco 280 g"
19,"6,50 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque BEBÉ, frasco 340 g"
20,"5,74 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Confitura de albaricoque HERO, frasco 345 g"
21,"4,46 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque LA VIEJA FABRICA, frasco 350 g"
22,"6,29 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque HELIOS, frasco 340 g"
23,"4,56 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque LA VIEJA FABRICA Diet, frasco 280 g"
24,"7,50 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque diet EROSKI, frasco 290 g"
25,"4,48 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Champú niño de albaricoque ULTRA SUAVE, bote 400 ml"
26,"0,80 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Confitura de albaricoque BONNE MAMAN, frasco 370 g"
27,"6,46 €",albaricoque,eroski,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque VERITAS, frasco 330 g"
