price,product,supermarket,link,name
1.45,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol LANISOL, botella 1 litro"
1.79,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol KOIPESOL, botella 1 litro"
1.54,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol EROSKI, botella 1 litro"
6.99,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol EROSKI, garrafa 5 litros"
1.4,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol URZANTE, botella 1 litro"
1.45,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite girasol tradicional COOSOL, botella 1 litro"
5.69,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol KOIPESOL, garrafa 3 litros"
1.9,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol especial para freir COOSOL, botella 1 litro"
7.95,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol KOIPESOL, garrafa 5 litros"
1.59,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol BORGESOL, botella 1 litro"
3.56,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún claro en aceite de girasol EROSKI, pack 6x80 g"
7.38,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Sardina en aceite de girasol EROSKI basic, lata 120 g"
4.33,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún en aceite de girasol EROSKI BASIC, lata 900 g"
5.89,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún en aceite de girasol ISABEL, pack 3x70 g"
3.2,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º OLILAN, botella 1 litro"
3.95,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra EROSKI, botella 1 litro"
4.99,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º CARBONELL, botella 1 litro"
5.95,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra CARBONELL, botella 1 litro"
3.29,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º EROSKI, botella 1 litro"
3.2,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 1º OLILAN, botella 1 litro"
4.95,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen COOSUR Serie Oro, botella 1 litro"
4.89,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º LA ESPAÑOLA, botella 1 litro"
5.99,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra HOJIBLANCA, botella 1 litro"
5.99,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite oliva virgen extra Hojiblanca COOSUR, botella 1 litro"
11.0,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra EROSKI, garrafa 3 litros"
3.67,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra URZANTE, botella 1 litro"
11.85,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra MENDIA, garrafa 3 litros"
3.95,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen CARBONELL, botella 1 litro"
1.95,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo morado IGP Las Pedroñeras EROSKI Natur, malla 250 g"
