price,product,supermarket,link,name
1.54,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol URZANTE, botella 1 litro"
2.38,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol especial para freir COOSOL, botella 1 litro"
2.38,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol BORGESOL, botella 1 litro"
7.38,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Sardina en aceite de girasol EROSKI basic, lata 120 g"
4.92,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún en aceite de girasol EROSKI BASIC, lata 900 g"
5.89,aceite de girasol,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún en aceite de girasol ISABEL, pack 3x70 g"
4.07,aceite de oliva,eroski,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra URZANTE, botella 1 litro"
7.8,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo blanco, malla 400 g"
5.0,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo para sazonar EROSKI, frasco 57 g"
8.6,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo ecológico EROSKI NATUR BIO, malla 150 g"
8.6,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Caldo natural de pollo bajo en sal ANETO, brik 1 litro"
26.53,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo para sazonar DUCROS, frasco 58 g"
34.31,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Jugoso al horno pollo ajo MAGGI, sobre 36 g"
18.79,ajo,eroski,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo en láminas DUCROS, frasco 22 g"
4.64,arroz,eroski,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Vasitos de arroz redondo BRILLANTE, pack 2x125 g"
4.0,arroz,eroski,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Arroz redondo SOS, bolsa 2 kg"
1.61,arroz,eroski,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Vasitos de arroz integral BRILLANTE, pack 2x125 g"
4.4,arroz,eroski,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Arroz vaporizado BRILLANTE, caja 1 kg"
0.72,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azúcar moreno AZUCARERA, brik 800 g"
2.24,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azucaritos AZUCARERA, caja 300 g"
3.67,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azúcar moreno SIDUL, paquete 1 kg"
4.0,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azúcar blanquilla AZUCARERA, brik 800 g"
1.24,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azucarillo moreno en sobre AZUCARERA, caja 300 g"
3.97,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azúcar glacé seda AZUCARERA, bote 500 g"
4.78,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Panela de caña eco AZUCARERA, doypack 200 g"
6.25,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Terrones de azúcar moreno sin envasar AZUCARERA, caja 500 g"
2.98,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azúcar moreno intenso SIDUL, paquete 500 g"
1.98,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azúcar glasé en tubo SIDUL, bote 250 g"
4.96,azucar,eroski,https://supermercado.eroski.es/es/search/results/?q=azucar&suggestionsFilter=false,"Azúcar moreno de caña DIET, paquete 500 g"
