price,product,supermarket,link,name
1.45,aceite de girasol,every super,https://www.carrefour.es/?q=aceite de girasol&page=zanahoria,Aceite de girasol Carrefour 1 l.
1.39,aceite de girasol,every super,https://www.carrefour.es/?q=aceite de girasol&page=zanahoria,Aceite de girasol Carrefour garrafa 5 l.
1.55,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIASOL aceite refinado de girasol botella 1 lt
1.92,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,KOIPE Sol aceite girasol botella 1 lt
1.47,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIASOL aceite refinado de girasol garrafa 5 lt
2.09,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,KOIPE Fritos aceite de girasol botella 1 lt
1.79,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIASOL aceite refinado de girasol especial para freír botella 1 lt
14.96,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,ISABEL atún en aceite de girasol lata 260 gr
25.29,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,UBAGO melva en aceite de girasol lata 85 gr
11.37,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,ISABEL atún en aceite de girasol lata 650 gr
26.73,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,CAPRIMAR anchoas en aceite de girasol frasco 52 gr
19.08,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,UBAGO filetes de caballa del sur en aceite de girasol lata 65 gr
14.68,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,ISABEL atún en aceite girasol pack 3 latas de 52 gr
8.15,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIA MARI MARINERA atún en aceite de girasol lata 650 gr
10.83,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,DIA MARI MARINERA filete de caballa en aceite de girasol lata 180 gr
24.02,aceite de girasol,every super,https://www.dia.es/compra-online/search?text=aceite de girasol&x=0&y=0,FINISTER filetes de anchoa en aceite de girasol pack 3 latas de 29 gr
1.45,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol LANISOL, botella 1 litro"
1.79,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol KOIPESOL, botella 1 litro"
1.54,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol EROSKI, botella 1 litro"
6.99,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol EROSKI, garrafa 5 litros"
1.4,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol URZANTE, botella 1 litro"
1.45,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite girasol tradicional COOSOL, botella 1 litro"
5.69,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol KOIPESOL, garrafa 3 litros"
1.9,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol especial para freir COOSOL, botella 1 litro"
7.95,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol KOIPESOL, garrafa 5 litros"
1.59,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Aceite de girasol BORGESOL, botella 1 litro"
3.56,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún claro en aceite de girasol EROSKI, pack 6x80 g"
7.38,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Sardina en aceite de girasol EROSKI basic, lata 120 g"
4.33,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún en aceite de girasol EROSKI BASIC, lata 900 g"
5.89,aceite de girasol,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de girasol&suggestionsFilter=false,"Atún en aceite de girasol ISABEL, pack 3x70 g"
3.2,aceite de oliva,every super,https://www.carrefour.es/?q=aceite de oliva&page=14,"Aceite de oliva suave 0,4º Carrefour 1 l."
4.89,aceite de oliva,every super,https://www.carrefour.es/?q=aceite de oliva&page=14,"Aceite de oliva suave 0,4º La Española 1 l."
1.99,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de orujo de oliva botella 1 lt
3.69,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen botella 1 lt
3.53,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen garrafa 3 lt
4.92,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra botella 750 ml
3.8,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra garrafa 5 lt
3.95,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra botella 1 lt
3.86,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra garrafa 3 lt
9.98,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra botella 500 ml
6.9,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra arbequina botella 500 ml
6.9,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,DIA ALMAZARA DEL OLIVAR aceite de oliva virgen extra hojiblanca botella 500 ml
6.09,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,HOJIBLANCA aceite de oliva virgen extra botella 1 lt
7.19,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,CARBONELL aceite de oliva extra virgen botella 750 ml
5.95,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,CARBONELL aceite de oliva virgen extra botella 1 lt
13.75,aceite de oliva,every super,https://www.dia.es/compra-online/search?text=aceite de oliva&x=0&y=0,CARBONELL aceite de oliva virgen extra spray 200 ml
3.2,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º OLILAN, botella 1 litro"
3.95,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra EROSKI, botella 1 litro"
4.99,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º CARBONELL, botella 1 litro"
5.95,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra CARBONELL, botella 1 litro"
3.29,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º EROSKI, botella 1 litro"
3.2,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 1º OLILAN, botella 1 litro"
4.95,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen COOSUR Serie Oro, botella 1 litro"
4.89,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva 0,4º LA ESPAÑOLA, botella 1 litro"
5.99,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra HOJIBLANCA, botella 1 litro"
5.99,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite oliva virgen extra Hojiblanca COOSUR, botella 1 litro"
11.0,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra EROSKI, garrafa 3 litros"
3.67,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra URZANTE, botella 1 litro"
11.85,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen extra MENDIA, garrafa 3 litros"
3.95,aceite de oliva,every super,https://supermercado.eroski.es/es/search/results/?q=aceite de oliva&suggestionsFilter=false,"Aceite de oliva virgen CARBONELL, botella 1 litro"
5.8,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,Ajo morado malla 250 gr
4.98,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,Ajo morado malla 400 gr
9.08,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA ajo en polvo frasco 65 gr
24.55,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DANI ajo molida frasco 55 gr
33.17,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,CARMENCITA ajo en polvo frasco 60 gr
24.33,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DANI ajo y perejil frasco 150 gr
5.56,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA panecillo ajo y perejil bolsa 160 gr
4.17,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA salsa fina con ajo bote 300 ml
1.58,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA pan rallado con ajo y perejil bolsa 500 gr
5.81,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,SELECCIÓN DE DIA hamburguesas con ajo y perejil bandeja 360 gr
4.5,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,DIA VEGECAMPO pimientos del piquillo en tiras con ajo frasco 225 gr
463.33,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,BABARIA contorno de ojos aloe 15 ml
7.48,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,BABARIA crema corporal aloe tarro 400 ml
0.75,ajo,every super,https://www.dia.es/compra-online/search?text=ajo&x=0&y=0,AMOOS papel de cocina limón paquete 2 uds
1.95,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo morado IGP Las Pedroñeras EROSKI Natur, malla 250 g"
7.8,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo blanco, malla 400 g"
5.0,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo para sazonar EROSKI, frasco 57 g"
8.6,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo ecológico EROSKI NATUR BIO, malla 150 g"
8.6,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Caldo natural de pollo bajo en sal ANETO, brik 1 litro"
1.8,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Caldo casero de pollo bajo en sal GALLINA BLANCA, brik 1 litro"
1.99,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo troceado FINDUS, caja 75 g"
26.53,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Sazonador de ajo-perejil DUCROS, frasco 43 g"
0.9,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Jugoso al horno pollo ajo MAGGI, sobre 36 g"
1.99,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo para sazonar DUCROS, frasco 58 g"
34.31,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo blanco GOLD, al peso, compra mínima 1 kg"
5.45,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo DUCROS, frasco 290 g"
18.79,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo en láminas DUCROS, frasco 22 g"
2.25,ajo,every super,https://supermercado.eroski.es/es/search/results/?q=ajo&suggestionsFilter=false,"Ajo picado DUCROS, frasco 37 g"
2.54,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA mermelada extra albaricoque frasco 650 gr
2.45,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA yogur con albaricoque y mango vaso 200 gr
2.79,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA mermelada extra de albaricoque frasco 390 gr
4.85,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,HELIOS mermelada de albaricoque extra frasco 340 gr
5.57,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,HERO mermelada de albaricoque de temporada frasco 350 gr
6.96,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,HERO Diet mermelada de albaricoque frasco 280 gr
7.67,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA barritas de cereales con manzana y albaricoque estuche 150 gr
65.8,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA IMAQE Naturals limpiador facial exfoliante con hueso de albaricoque 50 gr
0.9,albaricoque,every super,https://www.dia.es/compra-online/search?text=albaricoque&x=0&y=0,DIA ZUMOSFERA bebida de frutas con leche melocotón y albaricoque pack 3 unidades 330 ml
2.99,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Orejón y albaricoque EROSKI, tarrina 270 g"
11.07,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Orejones de albaricoque MEDINA, bolsa 150 g"
17.0,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque EROSKI basic, frasco 340 g"
2.38,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Yogur con fresas-albaricoque-pera-mora EROSKI, pack 8x125 g"
1.76,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Confitura de albaricoque HERO Diet, frasco 280 g"
6.5,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque BEBÉ, frasco 340 g"
5.74,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Confitura de albaricoque HERO, frasco 345 g"
4.46,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque LA VIEJA FABRICA, frasco 350 g"
6.29,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque HELIOS, frasco 340 g"
4.56,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque LA VIEJA FABRICA Diet, frasco 280 g"
7.5,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque diet EROSKI, frasco 290 g"
4.48,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Champú niño de albaricoque ULTRA SUAVE, bote 400 ml"
0.8,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Confitura de albaricoque BONNE MAMAN, frasco 370 g"
6.46,albaricoque,every super,https://supermercado.eroski.es/es/search/results/?q=albaricoque&suggestionsFilter=false,"Mermelada de albaricoque VERITAS, frasco 330 g"
1.65,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,BRILLANTE arroz vaporizado caja 1 Kg
1.52,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,SOS arroz redondo paquete 1 Kg
1.69,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,SOS arroz integral paquete 1 Kg
3.75,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,LA FALLERA arroz bomba paquete 1 Kg
0.79,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,DIA ARROZONA arroz extra paquete 1 Kg
2.69,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,DIA ARROZONA arroz bomba paquete 1 Kg
1.17,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,DIA ARROZONA arroz vaporizado paquete 1 Kg
1.76,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,BRILLANTE arroz redondo sabroz paquete 1 Kg
1.55,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,DIA ARROZONA arroz integral paquete 1 Kg
4.2,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,DIA arroz redondo vaso 2 x 125 gr
0.9,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,DIA ARROZONA arroz largo de 1ª categoría paquete 1 Kg
4.6,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,BRILLANTE arroz basmati vaso 2 x 125 gr
4.44,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,BRILLANTE arroz integral vaso 2 x 125 gr
2.15,arroz,every super,https://www.dia.es/compra-online/search?text=arroz&x=0&y=0,DIA SELECCIÓN MUNDIAL arroz basmati paquete 1 Kg
1.52,arroz,every super,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Arroz redondo SOS, paquete 1 kg"
0.79,arroz,every super,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Arroz extra EROSKI basic, paquete 1 kg"
0.9,arroz,every super,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Arroz largo EROSKI BASIC, paquete 1 kg"
1.15,arroz,every super,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Vasitos de arroz basmati BRILLANTE, pack 2x125 g"
4.64,arroz,every super,https://supermercado.eroski.es/es/search/results/?q=arroz&suggestionsFilter=false,"Vasitos de arroz redondo BRILLANTE, pack 2x125 g"
